type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,Prestart Inspections,,,,,,,,,
section,Details,,,,,,,,,
checkpoint,Site has been cleaned in advance of our arrival on site,,,,,,,,,
checkpoint,Walls are plumb and level,,,,,,,,,
label,IMPORTANT,,,,,,,,,
checkpoint,Tiling works running to programme - prior trades completed,,,,,,,,,
checkpoint,Gib compound and sanding cleaned up from rooms (prior to any works),,,,,,,,,
checkpoint,Task Analysis signed onto by tilers and provided to main contractor (PHOTO REQUIRED),,,,,,,,,
checkpoint,"Data sheets, of products, are supplied on site with TA's",,,,,,,,,
checkpoint,Inductions completed & Site Inspection checklist has been completed,,,,,,,,,
checkpoint,All tools tagged and tested - (photo's required) ,,,,,,,,,
checkpoint,Tiler has current site safe - Input number and expiry,,,,,,,,,
checkpoint,Tiler has correct PPE relevant to project. ,,,,,,,,,
checkpoint,Correct drawings being utilised by TAL Tiling. (Check on site for latest revision),,,,,,,,,
,,,,,,,,,,
checklist,Wall/Floor Preparation,,,,,,QA - Wall/Floor Preparation,,,
section,Details,,,,,,,,,
checkpoint,"Is the area clean, and cleared, ready for necessary preparation",,,,,,,,,
checkpoint,"Grinding, if required, completed before works (photo required) after works (photo required)",,,,,,,,,
checkpoint,Floor levelling completed and applied as per requirements. (m2 rate),,,,,,,,,
checkpoint,Floor levelling completed - hours and bags used to be recorded (if per bag/labour rate),,,,,,,,,
,,,,,,,,,,
checklist,Tiling Installation Floors,,,,,,QA - Tiling Installation Floors,,,
section,Tiling to floors,,,,,,,,,
checkpoint,Tiles set out according to latest drawing - always check revisions on site,,,,,,,,,
checkpoint,Specified product used with notched trowel or required product,,,,,,,,,
checkpoint,Correct spacer size used for spacing as per specs and tile lipping within BRANZ tolerances,,,,,,,,,
checkpoint,"Floor/Wall substrate straight, signed off by MC, and ready for installation. (insert notes for remediation if required)",,,,,,,,,
checkpoint,Install tiles to floors as per drawings ,,,,,,,,,
checkpoint,Grout nominated is the correct colour and applied evenly and correctly,,,,,,,,,
checkpoint,Grout is consistent throughout and no missing grout. ,,,,,,,,,
checkpoint,"Tiling completed, checked and Supervisor sign off",,,,,,,,,
checkpoint,Silicone is completed to all tile junctions where required,,,,,,,,,
checkpoint,Area left clean & tidy,,,,,,,,,
checkpoint,Builders clean completed,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
checklist,Tiling Installation Floors/Walls,,,,,,QA - Tiling Installation Floors/Walls,,,
section,Tiling to floors and walls,,,,,,,,,
checkpoint,Tiles set out according to latest drawing - always check revisions on site,,,,,,,,,
checkpoint,Specified product used with notched trowel or required product,,,,,,,,,
checkpoint,Correct spacer size used for spacing as per specs and tile lipping within BRANZ tolerances,,,,,,,,,
checkpoint,"Floor/Wall substrate straight, signed off by MC, and ready for installation. (insert notes for remediation if required)",,,,,,,,,
checkpoint,Install tiles to floors as per drawings ,,,,,,,,,
checkpoint,Wall tiles set out to match floor grout lines or as per drawings. (Provide explanation if changed),,,,,,,,,
checkpoint,Install tiles to walls as per drawings,,,,,,,,,
checkpoint,Grout nominated is the correct colour and applied evenly and correctly,,,,,,,,,
checkpoint,Grout is consistent throughout and no missing grout. ,,,,,,,,,
checkpoint,"Tiling completed, checked and Supervisor sign off",,,,,,,,,
checkpoint,Silicone is completed to all tile junctions where required,,,,,,,,,
checkpoint,Area left clean & tidy,,,,,,,,,
checkpoint,Builders clean completed,,,,,,,,,
,,,,,,,,,,
checklist,Other Information,,,,,,QA - Other Information ,,,
section,Details,,,,,,,,,
checkpoint,Variations or extra works added into folder - all works and materials noted. Use ISSUES tab.,,,,,,,,,
checkpoint,change of details and or instructions ,,,,,,,,,
checkpoint,Site specific details to be added ,,,,,,,,,
checkpoint,Material Details - Notes to be added of materials used on site,,,,,,,,,
,,,,,,,,,,
checklist,Final Sign Off for Invoicing,,,,,,QA - Final Sign Off for Invoicing,,,
section,Details,,,,,,,,,
checkpoint,"No items are left on fail. If so, provide reasons why before invoiced out. ",,,,,,,,,
,,,,,,,,,,
