"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6e4702a9-cbc0-4652-9312-fe5afe961d83","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)"
"98644afc-5567-4199-9d03-f6dfcd2d86f8","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor"
"76e8fdcf-21b3-4266-a3eb-0d9b259e2838","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B"
"c35a2201-cdfb-43d1-b5e3-e5806c3c7aef","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 25"
"794c2b9f-261e-4cf2-82de-1f6a47bdec19","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 25","Split HW"
"954ac80a-f9ec-432b-8194-db932932c5b1","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 25","Ext Fan"
"72edb40c-f954-4d32-9761-f20a58e5390c","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 25","Kitchen Ext"
"3042a8a3-97e5-4119-bdc4-82ed57dab191","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 26"
"7a7ebb37-1726-437e-a552-fb4bf0314e87","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 26","Split HW"
"95b2513c-533b-49cb-b142-5cdaf1f863df","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 26","Ext Fan"
"5ae584c6-d4dc-47df-bc84-f4ebd419ec7e","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 26","Kitchen Ext"
"5c804d9a-3945-4296-a94b-ebc786499a92","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 27"
"ac91262a-612d-4bc1-a6f0-75ba5e9621a9","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 27","Split HW"
"77bd64f8-0971-4416-adea-29079cc2308b","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 27","Ext Fan"
"b41bb6a4-9a6b-4fa2-9cb9-392c36f0248b","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 27","Kitchen Ext"
"9889c096-a3e2-433d-b9fc-75773d520a16","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 28"
"faf5a87e-5c29-40dc-8634-399ed2f46066","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 28","Split HW"
"1aabef7c-5045-4869-a7fc-c55e46f65dd9","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 28","Ext Fan"
"4dcead59-6e56-4880-8a10-0dcf26febbfe","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 28","Kitchen Ext"
"2e6410b0-f122-4aa1-b5d9-4969054080ac","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 29"
"8a3ec12f-7af5-49c0-97d4-44b37bf12531","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 29","Split HW"
"83516b99-303a-42b0-a6a2-994766893831","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 29","Ext Fan"
"94b71540-f294-41c5-b83f-4ec2f1fd5199","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 29","Kitchen Ext"
"4f2f3db6-0261-48d6-a00e-3e5966db864c","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 30"
