"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f951413b-4152-46ae-ad16-058e88dee927","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA"
"963e5152-fd63-4f9a-8515-5350c28124b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation"
"1f7bbd21-96e7-4947-9f4c-1d8f44122de2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1"
"14029612-fd75-505e-8ee1-d8b96ca24685","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number"
"f57284a1-a723-5729-a81c-f8e051ebbfdd","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Delivery"
"29b22b00-2af8-5e51-9cdb-18e2e390a212","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Placement"
"1baeba54-2280-5b67-b3f8-9079d9afff54","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Flashing Installation"
"a03a8fd1-5771-5bfb-9637-e89f10681bba","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Glass Installation"
"2e61ebe4-1410-5fe0-867b-9deb648602df","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Horizontal / Vertical Cavity Barrier Installation"
"0a6730f0-afc8-5967-9f06-ac00657d7b9f","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Insulation Installation"
"299716c7-c336-5c9d-b69f-484b575e9af7","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Top Hat Installation"
"9dc7f3f2-86b1-5242-8fd6-1eef7fe82c91","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Cladding Installation"
"2fc84195-ee9e-5b45-8427-240f05098b92","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number"
"27b0adad-502b-5d2c-84df-041e5abe5768","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Delivery"
"06733f03-9397-5128-9517-2bdaf81b397d","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Placement"
"3a1fe2aa-0a20-5099-9cfe-615f6e39cddc","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Flashing Installation"
"afdb4d64-fbfb-570c-9a34-95ae27f96d16","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Glass Installation"
"b65d1975-8619-5c69-82a5-2d072b3f3300","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Horizontal / Vertical Cavity Barrier Installation"
"32320d01-6960-5c77-9455-04ccdade2ffe","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Insulation Installation"
"d1ef1445-169e-5153-98a0-ecfef8122a12","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Top Hat Installation"
"b29c4520-670d-5ad4-951e-611659a59a05","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Cladding Installation"
"3e03b2c5-970a-5e26-809b-a55ba0b69c39","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number"
"f37a6d5f-fd5d-5d84-a5fc-669d88e646ff","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Delivery"
