type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,Insulation,,,,,,Insulation checklist - Level 4 Platform,,,
section,Material Inspection,,,,,,,,,
checkpoint,Insulation: 80mm Glasswool on Medium Sarking ,,,,,,,,,
checkpoint,Thermal spacer: 60mm thermal spacer,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Insulation to entire roof area,,,,,,,,,
checkpoint,Correctly lapped and joined,,,,,,,,,
checkpoint,No over hang into gutters,,,,,,,,,
checkpoint,Manufacturers recommendations.,,,,,,,,,
checkpoint,Thermal Spacer Located correctly,,,,,,,,,
checkpoint,Insulation below box gutter lapped at joins,,,,,,,,,
checkpoint,Insulation cut back at sumps,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition with no tears,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Roof,,,,,,Roof Installation checklist - Level 4 Platform,,,
section,Material Inspection,,,,,,,,,
checkpoint,Roof Sheets: 0.48mm Kliplok ,,,,,,,,,
checkpoint,Coating Type: Standard Colorbond,,,,,,,,,
checkpoint,Safety Mesh: Galvanised 2mm x 150mm x 300mm,,,,,,,,,
checkpoint,Roof Clip: Galavanised  ,,,,,,,,,
checkpoint,Roof Screws: 25mm -  35mm 12G without NEO Seal,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Safety Mesh Installed,,,,,,,,,
checkpoint,Insulation installed,,,,,,,,,
checkpoint,Roof clips installed,,,,,,,,,
checkpoint,Roof installed with adequate fall to meet roof profile,,,,,,,,,
checkpoint,Roof installed straight and perpendicular to Roof purlins,,,,,,,,,
checkpoint,Roof has adequate overhang into box gutter / spouting,,,,,,,,,
checkpoint,Roof sheet turned up at high end of roof,,,,,,,,,
checkpoint,Roof sheet turned down at gutter end of roof,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Flashing,,,,,,Flashing/Capping Installation Checklist - Level 4 Platform,,,
section,Material Inspection,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,
checkpoint,Capping Material   0.61mm Colorbond to match,,,,,,,,,
checkpoint,Plyboard under Capping,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
,,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Roof Penetration,,,,,,Roof Penetrations checklist - Level 4 Platform,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Penetration: Hole cut to correct size to allow clearance.,,,,,,,,,
checkpoint,Roof sheets whethered correctly,,,,,,,,,
checkpoint,"Soaker flashing lapped, sealed and fixed correctly.",,,,,,,,,
checkpoint,Adequate support under soaker to prevent ponding.,,,,,,,,,
checkpoint,Side and front aprons / upstands formed to correct size  ,,,,,,,,,
checkpoint,To fit the purpose,,,,,,,,,
checkpoint,Adequate support around penetration to prevent roof,,,,,,,,,
checkpoint,Sheet from buckling,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Box Gutter,,,,,,Box Gutter Installation checklist - Level 4 Platform,,,
section,Material Inspection,,,,,,,,,
checkpoint,Box Gutter Brackets: #2,,,,,,,,,
checkpoint,Insulation under gutter: 60mm Glasswool,,,,,,,,,
checkpoint,Insulation under gutter: Aircell,,,,,,,,,
checkpoint,Gutter Board: Spandek Zincalume,,,,,,,,,
checkpoint,Box Gutter: 1.2mm 316 Stainless Steel,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,
checkpoint,Sumps: 1.2mm 316 Stainless Steel,,,,,,,,,
checkpoint,High Capacity Overflow: 0.55mm 304 Stainless Steel,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Askin Roof,,,,,,Askin Roof PANEL INSTALLATION,,,
section,Material Inspection,,,,,,,,,
checkpoint,Panel: Askin  100mm roof panel,,,,,,,,,
checkpoint,Ridge Foam Filler,,,,,,,,,
checkpoint,Internal liner colour: Surf Mist,,,,,,,,,
checkpoint,External liner colour : Surf Mist,,,,,,,,,
checkpoint,Buildex fixings 14 x 135mm  - bonded washer ,,,,,,,,,
checkpoint,Stitching Screw: 25mm 12 G,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,,,
checkpoint,Butyl sealing tape installed to Metecno Spec to SHS steel member,,,,,,,,,
checkpoint,Panels located correctly,,,,,,,,,
checkpoint,Fixings as per Metecno Spec,,,,,,,,,
checkpoint,Gun grade Butyl sealant to underside lap of panel 6mm,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Flashing,,,,,,Flashing/Capping Installation Checklist - Askin Roof,,,
section,Material Inspection,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,
checkpoint,Capping Material   0.61mm Colorbond to match,,,,,,,,,
checkpoint,Plyboard under Capping,,,,,,,,,
checkpoint,6mm Butyl Tape,,,,,,,,,
checkpoint,Infill insulation for Soffit,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,
checkpoint,6mm Butyl Tape for Soffit Flashigns,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
,,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,
text,Client Representative:,,,,,,,,,
checklist,Askin Wall Cladding,,,,,,Askin Performance Panel Wall Cladding checklist,,,
section,Material Inspection,,,,,,,,,
checkpoint,Wall Cladding type: 100mm  Askin with Standard Liner,,,,,,,,,
checkpoint,Curved Wall Cladding type: 100mm / 120mm Mineral Wool Panel,,,,,,,,,
checkpoint,Type of Fixings: Stainless Screws,,,,,,,,,
checkpoint,Butyl Tape,,,,,,,,,
section,Installation,,,,,,,,,
checkpoint,Butyl Tap to Soffit Flashing,,,,,,,,,
checkpoint,Infill Insulation to Soffit Flashings,,,,,,,,,
checkpoint,Is primary strucutre adequate to support cladding or secondary framing?,,,,,,,,,
checkpoint,Top hats installed at correct spacings to meet Manufacturers recommendations.,,,,,,,,,
checkpoint,Wall cladding fixed to sub frame as per Manufacturer's recommendations.,,,,,,,,,
checkpoint,Wall cladding flashed to make watertight.,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,
section,Signoffs,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,
text,Date:,,,,,,,,,
