"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99960661-c503-42d7-a078-f59e59afb629","","no-status-not-started","SYS - PT - Job Details","checklist","FALSE","FALSE","Job Details"
"a495130c-13de-43bb-a0ef-2ce42cbc994c","","no-status-not-started","","folder","FALSE","FALSE","Health & Safety"
"8b89e564-ea7c-4f08-946c-c642a6c9b834","","no-status-not-started","SYS - PT - Prestart H&S Documents","checklist","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"0bfca7ba-9f3c-480e-b04b-8f67e7c216b3","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety"
"fa3097a7-704c-43a1-bef4-489446f4c8e6","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks"
"38c054b8-fe4b-4fb5-b593-dda8fb9d50cc","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks","September 2019"
"484bff64-74bc-47a3-a102-ce1990fb1308","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks","October 2019"
"5deb8650-1633-4d6e-a29f-cdb892aa491f","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks","November 2019"
"c66435fa-44b6-4b44-bb57-2764b0708696","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks","December2019"
"00fa9420-81f6-4216-996f-cfcbdcf29de4","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks","January 2020"
"447a6e44-b3ae-4139-b912-049ba01db89a","","no-status-not-started","","folder","TRUE","FALSE","Health & Safety","Daily/Weekly/Monthly Health & Safety","Toolbox Talks","February 2020"
