"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27b04da3-f2df-4258-bd8c-ecb93b158f32","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"fc2a1d22-e068-4438-b035-819f67b63e89","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building"
"8869dba3-c41d-4f0c-95ce-1153ce1545f7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor"
"d050f0e6-62c6-40b3-addb-3b7d7985f336","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","Corridor"
"232efa84-c43e-4468-b32a-c0d18d1b313b","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Ground floor","G05","Door Frame Grouting"
"1baa1de7-f565-4b3b-97cf-5d0e72c5e74f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1"
"b8df1e8b-0550-4ded-bb74-2d834edb7314","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","Corridor"
"a1e913e2-81c9-41b7-832f-6eeca746a2ed","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"2f3255b2-9c78-4721-ac15-46ac1005ac94","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","Corridor","External Alpha panel/cladding walls"
"cd2c7b90-414a-4124-a945-46291cc8c2bf","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 1","Corridor","Door Frame Grouting"
"11530eba-ef83-456b-92d1-b1a314979b43","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","101"
"5a0211e3-b2a0-4edd-b140-058ef6f0e33d","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","101","Plastering & Internal Hebel/Alpha panel/speed panel"
"002281f3-52f0-4f20-a9fa-716150259be8","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","101","External Alpha panel/cladding walls"
"6097abea-42ac-4a32-9a99-d2f48651b16b","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 1","101","Door Frame Grouting"
"cccf2d04-668a-4f2a-a6c0-464a64f52f71","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","102"
"14e48c03-34b2-4614-b5e7-432b464e9171","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","102","Plastering & Internal Hebel/Alpha panel/speed panel"
"c34a30c3-14fc-4b3a-b120-feefc76844eb","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","102","External Alpha panel/cladding walls"
"5d0f3868-15f0-472f-b111-95321efdbd78","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 1","102","Door Frame Grouting"
"f7ff693c-669f-4235-966b-25b9f91092ff","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","103"
"427ccf70-03db-4de3-b6b1-99c5faf64764","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","103","Plastering & Internal Hebel/Alpha panel/speed panel"
"97349f65-0a5a-456d-9b2b-fd75eb8825bb","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","103","External Alpha panel/cladding walls"
"5de1fdd5-1bc4-49f9-a1fa-964ebb1c1a1f","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 1","103","Door Frame Grouting"
"c8cf050d-66a5-479d-b295-8b97a343419c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","104"
"d51d05ad-ec48-4b08-923d-63fac16ca322","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","104","Plastering & Internal Hebel/Alpha panel/speed panel"
"9bc4ae90-4c7a-44e0-a647-ed826207b1d2","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","104","External Alpha panel/cladding walls"
"36b30fc5-750f-4949-9e24-3dd75c8de097","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 1","104","Door Frame Grouting"
"55b32092-038b-4526-adff-0cd06427cfdc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 1","105"
"9bc5f990-92be-4887-8fe1-46862a3e5bda","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 1","105","Plastering & Internal Hebel/Alpha panel/speed panel"
"4514a02f-4fc0-4e50-8232-aac63657b735","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 1","105","External Alpha panel/cladding walls"
"13968095-2b6b-4d4c-a7d2-7f273817d009","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 1","105","Door Frame Grouting"
"9b4ece0f-6019-43e0-9e28-a7125fd54d1e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2"
"1ecbf7cc-8583-41ac-a6f2-07c6fbb03f39","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","Corridor"
"b7c50758-9bd1-4d07-9109-ff00b07c55af","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"a3f404a7-04e9-4fb3-b701-6278e6f46629","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","Corridor","External Alpha panel/cladding walls"
"f481e454-ba52-4c83-a707-a138c1670c83","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 2","Corridor","Door Frame Grouting"
"12aa1cc9-3a51-42e7-aed9-dde8e707d061","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","201"
"949d8647-873c-422e-ae3a-66af7b0c25c3","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","201","Plastering & Internal Hebel/Alpha panel/speed panel"
"f3a731d7-d7c0-4494-ad44-df418e0601f4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","201","External Alpha panel/cladding walls"
"106ddb4b-439e-48ab-8f7c-6790ddb0aedc","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 2","201","Door Frame Grouting"
"5fdb83f0-d64d-43d0-8d01-77c40b39680a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","202"
"b9fbaafb-9060-4628-a732-9cbb585214d1","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","202","Plastering & Internal Hebel/Alpha panel/speed panel"
"bc1e99e6-fa00-4c49-882b-9f1a1e2342f4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","202","External Alpha panel/cladding walls"
"d924c312-8f3b-4c9e-b64b-e1e269fdfa77","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 2","202","Door Frame Grouting"
"6b81241d-6055-4cc7-8da9-0eebbaaa2f8a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","203"
"127fe22f-e487-4254-8596-9b7e323058c2","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","203","Plastering & Internal Hebel/Alpha panel/speed panel"
"09812082-ee95-4076-8bc5-9b87420070c7","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","203","External Alpha panel/cladding walls"
"0ad32ab4-2690-4204-b8b3-c5dad1b89dc4","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 2","203","Door Frame Grouting"
"5a089acb-a456-44d3-8ec4-2b44ac5cf077","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","204"
"4cf80ce7-a4e0-44a7-857b-c59516896701","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","204","Plastering & Internal Hebel/Alpha panel/speed panel"
"64eeb962-a8c1-4e02-9e40-c46d0ea9456d","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","204","External Alpha panel/cladding walls"
"66414507-901a-41ce-bdb2-11836e5bdb9e","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 2","204","Door Frame Grouting"
"2eafe236-ce44-4a84-9a15-d0edb38ba072","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 2","205"
"87fa18bf-c364-4133-9ed0-d2d9ed08e368","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 2","205","Plastering & Internal Hebel/Alpha panel/speed panel"
"55a5acdc-867d-4adf-950f-dfbdadd40f5e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 2","205","External Alpha panel/cladding walls"
"6204dce7-b681-438d-9c36-61d7149baa83","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 2","205","Door Frame Grouting"
"e93b435f-cbae-48a3-946e-fa46d848c004","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3"
"7664d3e9-7913-4096-b7af-57170b0c77b0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","Corridor"
"9c212113-4c1b-44f2-bb51-cd0cfcf0ffce","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"afaca463-e236-4e84-b236-23f81c3c1b9e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","Corridor","External Alpha panel/cladding walls"
"71e80fb6-6ee8-49d2-ad18-14402456ab4a","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 3","Corridor","Door Frame Grouting"
"563ae284-ff01-4590-b859-f2d8e91dc79a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","301"
"5fc1b4ea-bcf1-4088-8ce9-f2b8949effe5","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","301","Plastering & Internal Hebel/Alpha panel/speed panel"
"c7d73477-35dc-47f5-bf04-039da9f9c527","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","301","External Alpha panel/cladding walls"
"7d93dc50-4783-44e2-ac76-0c7eac0fdc69","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 3","301","Door Frame Grouting"
"299a791f-ebeb-4f38-b62a-1f01d47d405e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","302"
"e433f0aa-92c3-422a-b923-d24e7cc7a10a","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","302","Plastering & Internal Hebel/Alpha panel/speed panel"
"80b372cc-d7c2-4a11-ad7e-695c0d19476f","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","302","External Alpha panel/cladding walls"
"eb452fc8-0bae-4270-8706-b4c1d44481a2","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 3","302","Door Frame Grouting"
"7e905c55-13b8-492f-9159-25d079a42ea9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","303"
"3fab0583-d740-483b-895f-7e30ac3ec364","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","303","Plastering & Internal Hebel/Alpha panel/speed panel"
"56a1b8ba-1abf-4319-826a-91e527b6f263","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","303","External Alpha panel/cladding walls"
"fc2139c8-f3f5-44ba-a7c7-eec09163791b","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 3","303","Door Frame Grouting"
"eef4da16-55f3-47a9-ae1d-cdd48ba664c6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","304"
"8f9d4e2e-0241-4a39-bf67-8710e8c136e1","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","304","Plastering & Internal Hebel/Alpha panel/speed panel"
"4530b997-617d-4755-a501-d36b44690dd2","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","304","External Alpha panel/cladding walls"
"854c49d0-fdc2-4f19-9bd2-ea0579397fbc","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 3","304","Door Frame Grouting"
"d4fdd6dc-8ecc-4f13-ae27-3d1dc7ef306a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 3","305"
"29a10602-f4e8-4d0f-9081-4a601720b8db","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 3","305","Plastering & Internal Hebel/Alpha panel/speed panel"
"492a1b83-a0d0-455b-bc1c-4475c2c764b6","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 3","305","External Alpha panel/cladding walls"
"209f498b-090d-4af1-91f1-b084c818bb73","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 3","305","Door Frame Grouting"
"b42cbdbe-d418-46a0-a3b7-4580e745cf0f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4"
"c1041741-b86e-40fd-8565-f8cb0a34ad5e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","Corridor"
"a6dd534c-e157-44f0-803b-36afa37a9403","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"c345f960-c88a-421f-8269-324894e2c9a4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","Corridor","External Alpha panel/cladding walls"
"0fa4413c-0be2-4ab3-83fe-37b4516bef81","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 4","Corridor","Door Frame Grouting"
"165e8aff-dd25-4704-8c9a-84285dbdfdf7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","401"
"155ad57e-46fe-4415-bbe6-ef549ef88749","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","401","Plastering & Internal Hebel/Alpha panel/speed panel"
"ac24c40d-65bf-4501-8578-4e6ba482e1ab","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","401","External Alpha panel/cladding walls"
"6742207a-5155-48f3-b941-3d6d7945fcff","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 4","401","Door Frame Grouting"
"d8c1a145-de13-4fd4-9212-8f5c4e6c6d5b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","402"
"a8a2bc10-37eb-4f4b-b423-661d01051a0e","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","402","Plastering & Internal Hebel/Alpha panel/speed panel"
"15020020-504e-4207-b072-742e1eb795b0","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","402","External Alpha panel/cladding walls"
"4da57639-1e3b-4666-a5b6-a570750a0f84","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 4","402","Door Frame Grouting"
"799a0862-ad18-4831-bcf2-0ffeab2cfd13","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","403"
"db19a77c-b16c-4094-b78b-2c6db83c5974","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","403","Plastering & Internal Hebel/Alpha panel/speed panel"
"f1432302-2153-4fe3-b52a-fd415240db68","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","403","External Alpha panel/cladding walls"
"5484e385-25dd-4571-9b48-23578c0ca0e7","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 4","403","Door Frame Grouting"
"f83f39bc-d8a0-41ad-b1c7-e18dd83587fd","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 4","405"
"53b225bc-6400-4519-ac56-cfa5c0cbeb78","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 4","405","Plastering & Internal Hebel/Alpha panel/speed panel"
"e530bc3e-ebac-4af9-86bc-c3852eec16d4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 4","405","External Alpha panel/cladding walls"
"00814289-c44a-44ba-991e-da02248bb32e","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 4","405","Door Frame Grouting"
"37a8003b-f747-4757-b59d-0f4fbc6aa954","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5"
"e9395103-868a-4cbc-9332-9d3fc2b0ebf4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","Corridor"
"4eebe854-77a7-46b3-89d4-17829d00e0fe","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"265ee727-d5f4-4412-8937-8a998d048bd1","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","Corridor","External Alpha panel/cladding walls"
"6807f0e5-76d2-444f-ad17-eafc53e25f86","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 5","Corridor","Door Frame Grouting"
"8d381901-c550-422f-9a50-99247f2cff11","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","501"
"b390dde9-a1c8-4fc2-b296-617aa300a802","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","501","Plastering & Internal Hebel/Alpha panel/speed panel"
"0a001e0b-aae0-4f73-8cd8-4149f35c078b","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","501","External Alpha panel/cladding walls"
"7eee948e-be13-4402-b6ca-fb1ee715f294","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 5","501","Door Frame Grouting"
"3df6ed61-2f06-43ec-96f3-09799e49b782","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","502"
"6c0d8a7f-1bea-41a0-a586-55b3ce9aba89","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","502","Plastering & Internal Hebel/Alpha panel/speed panel"
"ef3c8888-4e61-474e-a31a-b0e5480fb4f5","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","502","External Alpha panel/cladding walls"
"48838c2b-30c6-4626-83ae-363e753ae40c","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 5","502","Door Frame Grouting"
"44df8da7-b87e-4115-b933-6bb299df2bc6","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","504"
"8a5e65d2-7213-45e7-8ec5-801b688cbe4d","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","504","Plastering & Internal Hebel/Alpha panel/speed panel"
"649112a0-0bbc-4175-b4df-88d68f6d4e9f","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","504","External Alpha panel/cladding walls"
"f56ae851-7d58-4866-a437-e52f0f793b11","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 5","504","Door Frame Grouting"
"1160c039-a397-4322-ae21-5cb89a6adb68","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 5","505"
"86b9e628-3d46-4892-ae46-fb361c3a30c6","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 5","505","Plastering & Internal Hebel/Alpha panel/speed panel"
"2372c35b-e0f8-46df-a783-8a74b5110fbd","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 5","505","External Alpha panel/cladding walls"
"bab6e4ba-7e9b-43fd-bd31-d396d17a5c6d","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 5","505","Door Frame Grouting"
"c2553f77-6139-40a1-93f1-2ff69fb9867c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6"
"af8d305d-c1aa-4dd3-9f27-13a5cfb8ddac","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","Corridor"
"8b67cf72-b837-45ff-9c48-7ae973acb2ab","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"22379b64-717a-4663-8249-a9258f63b4e8","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","Corridor","External Alpha panel/cladding walls"
"3de00684-911e-4a42-9281-640e9ea3c4b8","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 6","Corridor","Door Frame Grouting"
"9092af0f-2c49-495e-bbe2-1e7bd812c91a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","601"
"45337353-676b-4908-abf8-b581f4d38a05","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","601","Plastering & Internal Hebel/Alpha panel/speed panel"
"e438483a-71a7-4201-a27b-9280b1490dd9","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","601","External Alpha panel/cladding walls"
"96b01a67-2933-485c-a00d-cde887fce1b4","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 6","601","Door Frame Grouting"
"fb12777a-770b-46ba-8f06-aae3d91f819d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","602"
"4db27e8d-f15c-4bb1-845e-8ace5ae6e56f","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","602","Plastering & Internal Hebel/Alpha panel/speed panel"
"d973510d-020f-4cfa-a22d-d52073a08084","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","602","External Alpha panel/cladding walls"
