type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checklist ,Site Establishment and Safety Checklist,,,,,,,,
section,Details,,,,,,,,
checkpoint,Delivery and goods lift location,,,,,,,,
checkpoint,Delivery requirements i.e. booking process,,,,,,,,
checkpoint,On site storage / office location,,,,,,,,
checkpoint,Site specific restrictions i.e. noise / starting times,,,,,,,,
,,,,,,,,,
checklist,Ductwork Checklist,,,,,,,,
section,Ductwork,,,,,,,,
checkpoint,Rectangular duct installed as per latest drawing,,,,,,,,
checkpoint,Duct flanges firmly bolted and sealed where required,,,,,,,,
checkpoint,Cleats installed as required,,,,,,,,
checkpoint,Correct hanger spacing / supports installed,,,,,,,,
checkpoint,DW insulated where required and damage free,,,,,,,,
checkpoint,Ductwork restrained for wind/seismic where required,,,,,,,,
checkpoint,Any required ductwork leakage testing,,,,,,,,
checkpoint,Pops & flex installed as per latest drawing,,,,,,,,
checkpoint,Correct hanger spacing / supports installed for flex,,,,,,,,
checkpoint,Free from support off other services,,,,,,,,
checkpoint,Flexible duct connections completed correctly,,,,,,,,
checkpoint,Blade dampers installed as documented and left in the open position,,,,,,,,
checkpoint,BD pop access panel coordinated and marked,,,,,,,,
checkpoint,Cushion boxes installed as per latest drawing,,,,,,,,
checkpoint,Balancing dampers installed as documented and left in the open position,,,,,,,,
checkpoint,Location of register coordinted with other services and marked on plan or floor,,,,,,,,
checkpoint,Photos of ductwork correctly sealed through smoke wall & smoke damper,,,,,,,,
,,,,,,,,,
checklist,Pipework Checklist,,,,,,,,
section,Pipework,,,,,,,,
checkpoint,Pipework installed as per latest drawings,,,,,,,,
checkpoint,Pipework installed level and free of damage,,,,,,,,
checkpoint,All joins welded / crimped as per manufacturer's instructions,,,,,,,,
checkpoint,Air bleeds installed in pipework where required,,,,,,,,
checkpoint,Riser or area branch valve access panel coordinated and marked,,,,,,,,
checkpoint,Correct hanger spacing / supports installed for pipe runs,,,,,,,,
checkpoint,No other services suspended from pipework,,,,,,,,
checkpoint,Pipework lagged where required and correct thickness,,,,,,,,
checkpoint,Pipework labelled,,,,,,,,
checkpoint,Pipework secitons though fire walls lagged as per test report,,,,,,,,
checkpoint,Correct hanger spacing / fall,,,,,,,,
checkpoint,Drain tested,,,,,,,,
checkpoint,Drain pump installed level and tested,,,,,,,,
checkpoint,Drain terminates at a tundish,,,,,,,,
checkpoint,"Drains, pump and tundish access for maintenance.",,,,,,,,
,,,,,,,,,
checklist,Indoor Equipment Checklist,,,,,,,,
section,Indoor Equipment,,,,,,,,
checkpoint,Indoor Unit (IDU) correctly supported as per project engineering requirements,,,,,,,,
checkpoint,Correct IDU installed as per latest drawing,,,,,,,,
checkpoint,Flexible connections installed and sealed,,,,,,,,
checkpoint,Access to filter bank / filters installed,,,,,,,,
checkpoint,Access to all relevant controls and isolators,,,,,,,,
checkpoint,IDU access panel coordinated and marked,,,,,,,,
checkpoint,Ventilation fan correctly supported as per project engineering requirements,,,,,,,,
checkpoint,Correct fan installed as per latest drawing,,,,,,,,
checkpoint,Fan connections secured and sealed,,,,,,,,
checkpoint,Access to fan and isolator,,,,,,,,
checkpoint,Ventilation fan access panel coordinated and marked,,,,,,,,
checkpoint,Correct VAV installed as per latest drawing,,,,,,,,
checkpoint,Access to VAV and controls,,,,,,,,
checkpoint,VAV access panel coordinated and marked,,,,,,,,
,,,,,,,,,
,,,,,,,,,
checklist,Grille Fit-Off Checklist,,,,,,,,
section,Grille Fit-Off,,,,,,,,
checkpoint,Grilles installed in correct location as per latest duct layout / RCP,,,,,,,,
checkpoint,Correct grille type installed,,,,,,,,
checkpoint,Grille installed flush and square,,,,,,,,
checkpoint,"Are all grilles installed correctly? Air leaks, vibration or failure",,,,,,,,
checkpoint,Grille color as per schedule,,,,,,,,
checkpoint,Grille left clean of fingerprints and caps installed where required,,,,,,,,
checkpoint,Grille fit-Off completed to drawings/specification & Area left clean/tidy (Any Issues comment below),,,,,,,,
,,,,,,,,,
