"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"190cf951-152c-400c-a22c-439364f19996","","folder-normal","pass","","step","TRUE","FALSE","Project QA"
"964bf660-4e2c-4f1a-892a-91010b39f71d","","checklist-sectioned","pass","10b265d7f7dd1f873665d81d7d30b1984c9fdfecf0eb99db3a5f8030315a75f4","checklist","FALSE","FALSE","Project QA","Date/Area: 7/12/22 Dry tipping ramp in 31 Bowden road, Mt Wellington "
"8a7e497f-dec3-4d5c-8ba4-d74b90eb56ff","","checklist-sectioned","pass","ST - S - Concrete Pour - Without Reo","checklist","FALSE","FALSE","Project QA","Tower Crane 1 - 08/08/2023"
"e890fe04-01d9-45a0-a931-b2d199956a43","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety"
"88ccb41a-3635-4a7a-bba9-62b81611e7c2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"f542ab49-733d-4623-9c10-882902d1fdfa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2022"
"4040f755-8f4a-4b94-a865-8e3b2e67293b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2022"
"c2ffe094-8420-4c0a-ba34-42b095ee44f7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2022"
"c0a8b5fd-a92c-4060-818e-9a298a698c4b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2022"
"7ad4f9df-f4e4-488a-95f1-dab5ee634d65","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","December 2022"
"ee9af134-d606-48e8-8004-4e63821a212d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","January 2023"
"a6c20914-d07c-4336-9f6e-875ecbe9f99a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","February 2023"
"67c807d9-438a-4a2c-887c-7bca9cce6206","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","March 2023"
"23d4fb5c-a2ae-478e-bb8c-54f182c5e9b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","April 2023"
"ce046ade-0441-42e5-a12b-dffdd74cf03f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","May 2023"
"34b5e8d3-db6f-4f2d-b1fd-9d02fe836d93","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","June 2023"
"0cedd205-337a-47bb-b0a5-769691e65310","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","July 2023"
"f0e73c07-f591-4ee9-8dd2-d19482895df7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2023"
"fa0a6090-57ec-4de4-902c-47c7ae0b1064","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2023"
"88248a2b-2008-4480-b676-9ef7682d9d5f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2023"
"94082a3d-0205-4556-b0c9-28e28b52a379","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","November 2023"
"3b0954ea-b930-4156-af1f-2603a9689137","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","December 2023"
"2167fed7-c02e-4441-9b01-3e291346f8b5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox"
"4c6e0775-3bed-4382-ba58-6a8001028f94","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2022"
"29388fa8-620b-423d-b942-338ea990fb8b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2022"
"809277fc-5126-4b39-8ec2-8d44ccf9a9e9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2022"
"8186d96a-d9a5-416f-9882-5a856192c912","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","November 2022"
"df5344d7-ec69-4117-a2dd-dc9873b2802e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","December 2022"
"0ca07b7b-d889-4203-bed3-b2fd7830cb4a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","January 2023"
"c59e237a-3ee9-4f75-82d9-84969b086086","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","February 2023"
"c645caf1-5a10-4e74-9b88-96d578d3be15","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","March 2023"
"76576b63-0f99-4cf0-84db-b1b897d24942","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","April 2023"
"74a6bd5c-7b49-436b-8bfb-3f274045e71e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","May 2023"
"7c02ab45-1430-4a1e-a674-0386b548b772","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","June 2023"
"73b38b83-25fb-4a62-813c-6b7929f3b8bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","July 2023"
"8a106803-82a3-4f59-8024-4dcef79e6da6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2023"
"0c76dc1d-6535-4d50-a08f-902fcdade8c8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2023"
"85b3f581-d630-4dbf-a175-8df35c612ac1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2023"
"9482a0d8-020c-4b03-b36e-860bee05ca7a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","November 2023"
"49c120a0-a9a9-4a55-83f0-b2480d8cdbb6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","December 2023"
"123a06f1-583e-4cb7-a369-1d529d165ba9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection"
"c6d8274e-da5b-495d-8a36-9e0cec8d2bd3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2022"
"677de5e7-b32a-4600-8efc-0a0a339d6267","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2022"
"0d3fe14c-5e57-48d3-a6a7-b787e76800e3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2022"
"ae5a19ff-c50c-4578-86e4-14460c1c297d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","November 2022"
"6e5260bd-0b60-4b7d-9a9c-af9ae733b70c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","December 2022"
"1b62471d-2259-4319-877d-da21381b2b4e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","January 2023"
"0380fef8-2178-4671-8333-62110a3090ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","February 2023"
"a074dcb9-0815-4999-b734-d88d984c3034","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","March 2023"
"993a97eb-bed7-4c64-9719-5d4184eb8a27","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","April 2023"
"f8a96881-f248-4e99-bf9f-136f8f9a34f4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","May 2023"
"336aa178-8ab9-4c49-bd7e-30de0fe0ac19","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","June 2023"
"5854c82b-12d8-4f4e-b95c-ad56a458acb1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","July 2023"
"f17363b1-9439-4316-96cd-41ac92c62d5d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2023"
"6ff9d947-0de9-41d2-a704-fb5b1786e248","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2023"
"e7506f96-7fb1-4809-b343-54b8d2451449","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2023"
"bc9f6226-6890-4c5f-9b2a-7eb3165ee7a9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","November 2023"
