type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,
checklist-sectioned,ITP-087-CIV-PSDS-Type A Fill-Road,itp,,,,Yes,ITP-087-CIV-PSDS-Type A Fill-Road Rev 0,0f81a8e1-cfbd-4940-b1bf-bd7943c0759e,,,,,,,,,,,,,
checkpoint-group,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-087-CIV-PSDS-Type A Fill-Road,,,,,,,,,,,,,,,,,,,,
label,ITP Description: PSDS-Type A Fill-Road,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 087-CIV,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 21/12/2023,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,,,,,,,
label,VicRoads Standard Section 176 (Sept 2008),,,,,,,,,,,,,,,,,,,,
label,VicRoads Section,,,,,,,,,,,,,,,,,,,,
label,204 (Dec 2015),,,,,,,,,,,,,,,,,,,,
label,Code of Practice RC500.20,,,,,,,,,,,,,,,,,,,,
label,Code of Practice RC500.5,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries-Materials,,,,,,,,,,,,,,,,,,,,
checkpoint-status,2.1 Material Conformance,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.04 b) Table 204.041,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Type A material shall comply with the requirements of Table 204.041 and shall be free of topsoil, deleterious and/or perishable matter.",,,,,,,,,,,,,,,,,,,,
label,○ Assigned CBR≥10%,,,,,,,,,,,,,,,,,,,,
label,○ Swell ≤ 1.5%,,,,,,,,,,,,,,,,,,,,
label,○ Permeability ≤ 5X10-9 m/s,,,,,,,,,,,,,,,,,,,,
label,Grading:,,,,,,,,,,,,,,,,,,,,
label,○ 75.0mm 100%,,,,,,,,,,,,,,,,,,,,
label,○ 4.75mm 40-80%,,,,,,,,,,,,,,,,,,,,
label,○ 0.075mm 10-40%,,,,,,,,,,,,,,,,,,,,
label,Reference: Material approval in Teambinder:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each material type",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Supplier Material Conformance Certificate,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries-Documentations,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 Pre-Commencement of Fill Works,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.10 (b),,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Areas upon which fills are to be constructed shall be prepared for test rolling by the Contractor.,,,,,,,,,,,,,,,,,,,,
label,○ The Contractor shall not commence placing any fill on the prepared areas until the area has been reviewed by the Nominated Authority.,,,,,,,,,,,,,,,,,,,,
label,○ No fill shall be placed against or within 3 m of a structure until the foundation for the fill has been reviewed by the Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,Reference: Subgrade Preparation Lot Number:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencement of fill works,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 Survey Set Out,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Design Drawings,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Set out pegs in place and clearly mark out limits of works.,,,,,,,,,,,,,,,,,,,,
label,ATTACH: LOT MARKED UP LOCATION ON THE IFC DRAWING (LOT MAP),,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual Inspection,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot prior to commencement,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Signed ITP, Lot Map",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Type A Fill/Verge Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 Placing of Fill,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.10,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Type A material shall be spread and compacted in layers not exceeding a compacted thickness of 200 mm.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: WP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Sign ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
