"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"79cb1f43-a2b9-4387-86c6-4f448726d9fd","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP"
"e81e2c4a-3698-4414-b0e6-9db508d7553f","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing"
"317497b4-0a92-452a-af24-38402c70ecf7","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor"
"bbad046e-4d52-4903-a11a-364e253dbc44","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities"
"8c91325f-a69c-49ab-8d98-baf4281757c6","","checklist-sectioned","work-in-progress","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male"
"6844d5f6-602e-5e7d-af43-5b58e34701f3","","checkpoint-group","work-in-progress","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details"
"08e4ccc2-97c2-5108-81ac-bb64d7e784ef","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"08b43096-88fa-5d50-8ce4-295e5c80968f","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"9e9340c9-bf30-5a5e-98ad-3ef29140fdff","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"9f310129-c862-5b40-aa32-145e0e2b848e","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"5b6a749d-9d51-55da-89f6-7b3084ad715d","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"6c1febca-9e33-50e3-bbbc-937434c7e540","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","6. 24hr Curing (Typical*)"
"e9141005-86fa-50bf-96c8-382790581c91","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","7. 2nd Coat Keratrade WPM applied"
"ff1ecfcf-afe0-5ac0-93ec-8d023d1e24d3","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","8. 48hr Curing (Typical*)"
"c933bd53-9e6a-5e83-bf7e-99704b51bf18","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"d2678a9e-9b23-53e8-a691-96e442bc20b5","","checkpoint-status","pass","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","10. 24hr Water Test"
