"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5bd822eb-73dc-427f-a305-05ddaa91b3d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01"
"dc902f98-0eca-46d5-86fd-315440124e08","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2"
"79585953-e2e9-432f-9c20-6d24813a7832","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A"
"45a93894-a0ea-4356-80a1-85995ef1934e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ALS Corridor- Grid lines"
"69149f4a-e938-4c24-87a8-5d48e28c5359","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ALS Corridor- Grid lines","Internal Lining - Ceilings"
"afc0626c-3025-49de-bafe-e166fafdb6cc","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ALS Corridor- Grid lines","Internal Lining - Walls"
"9610299b-ee44-4245-aaad-8ce00e6d8b51","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ALS Corridor- Grid lines","Stopping"
"90d8c83c-7e48-48d0-a9cd-53554f5b6551","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ALS Corridor- Grid lines","Painting"
"7b79de88-a819-4fdc-bb5c-4248f6dc7868","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Store"
"2add7764-e858-4831-8555-31fd72e22d39","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Store","Internal Lining - Ceilings"
"3ea7fd91-4fa0-4adc-9513-aca58eeb7d90","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Store","Internal Lining - Walls"
"cc982903-b9f1-4dbe-ae8f-304903289484","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Store","Stopping"
"83fbecf3-0ffd-4d87-be70-e5845f6b3c41","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Store","Painting"
"af4f5a2d-4912-42f7-9354-739e6cbdc26f","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ACC Laundry"
"48b634a5-c971-4c38-a70f-b2cb41663c97","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ACC Laundry","Internal Lining - Ceilings"
"ad05505e-57df-4b83-9685-07f6fac49afe","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ACC Laundry","Internal Lining - Walls"
"ee6551d2-95a8-47d7-a8de-d453157a3129","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ACC Laundry","Stopping"
"96f7165c-d1ee-40ba-bd7e-a55220bbf923","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ACC Laundry","Painting"
"9f7f15ea-e83d-42aa-b66a-556963a8427d","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lounge"
"2ba72cf4-0410-4157-8594-b20ff9d07e2e","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lounge","Internal Lining - Ceilings"
"f1990624-fb29-4660-99bd-99f2ef2224eb","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lounge","Internal Lining - Walls"
"f49a53c8-c48c-4591-abdc-9616cf6410ca","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lounge","Stopping"
"a30f9f3b-d0d8-4cf6-963e-8bd78b633b0c","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lounge","Painting"
"9dd39a36-1993-4b4b-8503-eb2f92a29dd9","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Comms"
"3bce01d5-7c75-4fb6-b474-ad0aceab1cb4","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Comms","Internal Lining - Ceilings"
"9d9ddec6-d0ec-471c-9cd1-aecd3809ddd4","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Comms","Internal Lining - Walls"
