"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"acae8e9e-4bd2-4cb9-92e9-2f5391bdedc6","","folder-normal","fail","","step","TRUE","FALSE","Zone A (Building B)"
"d653557b-d41e-445b-9a57-fdb20ca75bb2","","folder-normal","fail","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground"
"c7fb5a79-cb6b-4e9b-9673-1939dde6b86a","","checklist-flat","pass","Reference Drawing","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Reference Drawing"
"8753136d-4a51-4c61-b4b8-6ed3db6a1ed6","","folder-normal","fail","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A"
"c155ff40-ede8-4cef-9221-353145c7a1d6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)"
"d9cc86a8-dee2-4321-87b6-fbdfd7d18203","","checklist-sectioned","work-in-progress","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Sheet Sign off"
"38e108fb-d745-4d98-a36c-bf4687c05465","","checklist-sectioned","work-in-progress","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Grid Sign off"
"0c07f123-fe21-4f5b-85b4-e044991030bc","","checklist-sectioned","work-in-progress","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)","Pre Ceiling Sign off"
"c4b24cd9-e7ae-4a45-b84d-bc1bdd380f97","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)"
"17833362-48fb-46cf-8238-2253b5327275","","checklist-sectioned","work-in-progress","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Sheet Sign off"
"f712ffa3-3ae7-472a-b1f7-4c89a6a27610","","checklist-sectioned","work-in-progress","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Grid Sign off"
"56323624-f412-43d3-a5cd-257afe4fb493","","checklist-sectioned","work-in-progress","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.002)","Pre Ceiling Sign off"
"3edc1369-797d-4a9a-b047-1cc3c8aaeea0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)"
"3f7ac8ea-f1da-497a-b471-93dd7c92eca6","","checklist-sectioned","work-in-progress","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Sheet Sign off"
"3e854fdc-3a96-4d53-939f-93749615c52d","","checklist-sectioned","work-in-progress","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Grid Sign off"
"a86c2a39-dc11-4e2a-9786-542b1b55774e","","checklist-sectioned","work-in-progress","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.003)","Pre Ceiling Sign off"
"6b7a149d-4379-4d13-ba57-b8938320e7ea","","folder-normal","work-in-progress","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.004)"
