resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,Site QA,,,,,,,,,
,step,,,,Lower Ground,,,,,,,,
,step,,,,,FCU-LG-G1-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-LG-G1-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-LG-G8,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-LG-G9,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
ITP-115 - Mechanical - Final Sign Off,checklist,,,,,Final Sign Off,,,,,,,
,step,,,,Ground Floor,,,,,,,,
,step,,,,,FCU-GL-03,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-08,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-09,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G1-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G1-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G1-3,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G4,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G5,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G6-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-GL-G6-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
ITP-115 - Mechanical - Final Sign Off,checklist,,,,,Final Sign Off,,,,,,,
,step,,,,Level 1,,,,,,,,
,step,,,,,FCU-L1-1.1.1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-1.1.2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-1.2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-1.3,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-1.4,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-1.5,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-1.6,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-G4,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-G5,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-G6-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L1-G6-3,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
ITP-115 - Mechanical - Final Sign Off,checklist,,,,,Final Sign Off,,,,,,,
,step,,,,Level 2,,,,,,,,
,step,,,,,FCU-L2-2.1-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.1-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.2-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.2-3,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.3-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.4-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.4-3,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.5-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.5-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L2-2.7-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
ITP-115 - Mechanical - Final Sign Off,checklist,,,,,Final Sign Off,,,,,,,
,step,,,,Level 3,,,,,,,,
,step,,,,,FCU-L3-2.4-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.1-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.1-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.2-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.2-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.3-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.3-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.4-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.5-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.5-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-L3-3.6,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
ITP-115 - Mechanical - Final Sign Off,checklist,,,,,Final Sign Off,,,,,,,
,step,,,,Mezzanine Floor,,,,,,,,
,step,,,,,FCU-MEZZ-3.1-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-MEZZ-3.1-2,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU--MEZZ-3.1-1,,,,,,,
ITP-115 - Mechanical - Rough-In,checklist,,,,,,Rough-In,,,,,,
ITP-115 - Mechanical - Fit-Off,checklist,,,,,,Fit-Off,,,,,,
,step,,,,,FCU-MEZZ-3.6-1,,,,,,,
