"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e0585c06-ecd1-41ce-9ccc-01769e8a2550","","work-in-progress","","folder","TRUE","FALSE","Male Amenities"
"03e6ba65-4301-4114-bb88-a02148e86c7b","","pass","Rough In","checklist","FALSE","FALSE","Male Amenities","Rough In"
"04364449-03f5-4d2c-ae73-210f0837fd14","","pass","Drains","checklist","FALSE","FALSE","Male Amenities","Drains"
"12aad489-48df-46a5-b9f1-032610ec8d41","","work-in-progress","Fit Off (Male)","checklist","FALSE","FALSE","Male Amenities","Fit Off"
"0dbd504a-62d7-477d-b201-9449269a6dc6","","not-started","Commissioning","checklist","FALSE","FALSE","Male Amenities","Commissioning"
"44ab561a-d654-44ce-9230-2d1da56dfdf9","","work-in-progress","","folder","TRUE","FALSE","Female Amenities"
"92485e8a-2569-4997-a03d-a299cfa7d6f9","","pass","Rough In","checklist","FALSE","FALSE","Female Amenities","Rough In"
"ba59e1dd-1147-4d3f-a407-c1d59f5bfac7","","pass","Drains","checklist","FALSE","FALSE","Female Amenities","Drains"
"d9d49578-5453-44ca-a203-a97d93c52b64","","work-in-progress","Fit Off (Unisex)","checklist","FALSE","FALSE","Female Amenities","Fit Off"
"ca723a2f-0fb4-4089-8364-3bfef102fcec","","not-started","Commissioning","checklist","FALSE","FALSE","Female Amenities","Commissioning"
"902a481e-37c8-4d91-8ef3-35bfdce344cf","","work-in-progress","","folder","TRUE","FALSE","DDA 1"
"7e23feef-0716-4659-b79e-aaffd586c71b","","pass","Rough In","checklist","FALSE","FALSE","DDA 1","Rough In"
"23f21c23-0f70-4845-94f9-22b7e4dc2986","","pass","Drains","checklist","FALSE","FALSE","DDA 1","Drains"
"dafddf16-0b18-49de-b924-085cda924027","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","DDA 1","Fit Off"
"1b416865-ca4f-49a9-874d-791604bfdc45","","not-started","Commissioning","checklist","FALSE","FALSE","DDA 1","Commissioning"
"afa49849-9329-4c52-ab18-52f95d5c5e63","","work-in-progress","","folder","TRUE","FALSE","DDA 2"
"468a77a5-8a0d-4936-bd48-8c5dd2b043e7","","pass","Rough In","checklist","FALSE","FALSE","DDA 2","Rough In"
"75df921b-16a7-4cd0-9ab8-147b475c1b44","","pass","Drains","checklist","FALSE","FALSE","DDA 2","Drains"
"90a0f976-db80-459d-a772-76e13c61cbd4","","not-started","Fit Off (Unisex)","checklist","FALSE","FALSE","DDA 2","Fit Off"
"8235bd69-88e2-4e50-be22-6a2ea89608aa","","not-started","Commissioning","checklist","FALSE","FALSE","DDA 2","Commissioning"
"6f6897bc-0e41-4656-890b-40b1a299cc24","","work-in-progress","","folder","TRUE","FALSE","Hot water Service"
"955f8490-56f6-4431-8d0d-2b9fb877b8c3","","pass","Rough In","checklist","FALSE","FALSE","Hot water Service","Rough In"
"cf762875-ae43-4648-9574-fd022cec0ce1","","not-started","Plant and Equipment","checklist","FALSE","FALSE","Hot water Service","Plant and Equipment"
