resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Site QA,,,,,,,,,,
,step,,,,Electrical services,,,,,,,,,
,step,,,,,IN GROUNDS,,,,,,,,
,step,,,,,,E01,,,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - TX-SMHRU-A TO MSB-A TRENCH & BACKFILL,,,,,,
QA_TEM_004_Trench and Backfill,checklist,,,,,,,,QES-ITC-E01-001,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - TX-SMHRU-A TO MSB-A UNDERGROUND CONDUIT INSTALL,,,,,,
QA_TEM_005_Underground Conduit Installation,checklist,,,,,,,,QES-ITC-E01-002,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - TX-SMHRU-B TO MSB-B TRENCH & BACKFILL,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,,QES-ITC-E01-003,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - TX-SMHRU-B TO MSB-B UNDERGROUND CONDUIT INSTALL,,,,,,
QA_TEM_005_Underground Conduit Installation,checklist,,,,,,,,QES-ITC-E01-004,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - EARTH RING,,,,,,
QA_TEM_003_Earth Electrode,checklist,,,,,,,,QES-ITC-E01-005,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - HV CABLE PIT INSTALLATION,,,,,,
QA_TEM_081_Cable Pit Installation,checklist,,,,,,,,QES-ITC-E01-006,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - BOOM GATE TRENCH & BACKFILL,,,,,,
QA_TEM_004_Trench and Backfill,checklist,,,,,,,,QES-ITC-E01-007,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - BOOM GATE UNDERGROUND CONDUIT INSTALL,,,,,,
QA_TEM_005_Underground Conduit Installation,checklist,,,,,,,,QES-ITC-E01-008,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - COMMS LEAD IN TRENCH & BACKFILL ,,,,,,
QA_TEM_004_Trench and Backfill,checklist,,,,,,,,QES-ITC-E01-009,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - COMMS LEAD IN UNDERGROUND CONDUIT INSTALL,,,,,,
QA_TEM_005_Underground Conduit Installation,checklist,,,,,,,,QES-ITC-E01-010,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - EXTERNAL LIGHTING TRENCH & BACKFILL ,,,,,,
QA_TEM_004_Trench and Backfill,checklist,,,,,,,,QES-ITC-E01-011,,,,,
,step,,,,,,,IN GROUND SERVICES INSTALL - EXTERNAL LIGHTING UNDERGROUND CONDUIT INSTALL,,,,,,
QA_TEM_005_Underground Conduit Installation,checklist,,,,,,,,QES-ITC-E01-012,,,,,
,step,,,,,IN SLAB,,,,,,,,
,step,,,,,,E02,,,,,,,
,step,,,,,,,CAST IN CONDUIT INSTALLATION - BASEMENT 2 POUR 1A,,,,,,
