type,name,values,prefix,postfix,usage count,user addable,template name
checklist ,Window Checklist ,,,,,,Window Checklist 
section,Subframe installation ,,,,,,
checkpoint,Opening accepted ,,,,,,
checkpoint,"Subframe installed, fixings at correct centres and oversealed, end damns installed and sealed.",,,,,,
label,PICTURE REQUIRED,,,,,,
section,Frame Installation,,,,,,
checkpoint,Drainage weep holes are free of any debris,,,,,,
checkpoint,Frame installed ,,,,,,
label,PICTURE REQUIRED,,,,,,
section,Glass,,,,,,
checkpoint,Glass installed and rubbered where applicable,,,,,,
label,PICTURE REQUIRED,,,,,,
section,Commissioning,,,,,,
checkpoint,"General inspection to ensure Units are clean, operational and free from defects.",,,,,,
checkpoint,"Flyscreens, flydoors, security doors and decals installed where applicable",,,,,,
,,,,,,,
checklist-flat,Floor Plan,,,,,,Floor Plan
checkpoint,Floor Plan attached,,,,,,
