type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checklist,Kingspan Installation,,,,,,Kingspan Installation Checklist (Insulated Panel Roof),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Panel: KS1000RW 70mm thickness,,,,,,,,,,
checkpoint,Internal liner colour: Surfmist,,,,,,,,,,
checkpoint,External liner colour: Surftmist,,,,,,,,,,
checkpoint,"14-14 x 135mm SDS, Hex, D/Thread, 25mm Bond. Washer class 4, Surfmist",,,,,,,,,,
checkpoint,"12-14 x 20mm Self-Drilling Screw, Hex with Neo, Class 3",,,,,,,,,,
checkpoint,Butyl tape to Gutter,,,,,,,,,,
checkpoint,Butyl tape to Soffit Flashing,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,,,,
checkpoint,Butyl sealing tape installed to Kingspan Spec,,,,,,,,,,
checkpoint,Panels located correctly,,,,,,,,,,
checkpoint,Fixings as per Kingspan Spec,,,,,,,,,,
checkpoint,Stitching screws 350mm centres,,,,,,,,,,
checkpoint,Four way lapped joins installed correctly,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
checklist,Box Gutter Installation,,,,,,Box Gutter Installation Checklist (Insulated Panel Roof),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Box Gutter Brackets,,,,,,,,,,
checkpoint,Gutter Board: Spandek Zincalume,,,,,,,,,,
checkpoint,Box Gutter: 0.61mm Colorbond,,,,,,,,,,
checkpoint,Gutter Flashing: Colorbond to match,,,,,,,,,,
checkpoint,Sumps / Outlets: Inline Sump 0.61mm Colorbond,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Gutter Brackets installed correctly,,,,,,,,,,
checkpoint,Insulation installed under gutter board,,,,,,,,,,
checkpoint,Gutter Board installed,,,,,,,,,,
checkpoint,Box gutter installed to sizes as shown in specification and drawings.,,,,,,,,,,
checkpoint,Sumps installed to correct locations and sizes as specified and as shown on drawings,,,,,,,,,,
checkpoint,Outlets installed to correct sizes.,,,,,,,,,,
checkpoint,Overflow outlets installed at each downpipe location and to correct size as indicated.,,,,,,,,,,
checkpoint,Rivet spacing for sump / box gutter are adequate,,,,,,,,,,
checkpoint,Rivet spacing for pop / sumps are adequate,,,,,,,,,,
checkpoint,Area clean and free of debris.,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
checklist,Flashing/Capping Installation,,,,,,Flashing/Capping Installation Checklist (Insulated Panel Roof),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,
checkpoint,Capping Material: 0.61mm Colorbond to match,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
checklist,Roof Penetrations,,,,,,Roof Penetrations Checklist (Insulated Panel Roof),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Penetration: Hole cut to correct size to allow clearance.,,,,,,,,,,
checkpoint,Roof sheets whethered correctly,,,,,,,,,,
checkpoint,"Soaker flashing lapped, sealed and fixed correctly.",,,,,,,,,,
