type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,ITP-009 - Geotechnical Equipment Installation Rev 2,itp,,,,,ITP-009 - Geotechnical Equipment Installation Rev 2,deba3ec5-36d6-489e-888b-4d2fe8dcd74b,
section,1.0 Pre-Construction,,,,,,,,
checkpoint,1.01 - Construction Environmental Management Plan,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Prior to personnel starting,,,,,,,,
label,Contractor - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CWP",,,,,,,,
checkpoint,1.02 - Construction Work Plan,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Prior to work starting,,,,,,,,
label,Contractor - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CWP",,,,,,,,
checkpoint,1.03 - IFC's specification,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Once prior to works commencing,,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - IFCspecifications or Written approval from PAB",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,1.04 - IFC drawings,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Once prior to works commencing,,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - IFC drawings or Written approval from PAB",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,1.05 - Approved setout locations of instrumentations,,,,,,,,
label,Method/Description - Designer Confirmation,,,,,,,,
label,Test frequency - Once for every fill site prior to work commencing,,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Written Confirmation from Designeer",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,1.06 - Method Statements Approval,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Prior to installation of instrumentation,,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Method Statement",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,1.07 - Calibration of Read Out Equipment,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Prior to starting,,,,,,,,
label,Contractor - H,,,,,,,,
label,Lab - I,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Calibration Certificate",,,,,,,,
section,2.0 Material Compliance,,,,,,,,
checkpoint,2.01 - Vibrating Wire Piezometer manufacturer specification,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Once,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Material Certificate",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,2.02 - Vibrating Wire Piezometer calibration,,,,,,,,
label,Method/Description - Document review of manufacturer's calibration certificate of piezometer,,,,,,,,
label,Test frequency - Delivery and acceptance of piezometer material; prior to installation,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Bore Logs",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,2.03 - Extensometer manufacturer specification,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
