type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,ITP-013 - Fill 13 Rev 2,itp,,,,,ITP-013 - Fill 13 Rev 2,df1538e2-6c7e-41a9-a4d1-dfde850c4234,
section,1.0 Pre-Construction,,,,,,,,
checkpoint,1.01 - CWP,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Prior to personal starting,,,,,,,,
label,Contractor - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Signed off CWP",,,,,,,,
checkpoint,1.02 - Design,,,,,,,,
label,Method/Description - Document Review,,,,,,,,
label,Test frequency - Prior to starting,,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - H,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - IFC drawings or Written approval from PAB",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
section,2.0 Material Compliance,,,,,,,,
checkpoint,2.01 - Determination of the dry density/water content relationship (Heavy Compaction) for Structural fill Material,,,,,,,,
label,"Method/Description - NZS 4402:1986, Test 4.1.2",,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - R,,,,,,,,
label,Lab - I,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - MDD Test Report",,,,,,,,
checkpoint,2.02 - Atterberg limits test for Structural fill Material,,,,,,,,
label,"Method/Description - NZS 4402:1986, Test 2.2, 2.3 & 2.4",,,,,,,,
label,"Test frequency - 1 test per 20,000m3",,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - H,,,,,,,,
label,Lab - I,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Atterberg limits Test Report",,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,
checkpoint,2.03 - Determination of the dry density/water content relationship (Heavy Compaction) for Buttress Fill Material,,,,,,,,
label,"Method/Description - NZS 4402:1986, Test 4.1.2",,,,,,,,
label,"Test frequency - 1 test per 20,000m3",,,,,,,,
label,Contractor - H,,,,,,,,
label,Designer - R,,,,,,,,
