"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9c3183e5-9497-43cc-89dd-6a45af15d5ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Diary"
"3765fc7a-57e9-4306-af09-43101ca268c7","","folder-normal","not-started","","step","TRUE","FALSE","Site Diary","Undocumented variations"
"83251ad8-868f-4029-bb18-2e3943dcf5c3","","checklist-flat","not-started","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Builder"
"1b515d21-9c75-4786-961c-7dee3c46cf8d","","checklist-flat","not-started","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Subcontractors"
"1fa41ffc-16a6-4411-9f05-69ba5396e015","","checklist-flat","pass","Site Diary Checklist","checklist-flat","FALSE","FALSE","Site Diary","Site Diary comments/notes"
"d56beaf5-e917-43eb-b951-29f862b8811d","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings"
"a531cda5-25de-4cd4-b1ba-b71a0ae44055","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings","July 2023"
"0a9c9788-d526-44df-9d68-4d7c9648fe1a","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","July 2023","Toolbox Meeting 006"
"50982764-7889-4562-963f-8effc9532e9e","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","July 2023","Toolbox 007"
"2d82c560-cb97-4ef7-bd67-35f171ef1c56","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","July 2023","Toolbox 008"
"748198f6-4140-499f-861a-1bf2082e989c","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings","August 2023"
"30bda514-a6e5-423f-a08c-fee190fbfe20","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","August 2023","Toolbox Meeting 001Aug"
"76d9c01a-d249-4a2b-8710-8c22c52f8e7c","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","August 2023","Toolbox 002Aug"
"c367b262-8db3-4aa7-a3b3-7811327db262","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings","September 2023"
"f2e44f30-9b54-4edb-91b3-c8cdc6c03809","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","September 2023","Toolbox Meeting 27/9"
"ad0ad284-f651-4390-a1f8-1432250f94e0","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings","October 2023"
"c7926aeb-26fa-49c2-9f32-3c483f92e500","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","October 2023","Toolbox Meeting Checklist 6/10"
"214a23c8-f565-4e9c-917b-048e0e2dce16","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","October 2023","Toolbox Meeting Checklist 11/10"
"99059bb3-a866-4dc3-8204-ff3fd233c059","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","October 2023","Toolbox Meeting Checklist 17/10"
"f8667452-0ad4-4dfe-9ef7-bcd75a7e37e4","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","October 2023","Toolbox Meeting Checklist 24/10"
"fe85aea7-8936-4eb9-be8f-e389ae5d2b16","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings","November 2023"
"6b41c67f-8f8d-48d6-b27b-4a506d7931da","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","November 2023","Toolbox Meeting Checklist 3/11"
"485ad262-af7b-495a-99fc-f1c837b63927","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","November 2023","Toolbox Meeting Checklist 10/11"
"1d5dd4d4-292e-4967-bdc6-a5d2b85aeb45","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","November 2023","Toolbox Meeting Checklist 16/11"
"42f0ab76-88df-43b5-97fe-4b8b90522d10","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","November 2023","Toolbox Meeting Checklist 24/11"
"69ae1d74-1d2e-4f9f-8951-ce6346defb4b","","folder-normal","pass","","step","TRUE","FALSE","Toolbox Meetings","December 2023"
"4427f45a-b231-4fc9-bbb6-47de2facdcb9","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","December 2023","Toolbox Meeting Checklist 8/12"
"8ceec4b2-3ecb-4566-bedb-9b87315f0213","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","December 2023","Toolbox Meeting Checklist 19/12"
"48499142-1916-4b99-a5c1-992019cae6bc","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","Toolbox Meeting Checklist 25/1/24"
"86505979-e888-47c8-a408-a761108900e2","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","Toolbox Meeting Checklist 2/2/24"
"1920eda7-79b8-4eac-b200-7441eeb8e4e9","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","Toolbox Meeting Checklist 8/2/24"
"1894b185-86bd-459a-a210-b02e57326349","","checklist-sectioned","pass","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meetings","Toolbox Meeting Checklist 23/2/24"
"9796573d-8af4-4bc1-886b-beeb0b67ac8e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Drawings"
"b1bfd9f6-a45a-4bf8-bd15-64b8c078fcc2","","checklist-flat","not-started","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Peno Drawings"
"5d4354c6-9830-4a2f-98e9-43d56d363b09","","checklist-flat","work-in-progress","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Fabb Sheets"
"a22c1fd4-43ba-4816-903b-4e3d3ecb3a60","","checklist-flat","work-in-progress","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Fitters Drawings"
"c29170fe-edb0-4de8-825c-08b73f05ea85","","checklist-flat","work-in-progress","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","RCP"
"58f050f5-cce8-4a90-85f4-79ef254a721c","","checklist-flat","work-in-progress","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Material Sheets"
"e71ff37a-9986-4e3f-adb8-8c2e3bcf4b2b","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"0a2b3100-3226-4449-b5da-86f449738e17","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Rough In"
