"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cc24d03a-7054-405c-8551-e20ac26911e9","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0b619aa2-839a-5ece-a4b2-b8c5a2c656d1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"1ec2e818-c8c6-4c93-8d4a-88fb411d1ec7","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"dd848cf3-c684-469e-8059-041f52888754","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"fb0ea07b-9172-4c82-9b33-adeb2e1e4f8a","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","PG1-01"
"a674ea75-00b3-58fe-ad3e-d60b97ee9be6","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Precast Element Details"
"380569b8-182f-5639-8939-060f39035c73","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Precast Element Details","Concrete Details Complete"
"350c36ea-6222-5292-a872-a7cf785112f0","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Formwork Set Up Checks"
"82a89b56-d9f7-58a3-8474-99581114dc99","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"600f191b-8a2c-5dd3-8b1e-4c7a8fb8e735","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Formwork Set Up Checks","Edge Details & Rebates"
"047436da-0719-545b-a5c4-fda8fde916d5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"72ddb3e5-d6e5-5a26-bbba-efcea7908f90","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Formwork Set Up Checks","MF roughening's"
"475b9066-74bc-59f6-b10d-d8d2640ae4f5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"28cf594c-3ae8-5ef0-bb78-0c3fa90dee43","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Formwork Set Up Checks","Mould Face Clean"
"1312e2a4-8f35-5a17-bfd5-d046d2f86507","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Prepour Checks"
"5944fa11-15f8-5ec8-8893-c701947206ab","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Mould Cleaned & Oiled"
"7b99cacb-1bb6-5584-8be2-3021de463418","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"66b639ad-c070-5d1f-9026-4f5f1159ef6f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Check covers on all sides, MF and TF"
"e0cacdf6-3030-5f3a-8216-d66540302123","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"d6f10875-e5e7-5d7a-b33a-611c6cca5241","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"4aec99d1-541d-57c2-86bc-2e2d82d517e5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"f5265175-68fc-5da7-8ac4-35adf97d667d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Drossbach Locations and Length"
"a2bffed7-3877-58bf-aec1-aad87948ab53","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Lifters"
"fb899241-0227-53fb-a764-59b2fac5ab9b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Tie wire Trimmed"
"f7d38ff9-3401-5ee5-a562-a9e9170d21e2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Panel fully clean"
"0cc9b5af-af9d-5575-af54-64579ea4f508","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","General Photos Attached"
