Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
H&S - Daily Prestart,,,,,,
,Scope,,,Pre-Start,,
,Rows,,,,,
,,March 2023,dynamic,March 2023,Pre-Start,Health and Safety
,,April 2023,dynamic,April 2023,Pre-Start,Health and Safety
,,May 2023,dynamic,May 2023,Pre-Start,Health and Safety
,,June 2023,dynamic,June 2023,Pre-Start,Health and Safety
,,July 2023,dynamic,July 2023,Pre-Start,Health and Safety
,,August 2023,dynamic,August 2023,Pre-Start,Health and Safety
,,September 2023,dynamic,September 2023,Pre-Start,Health and Safety
,,October 2023,dynamic,October 2023,Pre-Start,Health and Safety
,,November 2023,dynamic,November 2023,Pre-Start,Health and Safety
,,December 2023,dynamic,December 2023,Pre-Start,Health and Safety
,Columns,,,,,
,,Person/s in charge of site operations,,Person/s in charge of site operations,,
,,Weather conditions,,Weather conditions,,
,,Conditions,Conditions,Weather conditions,,
,,Wind Conditions,,Wind Conditions,,
,,Conditions,Conditions,Wind Conditions,,
,,Meeting minutes,,Meeting minutes,,
,,Safety minutes,,Safety minutes,,
,,Main contractor supplied minutes,,Main contractor supplied minutes,,
,,Signatures of all attendees,,Signatures of all attendees,,
,,,,,,
H&S - Toolbox Meeting Minutes,,,,,,
,Scope,,,Toolbox,,
,Rows,,,,,
,,March 2023,dynamic,March 2023,Toolbox,Health and Safety
,,April 2023,dynamic,April 2023,Toolbox,Health and Safety
,,May 2023,dynamic,May 2023,Toolbox,Health and Safety
,,June 2023,dynamic,June 2023,Toolbox,Health and Safety
,,July 2023,dynamic,July 2023,Toolbox,Health and Safety
,,August 2023,dynamic,August 2023,Toolbox,Health and Safety
,,September 2023,dynamic,September 2023,Toolbox,Health and Safety
,,October 2023,dynamic,October 2023,Toolbox,Health and Safety
,,November 2023,dynamic,November 2023,Toolbox,Health and Safety
,,December 2023,dynamic,December 2023,Toolbox,Health and Safety
,Columns,,,,,
,,Details,,Details,,
,,Health & safety issues,,Health and safety issues,,
,,Job plans reviewed,,Job plans reviewed,,
,,Operational issues,,Operational issues,,
,,Other business,,Other business,,
,,Attendees,,Attendees,,
,,Review by management,,Review by management,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
