type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Stair Press/Relief Sensors ITP,,,,,,Stair Press/Relief Sensors ITP
checkpoint,Area ready and accessible for work - take picture if required,,,,,,
checkpoint,Inspect - Materials free from Damage,,,,,,
checkpoint,Location Correct As per Plan/Drawing,,,,,,
checkpoint,Sensor Installed,,,,,,
checkpoint,Sensor set to correct unit of mesurement (pascals),,,,,,
checkpoint,Electrical roughed in,,,,,,
checkpoint,Electrical fit off - terminations complete,,,,,,
checkpoint,Fire sealing correct and complete,,,,,,
checkpoint,"Handover - Work completed as per specification, checked and accepted",,,,,,
