type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist,FHC-ITP-032 - Bus Bay Concrete Slab Rev1,itp,,,,,FHC-ITP-032 - Bus Bay Concrete Slab Rev1,,,,,,,,,
section,1 - Design and Submissions,,,,,,,,,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,,,,,,,,,,
label,– using the correct and complete set of drawings ,,,,,,,,,,,,,,,
label,– all drawings are the latest revision,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WP",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
checkpoint,1.3 Approval of mix design,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to the first concrete pour,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Structural Concrete Design & Submission ITP completed and signed,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
