"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9ad36ef8-8d50-4579-ab0b-aebdcbea2a09","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"c18cb359-776b-5316-859e-11915c390cca","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"7fa52ab8-c252-5f03-87d4-569032744def","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"bfdcb56f-478a-548e-a5c4-089cecd3dedd","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3ba059ca-0b53-5f06-b4c1-b20e07958a2c","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"3c1a852b-a9f4-5bf2-b5fc-03bdcf206be6","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"a4ae58c8-a747-5d9a-8108-93a52a555805","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"d322adaf-1edc-4c50-8d3f-792935cb62f0","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"adad74b2-5ae6-4c46-ac48-fccfa5461e3f","","folder-normal","not-started","","step","TRUE","FALSE","QA","Existing Gallery Building - Stage 2"
"381d2641-25a3-4ee0-9589-96f2eabf6aa5","","folder-normal","not-started","","step","TRUE","FALSE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 "
"7370edbd-13ed-492e-b373-2d0521940c9d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Pre-Fit Off Checklist"
"6a9e89f7-85f8-56cc-ac07-14a4c05ca743","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"60877bba-1e7d-57e7-80be-0077b99ce414","","holdpoint","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Pre-Fit Off Checklist","EMAIL PM"
"866cce57-8aa1-59c5-a076-69cf9b9195ad","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"cb364ccf-8057-5f93-93f5-1e31cede0fde","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Pre-Fit Off Checklist","Photos taken"
"37779e7e-fbb9-4108-9aad-bcfa515b9dea","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01"
"d9297c80-08bc-543e-9c3a-d4342fa77a7d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"cff5c4de-743f-5710-8a92-343a8e07401b","","holdpoint","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","EMAIL PM"
"eb7d3022-2aca-5541-9d00-e672699f36a8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"bcd6c9ad-99fd-5bc3-bdd2-b3a47714c7ab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"a0e276b2-8ea4-5e2d-9df7-60baffae2a0d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"8f3c05f7-84b1-5d22-aec7-cefc382b4b70","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","Video taken of system"
"fe01c9c6-f59b-50ed-90f6-b1038c50b5f3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 10m - HLL Line 01 ","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"d6a1fc0d-845f-41b2-b27e-88c5044081ef","","folder-normal","not-started","","step","TRUE","FALSE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 22m - HLL Line 02"
"17de1f32-5f10-4134-92a0-a55b83a0411a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 22m - HLL Line 02","Pre-Fit Off Checklist"
"3e8652e6-c89e-5e12-9d9e-7031b6239eb5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Existing Gallery Building - Stage 2","1No 8mm Horizontal Lifeline Cable System @ 22m - HLL Line 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
