"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b77d4418-0961-49cf-9f22-61ebc83aa13e","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"e9e91281-622a-4cff-9768-c78c5b13381d","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"73e1e2fd-e97d-4cf8-af6f-37e7db264f7a","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture"
"6ff6b8de-1fad-4a81-b4d9-da9b4c1fbbb8","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","TL4-4"
"dd39ec36-4df1-4a5c-be63-b1214cdc215f","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-4","TL4-4-1"
"ffb022dd-5821-47eb-adf0-db9be178afa8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check"
"45d2e8ff-babf-48ca-9b89-3dfc6eb9711c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Dimensions"
"5b142c40-ce79-4b64-a81c-ed19ee14e371","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Mould Clean"
"42f4a12e-ec18-4d67-b519-eac1622552f8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Mould Oiled"
"bc513398-889e-4db9-873c-d5cf5f6d334c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Mould - Workmanship"
"7759c775-3dfc-4718-93c0-8fdb6dc57feb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Reinforcing"
"6c472f69-2623-4c52-80a1-7d9f62ed3b9a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Cast In Items"
"b64f084c-0b29-4de2-bb61-7a7049ff2d7c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Marker Position and No."
"3ed76349-8ca3-428f-8e2f-dbcdcb244c83","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check","Make mould to Green Status"
"cce914f4-5d81-4023-9e0a-8c26b3c9fdbf","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Concrete Works"
"99b820b8-9346-447d-bbd0-79eb3fc49bfc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Concrete Works","Concrete Works Details"
"09b98b98-4964-4d2d-be0f-5f391e5a196a","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Concrete Works","Wilco Sample Taken"
"c35045de-5e9c-4d9f-b321-26c48166fc12","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Concrete Works","Bridgeman Sample Taken"
"305c5a09-7633-4c43-a538-8f255c4e6525","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Concrete Works","Supervisor Approval"
"4292b39b-1131-471d-8a19-865e2b4d9e44","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Post Pour Check"
"ce2bd259-4fca-4876-af15-e400efd44027","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Post Pour Check","Edge Detail"
