"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"106dbc0d-4261-4905-a639-ed95d108e71f","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0784552a-f365-568c-b74f-6231deb6262b","","checkpoint-status","not-started","Job Details Checklist:3d098030-e418-4675-b5b1-7520caf5ee77","","TRUE","TRUE","Job Details","Project details entered below"
"fd50a08e-64ed-4367-95a0-c41039a4aa02","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture"
"8c92909c-7fcc-423f-9643-25b6fa49752e","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels"
"18c969d6-94db-4f71-a1a7-e0bdb3de2593","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels","Ground Floor"
"105e7f84-b059-47a3-b188-4e3737b504f0","","checklist-sectioned","work-in-progress","fd6110a285293145ff82c133ce5b7d10e8418059e447f725a231f08ab6602199","checklist","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1"
"39d5d10e-d898-50c9-b65f-6cf1aecc33a3","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Precast Element Details"
"a952bfff-9195-5431-b632-40639304b4d4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Precast Element Details","Concrete Details Complete"
"7830c345-8fb8-514c-8eb2-3cea0d805b2a","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)"
"91fcb4a2-3ae7-5251-b0b4-fdaa0e4cf083","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"cbcd2b16-4fab-5e8c-80a6-11f09f977a59","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"b4fd22d7-61bc-5900-a152-955c30ef4149","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"2c0e514c-ec4e-57cb-b3c3-7464df6edb53","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"2c890943-251b-5261-a4c4-2880ba367647","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"be764d5b-dd98-5781-9701-811e7aacc655","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"07182527-b8c8-5c70-87fb-b99326faced5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"fb2dd0b7-afd4-5b2f-9b89-b706af2aac39","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"92e08ad5-9df0-5144-a10b-93397b54aaae","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"37821110-bae5-5f44-9acf-829c9910f74b","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Formwork Set Up Checks"
"390386b2-5d7a-522b-8a4c-12773d5c0509","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"a68c6753-34c7-5478-b4a0-d2c0a2b43074","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Formwork Set Up Checks","Mould Face Clean"
"4625d676-3a6e-54d9-b009-9121cbe2490c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Formwork Set Up Checks","Length/Width/Thickness/Cutouts"
"4c7b07ce-337a-5c42-a4df-2b112845e737","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Formwork Set Up Checks","Edge Details & Rebates"
"b9aff79f-6d04-5873-9cca-e43dc9ef75c6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Formwork Set Up Checks","MF Weld plates in correct location and siliconed to table"
"0142d1f3-29c7-5223-8d4f-f28e6d5a6dab","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)"
