"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"QA Stage 1 - B01A Progress (All Areas)"
,"Scope",,,"b01a"
,"Rows"
,,"entire basement",,"entire basement","b01a"
,,"level 1 - Common Areas","grouping","level 1","common areas","b01a"
,,"activities 01","expanded","b01a","level 1","common areas","activities 01"
,,"activities 02","expanded","b01a","level 1","common areas","activities 02"
,,"reflection room","expanded","b01a","reflection room","level 1","common areas"
,,"theatre","expanded","theatre","b01a","level 1","common areas"
,,"library","expanded","b01a","library","level 1","common areas"
,,"billards","expanded","b01a","billards","level 1","common areas"
,,"dining","expanded","b01a","level 1","common areas","dining"
,,"staff room","expanded","b01a","level 1","common areas","staff room"
,,"level 1 - Service Areas","grouping","level 1","service areas","b01a"
,,"msb","expanded","b01a","level 1","service areas","msb"
,,"laundry","expanded","b01a","level 1","service areas","laundry"
,,"store room","expanded","store room","b01a","level 1","service areas"
,,"scan box","expanded","b01a","scan box","level 1","service areas"
,,"servery","expanded","b01a","servery","level 1","service areas"
,,"office","expanded","b01a","office","level 1","service areas"
,,"pabx","expanded","b01a","pabx","level 1","service areas"
,,"level 2 - Common Area","grouping","common area","level 2","b01a"
,,"dementia lounge","expanded","dementia lounge","b01a","common area","level 2"
,,"level 2 - Service Areas","grouping","service areas","level 2","b01a"
,,"servery","expanded","b01a","servery","service areas","level 2"
,,"level 2 - Bedrooms","grouping","bedrooms","level 2","b01a"
,,"bed 201","expanded","bedrooms","bed 201","b01a","level 2"
,,"bed 202","expanded","bedrooms","bed 202","b01a","level 2"
,,"bed 203","expanded","bedrooms","bed 203","b01a","level 2"
,,"bed 204","expanded","bedrooms","b01a","bed 204","level 2"
,,"bed 205","expanded","bedrooms","b01a","bed 205","level 2"
,,"bed 206","expanded","bedrooms","b01a","bed 206","level 2"
,,"bed 207","expanded","bedrooms","b01a","bed 207","level 2"
,,"bed 208","expanded","bedrooms","b01a","level 2","bed 208"
,,"bed 209","expanded","bedrooms","bed 209","b01a","level 2"
,,"bed 210","expanded","bedrooms","b01a","level 2","bed 210"
,,"bed 211","expanded","bedrooms","b01a","level 2","bed 211"
,,"bed 212","expanded","bedrooms","bed 212","b01a","level 2"
,,"bed 213","expanded","bedrooms","bed 213","b01a","level 2"
,,"bed 214","expanded","bedrooms","bed 214","b01a","level 2"
,,"bed 215","expanded","bedrooms","b01a","bed 215","level 2"
,,"bed 216","expanded","bedrooms","b01a","bed 216","level 2"
,,"bed 217","expanded","bedrooms","b01a","bed 217","level 2"
,,"bed 218","expanded","bedrooms","b01a","bed 218","level 2"
,,"bed 219","expanded","bedrooms","b01a","level 2","bed 219"
,,"bed 220","expanded","bedrooms","b01a","bed 220","level 2"
,,"bed 221","expanded","bedrooms","b01a","level 2","bed 221"
,,"bed 222","expanded","bedrooms","b01a","level 2","bed 222"
,,"bed 223","expanded","bedrooms","bed 223","b01a","level 2"
,,"bed 224","expanded","bedrooms","bed 224","b01a","level 2"
,,"bed 225","expanded","bedrooms","bed 225","b01a","level 2"
,,"bed 226","expanded","bedrooms","b01a","bed 226","level 2"
,,"bed 227","expanded","bedrooms","b01a","bed 227","level 2"
,,"bed 228","expanded","bedrooms","b01a","bed 228","level 2"
,,"bed 229","expanded","bedrooms","b01a","bed 229","level 2"
,,"bed 230","expanded","bedrooms","b01a","bed 230","level 2"
,,"bed 231","expanded","bedrooms","b01a","bed 231","level 2"
,,"bed 232","expanded","bedrooms","b01a","level 2","bed 232"
,,"bed 233","expanded","bedrooms","b01a","level 2","bed 233"
,,"bed 234","expanded","bedrooms","bed 234","b01a","level 2"
,,"bed 235","expanded","bedrooms","bed 235","b01a","level 2"
,,"bed 236","expanded","bedrooms","bed 236","b01a","level 2"
,,"level 3 - Common Areas","grouping","common areas","b01a","level 3"
,,"dining","expanded","b01a","common areas","dining","level 3"
,,"lounge","expanded","b01a","lounge","common areas","level 3"
,,"level 3 - Service Areas","grouping","service areas","b01a","level 3"
,,"laundry","expanded","b01a","service areas","laundry","level 3"
,,"level 3 - Bedrooms","grouping","bedrooms","b01a","level 3"
,,"bed 301","expanded","bedrooms","bed 301","b01a","level 3"
,,"bed 302","expanded","bedrooms","bed 302","b01a","level 3"
,,"bed 303","expanded","bedrooms","b01a","bed 303","level 3"
,,"bed 304","expanded","bedrooms","b01a","bed 304","level 3"
,,"bed 305","expanded","bedrooms","b01a","bed 305","level 3"
,,"bed 306","expanded","bedrooms","b01a","bed 306","level 3"
,,"bed 307","expanded","bedrooms","b01a","bed 307","level 3"
,,"bed 308","expanded","bedrooms","bed 308","b01a","level 3"
,,"bed 309","expanded","bedrooms","bed 309","b01a","level 3"
,,"bed 310","expanded","bedrooms","b01a","level 3","bed 310"
,,"bed 311","expanded","bedrooms","bed 311","b01a","level 3"
,,"bed 312","expanded","bedrooms","bed 312","b01a","level 3"
,,"bed 313","expanded","bedrooms","bed 313","b01a","level 3"
,,"bed 314","expanded","bedrooms","b01a","bed 314","level 3"
,,"bed 315","expanded","bedrooms","b01a","bed 315","level 3"
,,"bed 316","expanded","bedrooms","b01a","bed 316","level 3"
,,"bed 317","expanded","bedrooms","b01a","bed 317","level 3"
,,"bed 318","expanded","bedrooms","b01a","bed 318","level 3"
,,"bed 319","expanded","bedrooms","bed 319","b01a","level 3"
,,"bed 320","expanded","bedrooms","b01a","bed 320","level 3"
,,"bed 321","expanded","bedrooms","b01a","level 3","bed 321"
,,"bed 322","expanded","bedrooms","bed 322","b01a","level 3"
,,"bed 323","expanded","bedrooms","bed 323","b01a","level 3"
,,"bed 324","expanded","bedrooms","bed 324","b01a","level 3"
,,"bed 325","expanded","bedrooms","b01a","bed 325","level 3"
,,"bed 326","expanded","bedrooms","b01a","bed 326","level 3"
,,"bed 327","expanded","bedrooms","b01a","bed 327","level 3"
,,"bed 328","expanded","bedrooms","b01a","bed 328","level 3"
,,"bed 329","expanded","bedrooms","b01a","bed 329","level 3"
,,"bed 330","expanded","bedrooms","b01a","bed 330","level 3"
,,"bed 331","expanded","bedrooms","b01a","bed 331","level 3"
,,"bed 332","expanded","bedrooms","b01a","level 3","bed 332"
,,"bed 333","expanded","bedrooms","bed 333","b01a","level 3"
,,"bed 334","expanded","bedrooms","bed 334","b01a","level 3"
,,"bed 335","expanded","bedrooms","bed 335","b01a","level 3"
,,"bed 336","expanded","bedrooms","b01a","bed 336","level 3"
,,"bed 337","expanded","bedrooms","b01a","bed 337","level 3"
,,"bed 338","expanded","bedrooms","b01a","bed 338","level 3"
,,"level 4 - Common Areas","grouping","level 4","common areas","b01a"
,,"dining","expanded","level 4","b01a","common areas","dining"
,,"lounge","expanded","level 4","b01a","lounge","common areas"
,,"level 4 - Service Areas","grouping","level 4","service areas","b01a"
,,"care hub","expanded","level 4","b01a","service areas","care hub"
,,"treatment","expanded","level 4","treatment","b01a","service areas"
,,"pbax","expanded","level 4","b01a","service areas","pbax"
,,"level 4 - Bedrooms","grouping","level 4","bedrooms","b01a"
,,"ac/bed 401","expanded","level 4","bedrooms","b01a","ac/bed 401"
,,"bed 402","expanded","level 4","bedrooms","b01a","bed 402"
,,"bed 403","expanded","level 4","bedrooms","b01a","bed 403"
,,"ac/bed 404","expanded","level 4","bedrooms","ac/bed 404","b01a"
,,"bed 405","expanded","level 4","bedrooms","b01a","bed 405"
,,"ac/bed 406","expanded","level 4","bedrooms","ac/bed 406","b01a"
,,"bed 407","expanded","level 4","bedrooms","bed 407","b01a"
,,"bed 408","expanded","level 4","bedrooms","bed 408","b01a"
,,"bed 409","expanded","level 4","bedrooms","bed 409","b01a"
,,"bed 410","expanded","level 4","bedrooms","bed 410","b01a"
,,"bed 411","expanded","level 4","bedrooms","bed 411","b01a"
,,"bed 412","expanded","level 4","bedrooms","bed 412","b01a"
,,"bed 413","expanded","level 4","bedrooms","b01a","bed 413"
,,"bed 414","expanded","level 4","bedrooms","b01a","bed 414"
,,"bed 415","expanded","level 4","bedrooms","b01a","bed 415"
,,"bed 416","expanded","level 4","bedrooms","b01a","bed 416"
,,"bed 417","expanded","level 4","bedrooms","b01a","bed 417"
,,"bed 418","expanded","level 4","bedrooms","bed 418","b01a"
,,"bed 419","expanded","level 4","bedrooms","bed 419","b01a"
,,"bed 420","expanded","level 4","bedrooms","b01a","bed 420"
,,"ac/bed 421","expanded","level 4","bedrooms","ac/bed 421","b01a"
,,"ac/bed 422","expanded","level 4","bedrooms","b01a","ac/bed 422"
,,"bed 423","expanded","level 4","bedrooms","bed 423","b01a"
,,"bed 424","expanded","level 4","bedrooms","b01a","bed 424"
,,"ac/bed 425","expanded","level 4","bedrooms","b01a","ac/bed 425"
,,"ac/bed 426","expanded","level 4","bedrooms","ac/bed 426","b01a"
,,"bed 427","expanded","level 4","bedrooms","b01a","bed 427"
,,"bed 428","expanded","level 4","bedrooms","b01a","bed 428"
,,"bed 429","expanded","level 4","bedrooms","bed 429","b01a"
,,"bed 430","expanded","level 4","bedrooms","b01a","bed 430"
,,"bed 431","expanded","level 4","bedrooms","b01a","bed 431"
,,"bed 432","expanded","level 4","bedrooms","bed 432","b01a"
,,"bed 433","expanded","level 4","bedrooms","bed 433","b01a"
,,"bed 434","expanded","level 4","bedrooms","bed 434","b01a"
,,"bed 435","expanded","level 4","bedrooms","b01a","bed 435"
,,"bed 436","expanded","level 4","bedrooms","b01a","bed 436"
,,"bed 437","expanded","level 4","bedrooms","b01a","bed 437"
,,"bed 438","expanded","level 4","bedrooms","b01a","bed 438"
,,"level 5 - Service Areas","grouping","level 5","service areas","b01a"
,,"store room","expanded","store room","level 5","b01a","service areas"
,,"sub rooms","expanded","level 5","b01a","service areas","sub rooms"
,,"care hub","expanded","level 5","b01a","service areas","care hub"
,,"hwc","expanded","level 5","b01a","hwc","service areas"
,,"level 5 - ALS Apartments","grouping","level 5","b01a","als apartments"
,,"als 562","expanded","level 5","als 562","b01a","als apartments"
,,"als 563","expanded","level 5","als 563","b01a","als apartments"
,,"als 564","expanded","als 564","level 5","b01a","als apartments"
,,"als 565","expanded","level 5","b01a","als apartments","als 565"
,,"als 566","expanded","level 5","b01a","als apartments","als 566"
,,"als 567","expanded","level 5","b01a","als apartments","als 567"
,,"als 568","expanded","level 5","b01a","als apartments","als 568"
,,"als 569","expanded","level 5","b01a","als apartments","als 569"
,,"als 570","expanded","level 5","b01a","als apartments","als 570"
,,"als 571","expanded","level 5","b01a","als apartments","als 571"
,,"als 572","expanded","level 5","b01a","als 572","als apartments"
,,"als 573","expanded","level 5","als 573","b01a","als apartments"
,,"als 574","expanded","level 5","als 574","b01a","als apartments"
,,"als 575","expanded","als 575","level 5","b01a","als apartments"
,,"als 576","expanded","level 5","b01a","als apartments","als 576"
,,"als 577","expanded","level 5","b01a","als apartments","als 577"
,,"als 578","expanded","level 5","b01a","als apartments","als 578"
,,"als 579","expanded","level 5","b01a","als apartments","als 579"
,,"als 580","expanded","level 5","b01a","als apartments","als 580"
,,"als 581","expanded","level 5","b01a","als apartments","als 581"
,,"als 582","expanded","level 5","b01a","als apartments","als 582"
,,"als 583","expanded","level 5","b01a","als 583","als apartments"
,,"als 584","expanded","level 5","als 584","b01a","als apartments"
,,"als 585","expanded","level 5","als 585","b01a","als apartments"
,,"als 586","expanded","als 586","level 5","b01a","als apartments"
,"Columns"
,,"Access available",,"access available"
,,"Framework available",,"framework available"
,,"Cabling completed (photos attached)",,"cabling completed (photos attached)"
,,"Nogs installed",,"nogs installed"
,,"Flush/Fire boxes installed (photos attached)",,"flush/fire boxes installed (photos attached)"
,,"Attach photos of Fire Baffles & specify location",,"attach photos of fire baffles & specify location"
,,"Attach photos of Fire penetrations & specify location",,"attach photos of fire penetrations & specify location"
,,"LAN test completed (add signature)",,"lan test completed (add signature)"
,,"Endpoints bagged (photos attached)",,"endpoints bagged (photos attached)"
,,"Nurse Call faceplates fitted off (photos attached)",,"nurse call faceplates fitted off (photos attached)"
,,"Camera faceplates fitted off (photos attached)",,"camera faceplates fitted off (photos attached)"
,,"Intercom faceplates fitted off (photos attached)",,"intercom faceplates fitted off (photos attached)"
,,"AC- Mags faceplates fitted off (photos attached)",,"ac- mags faceplates fitted off (photos attached)"
,,"AC- Plates fitted off (photos attached)",,"ac- plates fitted off (photos attached)"
,,"QA has been reviewed and approved by the main contractor",,"qa has been reviewed and approved by the main contractor"

"QA Stage 1 - B01B Progress (Common & Service Areas)"
,"Scope",,,"b01b"
,"Rows"
,,"level 1 - Common Areas","grouping","level 1","common areas","b01b"
,,"swimming pool","expanded","b01b","level 1","common areas","swimming pool"
,,"spa pool","expanded","b01b","level 1","common areas","spa pool"
,,"gym","expanded","b01b","gym","level 1","common areas"
,,"wc","expanded","b01b","wc","level 1","common areas"
,,"plantroom","expanded","b01b","level 1","common areas","plantroom"
,,"resident's craft room","expanded","resident's craft room","b01b","level 1","common areas"
,,"laundry","expanded","b01b","level 1","common areas","laundry"
,,"ac/ wc","expanded","ac/ wc","b01b","level 1","common areas"
,,"level 1 - Service Areas","grouping","level 1","service areas","b01b"
,,"msb (grids be - bf)","expanded","b01b","msb (grids be - bf)","level 1","service areas"
,,"msb (grids bg - bh)","expanded","msb (grids bg - bh)","b01b","level 1","service areas"
,,"level 1 - Corridors","grouping","level 1","b01b","corridors"
,,"grids b00 - ba","expanded","grids b00 - ba","b01b","level 1","corridors"
,,"grids ba - bc","expanded","b01b","level 1","corridors","grids ba - bc"
,,"grids b01 - b05","expanded","b01b","level 1","grids b01 - b05","corridors"
,,"grids b05 - b07","expanded","grids b05 - b07","b01b","level 1","corridors"
,,"grids b07 - b08","expanded","b01b","grids b07 - b08","level 1","corridors"
,,"level 2 - Common Areas","grouping","common areas","b01b","level 2"
,,"laundry","expanded","b01b","common areas","laundry","level 2"
,,"level 2 - Service Areas","grouping","service areas","b01b","level 2"
