resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Basement 2,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Lift lobby,,,,,,,
,,step,,,Basement 1,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,"Lift lobby
Waste room",,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Comms/NBN room,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Bicycle room 108,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Bicycle room 112,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Male EOT,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Female EOT,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Security room,,,,,,,
,,step,,,Ground,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Lift lobby,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Female toilets,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Male toilet,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,"Cleaners room
MSB room",,,,,,,
,,step,,,Level 1,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Lift lobby,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,"Female toilets
Male toilets",,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,DDA Toilet,,,,,,,
,,step,,,Level 2,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,"Lift lobby
Female toilets",,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Male toilets,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,DDA toilets,,,,,,,
,,step,,,Level 3,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Lift lobby,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Female toilets,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Male toilets,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,DDA toilets,,,,,,,
,,step,,,Level 4,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Lift lobby,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Female toilets,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,"Male toilets
DDA toilets",,,,,,,
,,step,,,Level 5,,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,Lift lobby,,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,"Female toilets
Male toilets",,,,,,,
Fix 1,Fix 2,folder-with-checklists,,,,DDA toilets,,,,,,,
