type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,,
checklist,ITP-056-CIV-SSB-Subgrade Preparation - Road,itp,,,,,ITP-056-CIV-SSB-Subgrade Preparation - Road Rev 0,,,,,,,,,,,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV-SSB-Subgrade Preparation - Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: SSB-Subgrade Preparation - Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 11/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 Material Approval,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 204.04 (C),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Type B material shall be totally free of organic content, topsoil, deleterious and/or perishable matter. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Type B material shall have a minimum Assigned CBR of 2%, and Assigned Percent Swell less than 2.5% which has been determined in accordance with VicRoads Code of Practice RC 500.20.N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each mix material",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries-Documentations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
