type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,,
checklist,ITP-058-CIV-SSB-Clearing and Grubbing,itp,,,,,ITP-058-CIV-SSB-Clearing and Grubbing Rev 0,,,,,,,,,,,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV-SSB-Site Clearing and Grubbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: SSB-Site Clearing and Grubbing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 9/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Jason Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 201 (Feb 2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 204 (Dec 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries - Documentations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 Environmental Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Environmental Management Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All environmental measures to be implemented as per current EMP and local authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Sediment control measures to be installed and protected vegetation to be clearly identified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, prior to starting Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3.2 Vegetation Removal Permit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Environmental Management Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Prior to removing any vegetation or habitat:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
