type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,,
checklist,ITP-057-CIV-SSB-Rail Delineation Temporary Fencing,itp,,,,,ITP-057-CIV-SSB-Rail Delineation Temporary Fencing Rev 0,,,,,,,,,,,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV-SSB-Rail Delineation Temporary Fencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: Rail Delineation Temporary Fencing for Camms Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 11/08/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Isaac El Zayat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Aldrin Guinchoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"Reference: IFC Drawings L1-CHE-STD-005, L1-CHE-STD-025",,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: 32MPa concrete to be used as per IFC drawings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Certificate of  Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 Steel components,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings AS41000, AS1163",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All Steel must comply with Australian Standards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Steel section sizes must be checked on site.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Steel posts to be CHS with a grade of C250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Document review, Visual and Measure",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: All elements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Supplier Certificate of  Compliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries-Documentations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3.1 Excavation works,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings L1-CHE-STD-005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Excavation for post foundation must not undermine track and comply with PTDT requirements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Follow asset owners guidelines for work around their service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Excavation must use Non Distructive Digging in the rail corridor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,4.1 Survey Set-out,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Survey to set out the following but not limited to: existing services, post locations, refuge bays",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Offset checked against the running edge prior to installation of posts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Up track: Minimum offset 2135mm from centreline of track. (1285mm outside edge of track - Engineer to verify with timber jig template),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Down track: Minimum offset 3172mm from centreline of track. (Utilise existing posts - Engineer to verify with string line between posts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual inspect",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each element,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
