"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7a5d1032-2e8e-4b5f-816b-d1d835b6eae2","Child PS1 Attached(a12a6c0e-46ab-5494-b865-03fa338b2f8e): checkpoint-status has incorrect meta.stepType checkpoint-no-status","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"8f9570c7-30a5-5966-b121-35eb0efa0012","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"eda5e2b1-06f4-5a19-94e1-b2a2e96ecc8f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"a3adab03-b3ff-5509-a4bc-fb7559c5498e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"a12a6c0e-46ab-5494-b865-03fa338b2f8e","checkpoint-status has incorrect meta.stepType checkpoint-no-status","checkpoint-status","not-started","","","TRUE","TRUE","Overall Pre-start","PS1 Attached"
"4eb7a878-583a-58d6-b28c-f6dbddf763af","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"ff785a5f-e709-5ee5-942b-2f3efd738914","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"d0703847-59aa-4ffb-b683-030d2685a9f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"c909fca3-062b-4078-975f-70ec1430e044","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","New Carpark Building "
"ede974c7-1e38-45e7-9736-904e586e9f15","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors"
"4fea99fb-3dab-459c-a57b-0ead02e0594a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist"
"92fe6564-d781-5e7d-970e-b6e8121c5265","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"ad53a7b2-2567-5950-950a-0c2adb6522f0","","holdpoint","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist","EMAIL PM"
"e69ccaf8-a669-5c57-a1ae-8fe2d487f994","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"095f12b7-c870-4fd7-ba25-a5b4908de698","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 54"
"5d27856f-cc4e-5f7e-b236-bccd0a4f1f13","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 54","Required number of photo(s) taken of installed anchor(s)"
"542a8ac9-28d9-5a50-bf89-de433f2f9a15","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 54","Installed as per PBI drawings supplied and manufacturer's requirements"
"2e6b770f-562b-4f13-be41-c7c5de6f1318","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 55"
"7bd81077-221d-57f0-a606-4741451972c0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 55","Required number of photo(s) taken of installed anchor(s)"
"dd6ce407-c741-59ca-b1ca-2557959f95d0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 55","Installed as per PBI drawings supplied and manufacturer's requirements"
"22e7c52c-1c0c-41e4-910d-0ee8994d929a","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 56"
"322707ae-a85c-5d9a-9839-5b5f2b393b60","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 56","Required number of photo(s) taken of installed anchor(s)"
"345a4628-0068-5ff3-89cd-8672aeb6f064","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 56","Installed as per PBI drawings supplied and manufacturer's requirements"
"03b4c1ee-3838-470e-9115-9ddd49ed89c9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 57"
"64dc41d2-523a-5bf5-b99d-92329b5b434e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 57","Required number of photo(s) taken of installed anchor(s)"
"3d0a01f9-209a-5e5b-8477-67ae25e522bb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 57","Installed as per PBI drawings supplied and manufacturer's requirements"
"f9e6b1c7-ee90-4695-95f9-421124858a0e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 58"
"99da1418-dedf-5377-9eaf-23dde9ae073f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 58","Required number of photo(s) taken of installed anchor(s)"
"74a37e65-e204-56cc-8cbd-60a71424dc10","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 58","Installed as per PBI drawings supplied and manufacturer's requirements"
"18394dba-5654-428f-94be-8998884a601e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 59"
"8aba6447-b512-5c52-940a-501df109afe0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 59","Required number of photo(s) taken of installed anchor(s)"
"347a0356-09d7-5ce6-89fd-e5b50555380c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 59","Installed as per PBI drawings supplied and manufacturer's requirements"
"f9f5ba8b-9811-432e-991e-89cbc0ca3f9e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 60"
"d33a5c2a-f981-53da-8653-3161710153b1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 60","Required number of photo(s) taken of installed anchor(s)"
"f814c57a-bd49-5709-959c-926cf07e7815","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 60","Installed as per PBI drawings supplied and manufacturer's requirements"
"ebc3f3b9-b966-4fc7-8f9f-bff3bc2d2733","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 61"
