"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"733bf0e2-9508-4cae-9c67-950e07e6bddc","","not-started","","folder","TRUE","FALSE","ITPs and Checklists "
"e066c34b-375c-4aa0-bde4-9d5e9218cc75","","not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Clear & Grub "
"306913d8-1915-4b46-9541-284e7d145a96","","not-started","ITP001 - CG - Clear & Grub - Rev0","checklist","FALSE","FALSE","ITPs and Checklists ","Clear & Grub ","ITP001 - CG - Clear & Grub"
"1c58d8ce-fa0e-4170-bda1-f3e8e54257ee","","not-started","Checklist - ITP001 - CG - Clear and Grub - Rev1","checklist","FALSE","FALSE","ITPs and Checklists ","Clear & Grub ","Checklist - ITP001 - CG - Clear and Grub"
"81b92371-d52b-47fa-9a55-6d0e1aa4a0e7","","not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Topsoil Stripping "
"40b232e8-bb0d-4a03-9f9a-edcbe49b9df2","","not-started","Checklist - ITP002 - Top Soil Stripping - Rev1","checklist","FALSE","FALSE","ITPs and Checklists ","Topsoil Stripping ","Checklist - ITP002 - Top Soil Stripping"
"c53e8ef7-a571-4f40-b697-2f1d73517bac","","not-started","ITP002 - Topsoil Stripping - Rev0","checklist","FALSE","FALSE","ITPs and Checklists ","Topsoil Stripping ","ITP002 - Topsoil Stripping"
"009cfbbe-46c4-4f02-a8ed-7deb2972b2c8","","no-status-not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Foundations "
"2c15907e-6c77-4bbb-8bf4-a3c72a1b1e12","","no-status-not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Embankment "
"ce3a073c-70a6-44a0-b634-f608c4f4663d","","no-status-not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Capping "
"c7a4d638-6670-4fe7-908d-6645189e8aba","","no-status-not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Surface Water Runoff Management "
"a4474050-389c-4c99-9aba-be06335b4824","","no-status-not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Erosion and Sediment Control Installation "
"3989f3c3-aa07-42d4-913b-306147c71c86","","no-status-not-started","","folder","TRUE","FALSE","ITPs and Checklists ","Installation of Leak Detection Piping & Sump"
