"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a2ef68f-234f-4489-bf49-dbad693ac7dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0eed8881-9539-426c-ae07-54f99fd3fc01","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Documents for Reference"
"5a392417-1968-41f8-abb0-3ef9d1d26582","","checklist-flat","not-started","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","ITP"
"64829cba-c0ac-4a08-8bb7-80c892b7810c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings"
"c9a11949-58e8-42c9-811d-dfe8d22e3480","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings","Rings 1-500"
"9dbd897b-1d95-4bf5-8466-d8dbc9d6856c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings","Rings 1-500","1 to 25"
"e66be270-6253-4536-8210-c9836126231d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Prestart"
"106be72b-b004-44b8-a863-6a61813b1eeb","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"fdcb9f03-3767-4579-8d33-fa8f468fa3e8","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Welding Record - Phase 1"
"ade30822-7239-40a8-8ca2-55c798d25e20","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Welding Record - Phase 2"
"42c25b22-a1f0-4a09-b025-f3c7e8e38041","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Electronic Testing - Phase 1"
"ff2a9569-768f-4165-8159-15d84e31e866","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Electronic Testing - Phase 2"
"6c9a0214-3926-4b91-be3e-d9d4778f26e9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings","Rings 1-500","1 to 25","Defect Repair"
"38da800c-6f71-4149-9b27-0411dd9af041","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings","Rings 1-500","26 to 50"
"b9930336-8e05-4f18-b910-db8f48ea4b8e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings","Rings 1-500","26 to 50","Prestart"
"28c549ef-6a06-4594-ad73-3600cc821866","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY"
