Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Commission Fixture Group,,Commission Fixture Group,0a4a6cf1-7335-4610-a725-497992f960b1
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS 5601.1 (2022) (Note: Commissioning photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,"Check for any damage, leaks or missing components",,,
,checkpoint,Check level & alignment of all fixtures,,,
,checkpoint,"Check all fixtures, seats & covers are securely fastened",,,
,checkpoint,Check all valves are fully open,,,
,checkpoint,Check all flexible connections are not twisted or kinked,,,
,checkpoint,Check for water for cross connections,,,
,checkpoint,Check fixture wastes & connections,,,
,checkpoint,Check pipework & all traps are clear of debris,,,
,checkpoint,Check AAV is installed to correct height,,,
,checkpoint,Check future connection water valves are securely capped,,,
,checkpoint,Check TV do not exceed 50°C,,,
,checkpoint,Check TMV do not exceed 45°C,,,
,checkpoint,Check dishwasher function,,,
,checkpoint,Check gas valves & regulators,,,
,checkpoint,Check all gas burner functions,,,
,checkpoint,Check balcony hose tap,,,
,checkpoint,Check balcony floor grate & downpipe,,,
,checkpoint,Check all fixtures & tapware are operating as specified,,,
,checkpoint,Confirm area has been left clean,,,
,,,,,
,,,,,
,checklist,Installation Gas Service (Rough-ins),,Installation Gas Service (Rough-ins),1b80951c-4f9b-4878-b3ba-d9de1eabbb67
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check pipework can not be holed by plaster screws,,,
,checkpoint,Check crimp fittings,,,
,checkpoint,Check for cross connections,,,
,checkpoint,Check alignment & levels,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,"Check pipe clips, hangers & fixings (correct size, spacing & separation)",,,
,checkpoint,Check lugged elbows,,,
,checkpoint,Check noggings for future fixture,,,
,checkpoint,Check sharp edge pipe protection,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check floor/wall penetration fire proofing,,,
,,,,,
,,,,,
,checklist,Installation Gas Service (Mains/Risers),,Installation Gas Service (Mains/Risers),6ae8eea0-33ac-416c-9faf-84fe13ea2ac0
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,Check crimp fittings,,,
,checkpoint,Check alignments & levels,,,
,checkpoint,"Check pipe clips, hangers & fixings (correct size, spacing & separation)",,,
,checkpoint,Check valves & meter assemblies,,,
,checkpoint,Check valves & meter assemblies fixings & brackets,,,
,checkpoint,Check pipework is clear of debris,,,
,checkpoint,Check for cross connections,,,
,checkpoint,Check open ends are sealed,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check pipe labelling,,,
,checkpoint,Check floor/wall penetration fire proofing,,,
,,,,,
,checklist,Fit-off Gas Appliance,,Fit-off Gas Appliance,6eb0476b-0915-4e21-8b72-b2716c2f2ce9
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Fit-off photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage or leaks,,,
,checkpoint,Check fixing points are secure,,,
,checkpoint,Check level & alignment is correct,,,
,checkpoint,Check surrounding wall material is fire rated,,,
,checkpoint,Check distance from cook-top to range hood complies with manufacturer specification,,,
,checkpoint,Check surrounding walls to closest burner distance complies with manufacturer specification,,,
,checkpoint,Check flexible connections are not twisted or kinked,,,
,checkpoint,Check gas isolation valve,,,
,checkpoint,Check gas pressure regulator,,,
,checkpoint,Check all functions & controls for correct operation,,,
,,,,,
,checklist,Testing Gas Pipework (7kPa or Less),,Testing Gas Pipework (7kPa or Less),6f7ce3af-cdb5-4927-beb3-c1930179e9f3
,section,Details:,,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Testing kit & equipment have current certification,,,
,checkpoint,Apply test as per latest revision of AS/NZS 5601.1 (2022) (Note: Start & Finish testing photos to be taken only within this Checkpoint),,,
,,,,,
,,,,,
,checklist,Installation Gas Service (In-ground),,Installation Gas Service (In-ground),94a5aa0d-4424-4c45-af80-d0a68fb7accf
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check materials & joining methods,,,
