resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
,step,,,Level 0,,,,,,,,,,
,step,,,,Zone 1,,,,,,,,,
,step,,,,,BCA-DWD-112-ME-20050 / BCA-DWD-112-ME-30050,,,,,,,,
,step,,,,,,00FHO011,,,,,,,
,step,,,,,,,Reception - Greet ,,,,,,
FCU Template ,checklist,,,,,,,,112-0A-MEP5-AHU004-FCU-004 - Temperzone IMD280Y - Fan Coil Unit 150L/S OA,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,R07 - Holyoake EC-125 600x600 - Return Grille,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille  ,,,,,
FCU Template ,checklist,,,,,,,,112-0A-MEP5-AHU004-FCU-003 - Temperzone IMD95Y - FCU 60L/S OA,,,,,
,step,,,,,,00FHO006,,,,,,,
,step,,,,,,,Interview Room - Mana Whenua ,,,,,,
FCU Template ,checklist,,,,,,,,112-0A-MEP5-AHU004-FCU-002 - Temperzone IMD95Y - FCU 65L/S OA ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,S05 - Holyoake CFPP 600/30 600x600 - Supply Grille ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,R03 - Holyoake EC-125 600x300 - Return Grille ,,,,,
,step,,,,,,00FHO012,,,,,,,
,step,,,,,,,Meeting 12 ,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,S06 - Holyoake CFPP 450/24 600x600 - Supply Grille ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,R03 - Holyoake EC-125 600x300 - Return Grille  ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,
,step,,,,,,00FHO014,,,,,,,
,step,,,,,,,Whanau Lounge ,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,S07 - Holyoake CFPP 450/24 600x600 - Supply Grille  ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,T02 - Holyoake EC-125 300x300 - Extract/Transfer Grille ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,R06 - Holyoake EC-125 600x600 - Return Grille  ,,,,,
FCU Template ,checklist,,,,,,,,112-0A-MEP5-AHU004-FCU-001 - Temperzone IMD135Y - FCU 150L/S OA,,,,,
,step,,,,,,00FHO027,,,,,,,
,step,,,,,,,Corridor ,,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,T08 - Holyoake EC-125 600x600 - Extract/Transfer Grille ,,,,,
Grilles & Diffusers QA Checklist,checklist,,,,,,,,R04 - Holyoake EC-125 600x600 - Return Grille  ,,,,,
