resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Zone 1 (A-D),,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,folder-with-checklists,,,,Oxygen 25mm Copper Line,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,folder-with-checklists,,,,Oxygen 40mm Copper Line ,,,,,,,
PVC Pipework Underground,,checklist,,,,Oxygen pipe Sleeve,,,,,,,
,,step,,,Zone 2 (E-H),,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,folder-with-checklists,,,,Oxygen 25mm Copper Line ,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,folder-with-checklists,,,,Oxygen 40mm Copper Line ,,,,,,,
PVC Pipework Underground,,checklist,,,,Oxygen pipe Sleeve,,,,,,,
,,step,,,Zone 3 (I-L),,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,folder-with-checklists,,,,Oxygen 40mm Copper Line ,,,,,,,
PVC Pipework Underground,,checklist,,,,Oxygen pipe Sleeve,,,,,,,
