"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bfd27a26-5608-47ba-8864-25a7373eb4ac","","pass","","folder","TRUE","FALSE","33kV Cable Install"
"a1ac1e59-841d-4793-b456-7017d77fed19","","pass","Ω (DEPRECATED) ITR-E-19 HV Cable Install","checklist","FALSE","FALSE","33kV Cable Install","ITR-E-19 HV Cable Install - Practice Testing "
"2269cf12-6dd3-4923-a5e4-ccbe83a0eef4","","not-started","","folder","TRUE","FALSE","HSE"
"b9882831-6047-40d0-83a6-8382238c4330","","no-status-not-started","","folder","TRUE","FALSE","HSE","Toolbox Meeting"
"1f5ea6a9-4336-4c32-84b1-50389cbc4e02","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 29/10/24"
"59a7a16d-6843-4f5d-a02e-40c7ffd10843","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 30/10/24"
"ab7355e0-a4a8-41c7-bce0-6e358f275df7","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 31/10/24"
"02ae551c-a827-44c1-84d4-7f8d4b49572c","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 1/11/24"
"f291eb58-11d2-4131-b9ca-9995ba5d1090","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 2/11/24"
"9fc75b99-89a6-4a20-a998-f0d387b1f94f","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 3/11/24"
"5d6cd8eb-02bc-4d19-a306-6812bcf87194","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 4/11/24"
"f3d9d423-fb08-4963-99bd-14eff94f820c","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 5/11/24"
"45b34c21-aaa9-4229-839b-b822f6b30335","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 6/11/24"
"64a112cb-5d7a-4b9a-becf-4c3d9bbf919f","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 7/11/24"
"25ecd04d-9989-4cf3-8522-c5ad462efc7a","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 8/11/24"
"ea1125a3-dfa5-459f-8231-00673873e598","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 9/11/24"
"61c6d0da-c873-4d99-9de5-166a1c8a44a4","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 10/11/24"
"5ec362f9-96a7-4cbf-aaaa-f17b076019ff","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 11/11/24"
"559d4ccb-f2eb-4bc6-8a9a-38bc4890d260","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 12/11/24"
"5388162c-4ad0-4be5-8023-bf7a3c8c207e","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 13/11/24"
"415222c8-1543-426f-ba9c-a815babc9e59","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 14/11/24"
"7fd6d126-dcaa-4943-a5ce-e77ec13f9c9e","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 15/11/24"
"00ede11f-75f3-4606-bcd9-224b43207e59","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 16/11/24"
"de3d8f35-3756-44b0-adcd-6c5d5212e8aa","","no-status-not-started","106f7d3bff8b3219ef9ff088dd7bfff6a781a58612a8dd31d1e3bce1968010fb","checklist","FALSE","FALSE","HSE","Toolbox Meeting","Toolbox Meeting - 17/11/24"
