Id,Type,Name,Values,Prompting Name,Prefix,Postfix,Usage Count,Resource Id
0dc4e203-08f7-4c87-81ea-c1cf21ee20f3,checklist,ITR-E-19 HV Cable Install,,ITR-E-19 HV Cable Install,,,,
45e8814a-82cf-423b-a9fd-c3a56e777229,section,Details,,,,,,
90ad256a-cc82-47b2-be68-9a9ef3ab8b3d,checkpoint,HV Cable Install,,,,,,
cc29fa55-5fe5-542d-aae6-b5a317818561,button,"Verify cable type, size, colour code and tags are in accordance with the Cable Schedule.","Yes,N/A",,,,,
3733b5ca-b64f-54bd-ba7c-aed07846a861,button,"Check dressing / cleating, cable undamaged","Yes,N/A",,,,,
2bbb5df0-4010-557e-b31d-498f09f1e5ce,button,Check cable cores correctly identified and labelled.,"Yes,N/A",,,,,
3cf74f56-d88c-5ab3-8481-56c37a833142,button,Check cable is terminated correctly,"Yes,N/A",,,,,
b7192934-0b91-5863-a040-df3cc234946a,button,Cable has been installed as per client specification,"Yes,N/A",,,,,
db79cc67-bcee-5799-9eb7-63146f45bafc,button,No visible damage to sheath,"PASS,FAIL",,,,,
429d748c-2b60-5309-9d6f-cc4108496a9c,dropdown,Cable Voltage,"11kV,33kV",,,,,
1d3abe04-a329-541d-ba46-ea69fd91659a,textbox,Temperature:,,,,,,
1b9d8cb2-e175-5a88-878b-c5f1b97638f3,textbox,Cable Point to Point:,,,,,,
7591ec71-d9d8-40f4-9572-07a1a6b71781,checkpoint,Electrical Tests,,,,,,
a598796e-f8b5-560f-8616-052299e798ea,note,Testing for the below should be done at 5kV for 10 minutes. If result is below 1.25GΩ this indicates a low test and will need to be re tested. A brand new cable should have a result above 2GΩ. Please insert photo of test results.,,,,,,
b23c38ff-795d-555a-9db5-6b118428b720,textbox,R-WBE,,,,GΩ,,
b58fc05a-668d-5951-9d0a-e0aa26497667,textbox,W-RBE,,,,GΩ,,
d3aee404-6d4b-545e-8f34-01439b4d5763,textbox,B-RWE,,,,GΩ,,
d920a905-8990-5944-98ae-7117035d7879,textbox,One Core,,,,GΩ,,
e522260b-45be-4509-97a6-67cc2cb9a311,checkpoint-no-value,Sheath Integrity Test,,,,,,
a83836d2-51e2-5b6d-bcbf-973658a28930,textbox,Test Duration:,,,,,,
ff9b4409-cb93-5d68-bb8a-2f8ec1f70f82,textbox,Test Voltage:,,,,GΩ,,
01dafb52-67d2-56bb-95ea-97d522e08cec,textbox,Result (GΩ):,,,,,,
17ec1322-89c4-48fa-8d02-aed878f0ef01,checkpoint-no-value,Test Equipment Details,,,,,,
,dropdown,Make,PHENIX,,,,,
,dropdown,Model,PM10A,,,,,
,dropdown,Serial No,20-4331,,,,,
ad61610c-21d8-57dd-9641-37d7310f5550,textbox,Calibration Expiry Date,,,,,,
db024b07-edc6-49ca-bee7-7aeaad1efdad,checkpoint-no-value,Installer Sign-off,,,,,,
4997561d-fb4f-4a8a-998f-ad8ecb55915c,signoff,Installed by:,,,,,,
70fb74f8-a3c4-4a06-be4b-bed696e25411,checkpoint-no-value,Client Sign-off,,,,,,
dbfc3f8b-2d70-4d1e-8059-3cbe99d6d564,signoff,Client Representative:,,,,,,
