"Id","Type","Name","Values","Prompting Name","Prefix","Postfix","Usage Count","Resource Id"
"38f7b193-f498-4cb4-a36f-155cc5378a88/1","checklist","As-Built Drawings","","As-Built Drawings",,,0,"07d8a3a7-a1d6-4f91-8093-b50e4663166a"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,,,
"6d9a76c3-0a69-4449-b1e7-11ce6b7f2835","checkpoint-no-value","As-Built Drawings - attach scanned documents",,,,,,

"1cf796b9-5581-4586-ba92-af5cb7bb53fe/1","checklist","As-Built Drawings","","As-Built Drawings",,,1,"b184ad96-1ce1-481f-aeab-b66c1ceaefd6"
"cddf49ee-98d8-4fe1-8a0e-73eece021b7f","section","Details",,,,,,
"92504654-cae8-4b9e-ab5f-d10d4dac1c1d","checkpoint-no-value","As-Built Drawings - attach scanned documents",,,,,,

"17517af2-db4a-45b7-8883-f495d7b7f393/1","checklist","Certificate of compliance (COC)","","Certificate of compliance (COC)",,,0,"cfc3c06a-f98c-44e3-b7d0-645c7885e8ba"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,,,
"85c1dfac-a6c1-4c34-99e6-d95ecb814741","checkpoint","Please upload Certificate of Compliance here when complete (COC)",,,,,,

"7a3a9bc9-1106-4f07-803f-fa3ecc4aae39/1","checklist","Certificate of compliance (COC)","","Certificate of compliance (COC)",,,0,"051e18a5-d55a-4127-9a72-e7972a9b5f56"
"6797c937-fb18-48b0-973f-1f8f6a6a6064","section","Details",,,,,,
"861538f6-b1ef-40e0-83c5-c42c5a8ee816","checkpoint","Please upload Certificate of Compliance here when complete (COC)",,,,,,

"d3d640a6-f0e5-4dbe-a426-bbdfbd9e88f1/1","checklist","Entec Daily Report","","Entec Daily Report",,,0,"127baa78-0e3e-4937-97c5-81d0d89ec8bd"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,,,
"dfe33494-f1f3-416d-b200-985468c449e7","checkpoint","Daily Report",,,,,,
"aa373969-8b60-5d14-ae15-1d6c7fac2904","date","Date:",,,,,,
