"Id","Type","Name","Values","Prompting Name","Prefix","Postfix","Usage Count","Resource Id"
"38f7b193-f498-4cb4-a36f-155cc5378a88/1","checklist","As-Built Drawings","","As-Built Drawings",,,0,"07d8a3a7-a1d6-4f91-8093-b50e4663166a"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,,,
"6d9a76c3-0a69-4449-b1e7-11ce6b7f2835","checkpoint-no-value","As-Built Drawings - attach scanned documents",,,,,,

"/1","checklist","As-Built Drawings","","As-Built Drawings",,,3,"00c280fe-ef7a-4295-bc5b-99adeea67055"
,"section","As-Built Drawings - attach scanned documents",,,,,,
,"checkpoint-no-value","As-Built Drawings - attach scanned documents",,,,,,
"6952193a-8516-569d-b7be-ff9b3ec029ee","textbox","Drawing no.",,,,,,

"/3","checklist-flat","Cadwelds","","Cadwelds",,,12,"dc8b8cc5-c69f-4bb2-a5e4-d1e824c125f1"
,"checkpoint","Mold type, # and cable size identified",,,,,,
"58f6a4e7-1d04-5cde-93ef-7e40e831a9d1","dropdown","Select mold type:","GT 50mm SQ to 16mm S/S vertical rod, XBQ - 50mm SQ to 50mm SQ crossover, TA 50mm SQ Horizontal Tee, XA 185mm N/C run to 185mm N/C4 120mm, T.A. 185mm N/C run to 50mm Horizontal Tee, X.A. 185mm N/C run to 185mm N/C Tap, X.A 185mm N/C # 50mm run to 185mm N/C # 50mm Tap, T.A 185mm N/C Run to 120mm N/C Horizontal Tee, T.A. 185mm N/C Horizontal Tee, T.A. 35mm SQ Run to 120mm SQ N/C Tap, T.A. 120mm SQ Non-Compacted Tee",,,,,
"ed4c3d61-22c0-5062-9fb5-da4c63055431","dropdown","Select mold #","GTC-312C, XBQ-2C2C, TAC-2C2C, ZC-11159Z, TAC-3D2C, XAC-3D3D, ZC-11160Z, TAC-3D2V, TAC-3D3D, TAC 1V2V, TAC 2V2V",,,,,
