resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,
,step,,,Ground Floor,,,,,,,,,,,,,,
,step,,,Ground Floor,OMKT Corridor,,,,,,,,,,,,,
ITP 001 Speed Panel,checklist-flat,,,Ground Floor,OMKT Corridor,Corridor Wall Framing & Sheeting,,,,,,,,,,,,
ITP 001 Speed Panel,checklist-flat,,,Ground Floor,OMKT Corridor,Garbage Room Wall Framing & Sheeting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Ground Floor,OMKT Corridor,Corridor Suspended Ceiling Framing& Sheeting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Ground Floor,OMKT Corridor,Garbage Room Suspended Ceiling Framing& Sheeting,,,,,,,,,,,,
,step,,,Ground Floor,KWH Corridor,,,,,,,,,,,,,
ITP 001 Speed Panel,checklist-flat,,,Ground Floor,KWH Corridor,Corridor Wall Framing & Sheeting,,,,,,,,,,,,
ITP 001 Speed Panel,checklist-flat,,,Ground Floor,KWH Corridor,Garbage Room Wall Framing & Sheeting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Ground Floor,KWH Corridor,Corridor Suspended Ceiling Framing& Sheeting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Ground Floor,KWH Corridor,Garbage Room Suspended Ceiling Framing& Sheeting,,,,,,,,,,,,
,step,,,Ground Floor,Y-Junction Detail,,,,,,,,,,,,,
ITP 004 Door and Door Hardware Installation,checklist-flat,,,Ground Floor,Metal Door Frame Installation,,,,,,,,,,,,,
ITP 002 Installation of Soffit Insulation,checklist,,,Ground Floor,Under Slab Insulation,,,,,,,,,,,,,
ITP 006 FF&E Installation,checklist,,,Ground Floor,FF&E Installation,,,,,,,,,,,,,
,step,,,Ground Floor,Fire Stairs,,,,,,,,,,,,,
ITP 001 Speed Panel,checklist-flat,,,Ground Floor,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,,,,,,,,,,,,
,step,,,Level 1,,,,,,,,,,,,,,
,step,,,Level 1,1E,,,,,,,,,,,,,
ITP 003 Installation of Internal Partitions,checklist,,,Level 1,1E,Wall Framing & Sheeting,,,,,,,,,,,,
ITP 007 Skirting Installation,checklist-flat,,,Level 1,1E,Skirting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Level 1,1E,Suspended Ceiling Framing & Sheeting,,,,,,,,,,,,
ITP 003 Installation of Internal Partitions,checklist,,,Level 1,1E,Balcony Wall and Ceiling- Framing and Sheeting,,,,,,,,,,,,
,step,,,Level 1,1F,,,,,,,,,,,,,
ITP 003 Installation of Internal Partitions,checklist,,,Level 1,1F,Wall Framing & Sheeting,,,,,,,,,,,,
ITP 007 Skirting Installation,checklist-flat,,,Level 1,1F,Skirting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Level 1,1F,Suspended Ceiling Framing & Sheeting,,,,,,,,,,,,
ITP 003 Installation of Internal Partitions,checklist,,,Level 1,1F,Balcony Wall and Ceiling- Framing and Sheeting,,,,,,,,,,,,
,step,,,Level 1,Fire Stairs,,,,,,,,,,,,,
ITP 001 Speed Panel,checklist-flat,,,Level 1,Fire Stairs,Speedpanel Scissor Stair Dividing Wall,,,,,,,,,,,,
ITP 001b Speed Panel,checklist-flat,,,Level 1,Fire Stairs,Speedpanel Stair Pressurisation Shaft 1,,,,,,,,,,,,
ITP 001b Speed Panel,checklist-flat,,,Level 1,Fire Stairs,Speedpanel Stair Pressurisation Shaft 2,,,,,,,,,,,,
,step,,,Level 1,Northern Core Risers & Plant Rooms,,,,,,,,,,,,,
ITP 001a Speed Panel,checklist-flat,,,Level 1,Northern Core Risers & Plant Rooms,Speedpanel Northern Core Risers & Plant Rooms,,,,,,,,,,,,
,step,,,Level 1,KWH Corridor,,,,,,,,,,,,,
ITP 003 Installation of Internal Partitions,checklist,,,Level 1,KWH Corridor,Corridor Wall Framing & Sheeting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Level 1,KWH Corridor,Corridor Suspended Ceiling Framing& Sheeting,,,,,,,,,,,,
ITP 005 Installation of Ceiling System,checklist,,,Level 1,KWH Corridor,Garbage Room Suspended Ceiling Framing& Sheeting,,,,,,,,,,,,
ITP 003 Installation of Internal Partitions,checklist,,,Level 1,KWH Corridor,Garbage Room Wall Framing & Sheeting,,,,,,,,,,,,
,step,,,Level 1,Y-Junction Detail,,,,,,,,,,,,,
ITP 004 Door and Door Hardware Installation,checklist-flat,,,Level 1,Metal Door Frame Installation,,,,,,,,,,,,,
ITP 004 Door and Door Hardware Installation,checklist-flat,,,Level 1,Timber Door Frame Installation,,,,,,,,,,,,,
ITP 002 Installation of Soffit Insulation,checklist,,,Level 1,Under Slab Insulation,,,,,,,,,,,,,
ITP 006 FF&E Installation,checklist,,,Level 1,FF&E Installation,,,,,,,,,,,,,
