"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b53f8f34-bb02-4c50-9ae8-4917c4ea9743","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"4ef3cfe1-228a-4721-9e9b-45bb78739a7f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","B01"
"9eb000d2-1b2d-46b7-aced-5d129e272b93","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","B01","Fitout"
"d10dab5e-a8e8-4ea9-9038-4134e7246ab9","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement"
"0cc0381a-7cee-43ae-823f-23bc4da42e3f","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A"
"28966d3f-9950-40d7-a988-ed42747ab640","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area"
"be950575-57bd-458a-a299-719a35dc3c05","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area"
"b3d60525-a3a4-4e37-bd1b-3ba3317ba1e0","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing"
"c08e9334-3efa-54e5-b949-7c77e05bca25","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"43d304f7-142e-597d-82bf-1162e4bacc5c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"0e0de7da-423c-5487-a38f-28dbbe781472","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"a04d1451-d585-5086-b56a-40668f647fd6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"379518e6-7fc9-5d5f-855a-710b187bfa7b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"804467dc-5403-5aff-9cf3-e771a778c057","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"afcb90ac-eea7-5d9c-9ba9-3fdee8669189","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"8b2b472f-429a-5058-b510-730c3e74cae9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"9c4fe5d5-0ecc-53be-9902-405e19292c42","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"7c798d41-4d3b-445e-8e0b-20161d6ad984","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids"
