"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"091c66b8-395d-42a0-9f5e-53d77c07663d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"905efdc1-df68-4ccc-9792-59b4750cb9a5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services"
"cbc5c778-eae4-4b78-a643-4fe05478290f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)"
"1972ece5-9e65-45c1-bb0d-d34953bbe012","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 1"
"0999ec0b-2048-4acc-935b-f8135072d6fc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 2"
"de144d89-4aa4-43c4-94ee-330aa61dd02d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 3"
"56b4b8c9-efe5-498a-9536-dbe61e08f94b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4"
"b2e5c49d-5f14-4e1c-962a-cc56428580f3","","checklist-flat","pass","75180dba9da3255b68dedd748ee12838a79552bbe6e6fe74729584a56a5c5a49","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4"
"b91e15e2-f3ec-5e48-a3e2-8ccc0aae52d0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"ae56ff21-82fa-5313-8cf6-533951e5ca0d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"846e3d6b-37fe-551a-ba04-d7156418695d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"67cefff9-9af5-5dc6-886b-cf01a6bbf7b0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"b9c9ac18-69fa-555f-8b62-29d421e116db","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","All pits to be checked for correct invert levels & finished floor levels in accordance to specifications & requirements & IFC drawings."
"2333eebf-63f1-53c5-8d54-27050fc0ee31","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","Ensure correct locations of pits."
"02f5fead-2c9b-5563-b330-126a9d301c3c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","All pipework to be checked for correct invert levels & gradients in accordance to specifications & requirements"
"e2152d87-95c9-5e56-a377-f92457b1f525","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","Ensure all backfill is in accordance to specifications & compaction requirements."
"bcacc621-98cf-5b16-9467-4ccde1c6a8b1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4","Ensure all excess material is removed from work area & leave clean & tidy."
"da90a08e-5e03-4c98-8543-47e6491728fe","","folder-normal","pass","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows"
