Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Fire Damper,,,,,,,,,
,Scope,,,Site QA,Penetrations,,,,
,Rows,,,,,,,,
,,Level 02,dynamic,Site QA,Penetrations,Level 02,,,
,,Level 03,dynamic,Site QA,Penetrations,Level 03,,,
,,Level 04,dynamic,Site QA,Penetrations,Level 04,,,
,Columns,,,,,,,,
,,All fire dampers provided with access panel,,All fire dampers provided with an access panel as per mechanical drawings,,,,,
,,Penetration details captured,,Penetration details have been captured,,,,,
,,Penetration ID,Penetration ID,Penetration details have been captured,,,,,
,,Manufacturer,Manufacturer,Penetration details have been captured,,,,,
,,Inspection Date,Inspection Date,Penetration details have been captured,,,,,
,,Apartment,Apartment,Penetration details have been captured,,,,,
,,Penetration Location,Penetration Location,Penetration details have been captured,,,,,
,,Centralise casing & firestop gap between casing/wall,,Centralise the casing and firestop the gap between the casing and wall with Kilargo intumscent sealant. Backing rod used as required to control sealant fill depth. Maximum annular gap between casing and wall 25mm,,,,,
,,Approved fire rated mastic applied to perimeter of fire damper cell,,Approved fire rated mastic has been applied to entire perimeter of fire damper cell on both sides. No evidence of cracking.,,,,,
,,Casing perimeter sealed with Approved intumescent sealant,,Casing perimeter is sealed with Approved intumescent sealant. No evidence of cracking.,,,,,
,,O.7mm or greater Z275 Gal steel casing positioned centrally,,O.7mm or greater Z275 Gal steel casing positioned centrally in penetration aperture,,,,,
,,Duct Riser connected to casing using Steel Screws/Steel Pop Rivet ,,Duct Riser is connected to the casing usingSteel Screws or Steel Pop Rivet ,,,,,
,,0.7mm (min) Z275 galvanised steel angles to all four sides,,"0.7mm (min) Z275 galvanised steel angles to all four sides, angle dimensions shall be continous and at least 2x the dimension of the gap between damper casing and penetrating element",,,,,
,,Ensure product & certification labels in prominent position for easy ID,,Ensure product and certification labels are in a prominent position for easy identification during subsequent maintenance inspections.,,,,,
,,Access provided to conveniently access fire damper for visual inspect.,,Access is provided to conveniently access fire damper for visual a inspections.,,,,,
,,Fire damper labelling in accordance with AS1682.2,,Fire damper labelling in accordance with AS1682.2 has been placed and clearly identifies the fire damper,,,,,
,,Pictures attached,,Pictures attached,,,,,
,,Notes/Additional Comments,Notes/Additional Comments:,Pictures attached,,,,,
,,Signature (Contract/Subcontractor Assessor),,Signature (Contract/Subcontractor Assessor),,,,,
,,Date,Date,Signature (Contract/Subcontractor Assessor),,,,,
,,Signature (Builder Representative),,Siganture (Builder Representative),,,,,
,,Name,Name,Siganture (Builder Representative),,,,,
,,,,,,,,,
A/C Commissioning,,,,,,,,,
,Scope,,,Site QA,,,,,
,Rows,,,,,,,,
,,Level 04 - Air Conditioning,grouping,Level 04 - Air Conditioning,,,,,
,,FCU-1,,Site QA,Commissioning,Level 04,Air Conditioning,FCU-1,A/C Commissioning Checklist
,,FCU-2,,Site QA,Commissioning,Level 04,Air Conditioning,FCU-2,A/C Commissioning Checklist
,,FCU-3,,Site QA,Commissioning,Level 04,Air Conditioning,FCU-3,A/C Commissioning Checklist
,,FCU-4,,Site QA,Commissioning,Level 04,Air Conditioning,FCU-4,A/C Commissioning Checklist
,,FCU-5,,Site QA,Commissioning,Level 04,Air Conditioning,FCU-5,A/C Commissioning Checklist
,Columns,,,,,,,,
,,Refrigeration lines pressurised & maintained pressure,,Refrigeration lines have been pressurised and have maintained pressure for more than 24hrs,,,,,
,,Refrigerant lines vacuumed to 500 microns & maintained,,Refrigerant lines have been vacuumed to 500 microns and maintained the vacuum,,,,,
