resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Site QA,,,,,,,,
,,,step,,,,Rough-In,,,,,,,
,,,step,,,,,Level 01,,,,,,
,,,step,,,,,,Common Area,,,,,
Common Area Rough in Checklist - General ,Sign Off,,folder-with-checklists,,,,,,,Lobby Area ,,,,
Duct Installation Checklist ,,,checklist,,,,,,,Ducting,,,,
,,,step,,,,,Level 02,,,,,,
,,,step,,,,,,Common Area,,,,,
Common Area Rough in Checklist - General ,Sign Off,,folder-with-checklists,,,,,,,Lobby Area ,,,,
Duct Installation Checklist ,,,checklist,,,,,,,Ducting,,,,
,,,step,,,,,Level 03,,,,,,
,,,step,,,,,,Common Area,,,,,
Common Area Rough in Checklist - General ,Sign Off,,folder-with-checklists,,,,,,,Lobby Area ,,,,
Duct Installation Checklist ,,,checklist,,,,,,,Ducting,,,,
,,,step,,,,,Level 04,,,,,,
,,,step,,,,,,Wall Closure,,,,,
Wall Closure Checklist,Sign Off,,folder-with-checklists,,,,,,,FCU-1,,,,
Wall Closure Checklist,Sign Off,,folder-with-checklists,,,,,,,FCU-2,,,,
Wall Closure Checklist,Sign Off,,folder-with-checklists,,,,,,,FCU-3,,,,
Wall Closure Checklist,Sign Off,,folder-with-checklists,,,,,,,FCU-4,,,,
Wall Closure Checklist,Sign Off,,folder-with-checklists,,,,,,,FCU-5,,,,
,,,step,,,,,,Ceiling Closure,,,,,
Ceiling Closure Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-1,,,,
Ceiling Closure Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-2,,,,
Ceiling Closure Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-3,,,,
Ceiling Closure Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-4,,,,
Ceiling Closure Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-5,,,,
,,,step,,,,,,Common Area,,,,,
Common Area Rough in Checklist - General ,Sign Off,,folder-with-checklists,,,,,,,Lobby Area ,,,,
Duct Installation Checklist ,,,checklist,,,,,,,Ducting,,,,
,,,step,,,,,Roof,,,,,,
Duct Installation Checklist ,,,checklist,,,,,,[TEF-P2-R2] - Toilet Exhaust,,,,,
Duct Installation Checklist ,,,checklist,,,,,,[GEF-P2-R1] - Garbage Exhaust,,,,,
Duct Installation Checklist ,,,checklist,,,,,,[TEF-P2-R1] - Toilet Exhaust,,,,,
Duct Installation Checklist ,,,checklist,,,,,,750x750 K/E Duct,,,,,
Duct Installation Checklist ,,,checklist,,,,,,200x200 G/E Duct,,,,,
Duct Installation Checklist ,,,checklist,,,,,,200x150 K/E duct,,,,,
,,,step,,,,Fit-Off,,,,,,,
,,,step,,,,,Level 01,,,,,,
Common Area Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,,Level 02,,,,,,
Common Area Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,,Level 03,,,,,,
Common Area Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,,Level 04,,,,,,
Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,FCU-1,,,,,
Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,FCU-2,,,,,
Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,FCU-3,,,,,
Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,FCU-4,,,,,
Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,FCU-5,,,,,
Common Area Fit-Off Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,Commissioning,,,,,,,
,,,step,,,,,Level 01 - Ventilation,,,,,,
Ventilation Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,,Level 02 - Ventilation,,,,,,
Ventilation Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,,Level 03 - Ventilation,,,,,,
Ventilation Checklist ,Sign Off,,folder-with-checklists,,,,,,All Areas,,,,,
,,,step,,,,,Level 04,,,,,,
,,,step,,,,,,Air Conditioning,,,,,
A/C Commissioning Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-1,,,,
A/C Commissioning Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-2,,,,
A/C Commissioning Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-3,,,,
A/C Commissioning Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-4,,,,
A/C Commissioning Checklist ,Sign Off,,folder-with-checklists,,,,,,,FCU-5,,,,
Ventilation Checklist ,Sign Off,,folder-with-checklists,,,,,,Ventilation - All Areas,,,,,
,,,step,,,,Penetrations,,,,,,,
,,,step,,,,,Level 02 - Fire Damper,,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L2.1,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L2.2,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L2.3,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L2.4,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L2.5,,,,,
,,,step,,,,,Level 03 - Fire Damper,,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L3.1,,,,,
,,,step,,,,,Level 04 - Fire Damper,,,,,,
Fire Damper Checklist -WM1,,,checklist,,,,,,FD-L4.1,,,,,
,,,,,,,,,,,,,,
