"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"819d3d61-999a-4fcf-bb3a-aef89775fb1a","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA"
"76e32474-9c42-461f-9a17-0cbd323f6977","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor"
"0df41649-dccc-477a-a60a-b6be34af6a58","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1"
"3bbddbf6-ff78-499e-9dc1-60ebab34e720","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2"
"006d257c-d042-486a-99af-56c39398d42d","","checklist-flat","work-in-progress","8807480b571d700a79527250b46cc6afa797a57d4818a70c775a9b56db496654","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing"
"06ec5f97-b794-578f-b896-2d5c4c68e39a","","checkpoint-status","not-applicable","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","General info/comments recorded"
"4b0bb76e-445a-5c26-897e-d991dd4c872f","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Walls in correct location off grid"
"c7450b77-f117-510a-8884-cab13a9276db","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Walls built within building tolerances."
"ce6051bc-3850-57ed-ad26-3cd8864d3407","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","DPC under bottom plate against concrete"
"37529615-00fb-5960-a09e-aedbc88fd243","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","M16 threaded rods/epoxy installed at correct centres"
"ee2aa4bb-a082-5e18-b7fb-05adcbf44e8c","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"86571b65-36d0-5bd0-a269-a9e51cdad354","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"b56dee94-664d-5d5b-b326-f2a2787a403e","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"7efa01ff-630e-558e-870c-33ddf5ea2a37","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Building hardware installed on exterior walls"
"98edbfa7-3e56-52c4-8b00-9625cc38351a","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"fb5aabf4-11c2-5a19-a329-4e9772a59af9","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Plywood strip installed to take steel brick edge angle"
"4125cece-e790-5fce-a0e1-e875a6a69327","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Wrap shield installed into window openings with liquid flash"
"affdefc9-61d9-540c-950a-9d09f56b2e79","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"c35a7b5e-0499-59a7-ab66-b053c918591d","","checkpoint-status","not-applicable","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Soffit framing and linings to balconies"
"c03dccaa-a652-5f61-8a9d-b7ddaf69349b","","checkpoint-status","not-applicable","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Additional nogs for exterior face ( that will be installed from interior )"
"7fcc3ef9-daa9-5256-8acf-af247d370c33","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing","Rotheblass or Simpson brackets installed as per S1-03"
"d3c12e2e-3a58-4d40-9006-74f826cf2bbb","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )"
"f9a7a263-4a39-4aac-83b9-2f51787a2c5e","","checklist-flat","work-in-progress","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing"
"dbd40181-5d43-5250-97be-a41b15e1ad70","","checkpoint-status","not-applicable","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","General info/comments recorded"
"fbd2fda5-e013-5a30-af2d-0cb590b6a542","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Walls in correct location off grid and walls built within building tolerances."
"1a5e2252-0a0a-595b-9958-66128055245f","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","DPC under bottom plate against concrete"
"9071bd4e-a7d4-533e-879d-0779914cba9e","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","M16 threaded rods/epoxy installed at correct centres"
"1d308dde-4907-5bf4-bb70-5f463f14c73a","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"3159c075-62fd-5a51-ba18-c562e4b62b19","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"dc57be74-95e7-5889-b422-5d942b06ecc4","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"7c70b43a-70ca-50ed-95fe-b6c08ceea34e","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Building hardware installed on exterior walls."
"a8976782-4d49-5381-a79d-ed0a6ebd69f2","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"12816fbf-6c40-5074-ad5e-eabd69828470","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Plywood strip installed to take steel brick edge angle"
"ac7113ff-6c98-5ace-b96f-be06b3d6c337","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Wrap shield installed into window openings with liquid flash"
"5b368aa0-5e59-5d36-b51d-5c31881b322e","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"c4c5f4eb-dcb1-5230-a437-15219fe4f48c","","checkpoint-status","not-applicable","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid A ( Grid 1-5 )","External Framing","Brackets installed as per S1-03"
"ae11eb61-5afc-49b9-b021-97b20e357b79","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )"
"ba0ae682-4b0d-4e8f-9bc3-3dcb3c949dba","","checklist-flat","work-in-progress","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing"
"f002fde4-eb5f-56a2-89bf-214f808217c7","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","General info/comments recorded"
"3ae49f0d-d54c-521e-9a14-6a1a48451646","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Walls in correct location off grid and walls built within building tolerances."
"ba0b2e9e-47a5-5be8-869d-7575a884fa10","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","DPC under bottom plate against concrete"
"c274fa81-4e49-59ee-aea6-571113047160","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","M16 threaded rods/epoxy installed at correct centres"
"7f7736c9-ddd2-5f83-85d4-67a89b1e239a","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"277adc93-6a24-509d-bdc3-7549dae69661","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"df6043aa-5843-513e-beaf-75b562f2446a","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"d9df67ae-2970-51cb-97ba-5a9572a4f8ea","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Building hardware installed on exterior walls."
"87c7bf57-98f4-5b92-a670-dab2db4859b0","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"cab445cb-be7e-5b7e-8321-e4463fdc5148","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Plywood strip installed to take steel brick edge angle"
"194b09ca-c1f9-5127-851a-210d905afadf","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Wrap shield installed into window openings with liquid flash"
"5f5ba079-42f3-5834-b4f9-e6254021e5ef","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"f4726a46-6dda-5650-84c6-bcd9c5f4491b","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid N ( Grid 1-5 )","External Framing","Brackets installed as per S1-03"
"7dce7c17-c133-46ee-a12e-f0323a5ff95f","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5"
"18df5689-e696-4f2c-bb08-2a290c7342a6","","checklist-flat","work-in-progress","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing"
"6044be28-faf9-532b-a68e-129a380c0beb","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","General info/comments recorded"
"c434d354-80f2-50bd-ae02-e503bf13bc8d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Walls in correct location off grid and walls built within building tolerances."
"fb348c1d-af3e-5007-bff6-d12c872c2989","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","DPC under bottom plate against concrete"
"cffe11fe-672a-5c7d-9282-e131467328f1","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","M16 threaded rods/epoxy installed at correct centres"
"c5886d23-cfe0-5bf5-b2e8-e7574428f62c","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"b3d8bf71-03f9-53e0-aeac-764efd24f9ef","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"95cf25bd-bd82-57b5-b2f6-2c1241118813","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"eac4f1cf-0763-5a00-ae46-2634aec3b269","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Building hardware installed on exterior walls."
"bb03fd94-7da5-582a-82a7-3b0741416918","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"49f15d8c-54df-56c9-85b3-0f1791ac926b","","checkpoint-status","pass","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Plywood strip installed to take steel brick edge angle"
"b77f211d-21e4-530d-be55-2974c55f60d4","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Wrap shield installed into window openings with liquid flash"
"95f02ca4-5495-5e6c-9d79-5320bead24b3","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"4d1de8cb-a7f8-5890-87ba-203ab64d62f5","","checkpoint-status","not-applicable","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 1","Grid 5","External Framing","Brackets installed as per S1-03"
"a5b83546-3cc1-437e-9eae-32d5d0e78b01","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 2"
"a32d4a19-37ad-40d8-a156-be0624739c55","","folder-normal","not-started","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid N"
"95ee6779-384f-40fe-b2e1-3fc639acf84f","","checklist-flat","not-started","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing"
"0d5d05e0-0947-5086-9918-5597de261523","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","General info/comments recorded"
"2f31437a-8912-5082-84bf-9977264185b8","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Walls in correct location off grid and walls built within building tolerances."
"a887fb5c-2f6b-5c7e-bd74-0a07f32c8dec","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","DPC under bottom plate against concrete"
"7b434c04-28e0-5a08-9d9e-5950ae4cf6e1","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","M16 threaded rods/epoxy installed at correct centres"
"31753f30-1cd8-55c2-b79a-00b6fbaf3257","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"b5f7c0c8-dc4f-5445-8c48-6f8e9770911b","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"516a2755-9f20-5921-b62a-cf09a59a58d2","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"f6c094dd-9da1-5c92-94b9-68c47108e9ef","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Building hardware installed on exterior walls."
"07fcb944-1f14-5466-ac89-3cfba4090aae","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"a6da5ec8-e442-5f9a-ac4b-322ee226ca96","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Plywood strip installed to take steel brick edge angle"
"7c94e222-9200-5b34-9e7b-7136d5acb636","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Wrap shield installed into window openings with liquid flash"
"7bf19bc2-7a7f-59bd-99a6-0d533c00eefd","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"ed371d76-1dfe-5472-afda-cb789d2fd0c5","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid N","External Framing","Brackets installed as per S1-03"
"7e68a6af-29b8-4d1d-8628-b91ecb5225ab","","folder-normal","not-started","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )"
"4debc774-04c5-442a-98f3-936cf86265b5","","checklist-flat","not-started","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing"
"b2a95c89-3620-514c-82d7-3afee0db87ad","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","General info/comments recorded"
"7eef46d6-89cc-5549-9aae-b408d18b3908","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Walls in correct location off grid and walls built within building tolerances."
"2a4c9474-0914-5b17-8a1c-da438a020021","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","DPC under bottom plate against concrete"
"0400ee9e-e1e0-5db6-ae2f-a92a76779df5","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","M16 threaded rods/epoxy installed at correct centres"
