"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"00afe5cb-830f-4993-9f4b-4854e2986ac5","","folder-normal","","","step","TRUE","FALSE","Underslab"
"9d210ee2-7ba5-45fb-870a-bfc43278efbd","","folder-normal","","","step","TRUE","FALSE","Underslab","Building A"
"3de3059e-1866-4715-aa08-33565ba7883b","","folder-normal","","","step","TRUE","FALSE","Underslab","Building A","Level 2"
"76ef1343-0584-4c50-8051-04f34ed680b0","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building A","Level 2","Zone 1"
"b73ec8b7-40e7-44f3-8376-86b082900ec1","","folder-normal","","","step","TRUE","FALSE","Underslab","Building A","Level 3"
"9ded4e51-17b7-4408-9e00-657b556ee5d0","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building A","Level 3","Zone 1"
"d1f937f5-9669-402c-b9e6-b534c532879f","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building A","Level 3","Zone 2"
"45feea80-ebcc-4efb-85bc-b9241dd5ce88","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building A","Level 3","Zone 3"
"332bf045-7ad2-4aa1-84d8-22cdcf7f9d26","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building A","Level 3","Zone 4"
"02e78c12-88e6-47e7-b611-53540e748d0c","","folder-normal","","","step","TRUE","FALSE","Underslab","Building D"
"ebee71ae-f79b-43a9-93ce-3f0556635522","","folder-normal","","","step","TRUE","FALSE","Underslab","Building D","Level 3"
"f4f20681-4b9f-45d2-b08e-f12438c7d551","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building D","Level 3","Zone 1"
"a966ad41-59be-426c-bd51-61e35aae604d","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building D","Level 3","Zone 2"
"cb961389-5dcf-4e2e-ace4-f63cce1becd4","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building D","Level 3","Zone 3"
"c62dcaeb-ee10-40b5-a3bf-95b40e6344f9","","checklist-sectioned","","Underslab QA","checklist","FALSE","FALSE","Underslab","Building D","Level 3","Zone 4"
"0f79d3dd-c6cb-4e94-b0dc-b8e00e265b0d","","folder-normal","","","step","TRUE","FALSE","First Fix"
"ab5f2a9c-ade7-46fa-a761-36f4261e647e","","folder-normal","","","step","TRUE","FALSE","First Fix","Basement"
"bf92d4fc-4a95-4805-be5b-31aa22073b11","","folder-normal","","","step","TRUE","FALSE","First Fix","Basement","LB1 (Ground)"
"17119767-ece0-4a5c-8c93-f8113a0c6df0","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB1 (Ground)","Cold Water"
"4dfb6698-0931-44e1-b2cf-de3e95cd072c","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB1 (Ground)","Waste"
"d2c46a1d-fb01-4510-8565-066f246626c3","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB1 (Ground)","Stormwater"
"ad291e93-af8e-46e7-b199-08ce9d14c9bc","","folder-normal","","","step","TRUE","FALSE","First Fix","Basement","LB2 (Level 1)"
"8fd341cc-31a5-453c-8777-042a90b5f254","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB2 (Level 1)","Cold Water"
"877ca8da-588e-463b-954a-6b61c3a86396","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB2 (Level 1)","Hot Water"
"350797ec-c7f8-48e3-9012-e67be94e9d61","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB2 (Level 1)","Waste"
"281ddfb7-56b0-4dd4-b78a-47da0de1d1d8","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB2 (Level 1)","Stormwater"
"3fa1376d-b662-4544-8e93-6ebc67530bd1","","folder-normal","","","step","TRUE","FALSE","First Fix","Basement","LB3 (podium)"
"0b301b03-16b9-45da-9ebe-2d0f8c932537","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Basement","LB3 (podium)","Stormwater"
"f336212c-95ad-4ca7-ac34-4c78f13b35d5","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A"
"3dcf5499-bca3-436c-90ec-3df84f3a834e","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 2"
"c5e5fb5f-d939-469d-88b4-246524349b38","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 2","Corridor incl. stacks"
"50b2dff5-09ee-484f-af22-d224c9da1f55","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 2","Corridor incl. stacks","Cold Water"
"ada4e61f-8d71-4748-8ee4-6012d09a598d","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 2","Zone 1"
"34d6bf36-3472-453f-bebb-c8acdb0b0253","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 2","Zone 1","Cold Water"
"51509ed0-b32c-4cb2-a917-4b0135d02139","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 2","Zone 1","Hot Water"
"7af4afb7-a411-4ba1-a40c-46fb3d07d3df","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 2","Zone 1","Waste"
"a7f0f550-10a1-4382-92fe-ac174e9dc291","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 3"
"f836fe44-5a7c-48bf-a333-761ee35d755b","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 3","Corridor incl. stacks"
"1b670175-4c96-4f4a-a1fc-f65ae50f6065","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Corridor incl. stacks","Cold Water"
"1b014289-6a3d-484b-a5f1-3ccedcf9c123","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 3","Zone 1"
"c0caad02-1dad-405b-9ab5-9fef2b02d8ca","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 1","Cold Water"
"864c6846-f08f-453d-9c8a-7a7f8a435665","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 1","Hot Water"
"f80e031b-214d-4417-882f-0451e2d2eb72","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 1","Waste"
"f8683f40-76ea-4d1f-85b7-120a9e288cb4","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 3","Zone 2"
"5bc9173e-9856-411c-a486-5a22e1ea8488","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 2","Cold Water"
"1ea0594c-6afb-463b-a88d-a68fb862ef16","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 2","Hot Water"
"f2bab503-ff06-4ca3-b8a3-59d3e89dd237","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 2","Waste"
"7ac40020-00e7-4dce-9a97-596a5b5a901c","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 3","Zone 3"
"ca0b96a9-8afe-40c7-a6cb-93126435e2ea","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 3","Cold Water"
"15636c78-e451-4935-a512-de4cf94d1fb4","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 3","Hot Water"
"95d89b20-7a93-44c3-b95a-02d1de6eeb35","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 3","Waste"
"6c7eb4e4-90dc-4d26-9b71-2c3e957237c7","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 3","Zone 4"
"9403e889-3c9b-43fd-b405-13bc7319a7db","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 4","Cold Water"
"4fe6b365-812b-4326-82d4-203c4d0adb1e","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 4","Hot Water"
"42a1c615-7cc8-4035-981d-6d3d65143300","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 3","Zone 4","Waste"
"7493501c-e00c-4d15-9461-cd53e7e49185","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 4"
"16658fd8-7f95-49b6-8c25-96f50b948825","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 4","Corridor incl. stacks"
"f800855d-eec8-47f4-a1a6-6e7d0fb94965","","checklist-sectioned","","Plumbing Preline QA","checklist","FALSE","FALSE","First Fix","Building A","Level 4","Corridor incl. stacks","Cold Water"
"01ac0233-5e2f-4ae4-a4c4-79a85bd1ad3b","","folder-normal","","","step","TRUE","FALSE","First Fix","Building A","Level 4","Zone 1"
