type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,
checklist,ITP - Sealing - Stabilised Pavement Layer,itp,,,,Yes,ITP - Sealing - Stabilised Pavement Layer - Abattoir Road,4513ea7c-2666-47a9-8c8f-0d5ab24529f4,,,,,,,,,,
section,4.0. SETOUT AND PREPARATION,,,,,,,,,,,,,,,,,
checkpoint,4.0.1 - Mark out and approve,,,,,,,,,,,,,,,,,
label,Detail of Activity - Set out and record existing line markling within the treatment area,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - All areas of unbound granular pavement layers",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - N/A,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's site diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Treatment area marked up jointly by Contractor and Eng.Rep.,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,4.0.2 - Level Control,,,,,,,,,,,,,,,,,
label,"Detail of Activity - Install offset pegs; record centreline, edge line or mark out stabilisation extents from existing line marking",,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to works",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Document existing furniture,,,,,,,,,,,,,,,,,
label,Record documents - Site Diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.0.3 - Determine levels of substrate before placing materials,,,,,,,,,,,,,,,,,
label,Detail of Activity - Check top of substrate levels,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Every 20m",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Subgrade: check NZTA F/1 and/or project specifications.,,,,,,,,,,,,,,,,,
label,○ Subbase: No Concrete Channel: -25mm + 5mm with Concrete Channel: -25mm + 5mm,,,,,,,,,,,,,,,,,
label,Record documents - Survey Diary or CAD,,,,,,,,,,,,,,,,,
label,Responsibility - Surveyor / contractor,,,,,,,,,,,,,,,,,
checkpoint,4.0.4 - Weather conditions,,,,,,,,,,,,,,,,,
label,"Detail of Activity - Ambient Temperature (C&L), Material to be stabilised (BE&FBS)",,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to spreading",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Measurement,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Ambient Temperatures:,,,,,,,,,,,,,,,,,
label,"○ Cement: > 5°C, Lime: > 10°C",,,,,,,,,,,,,,,,,
label,"○ Material after stabilisation: BE: > 20°C, FB: > 20°C",,,,,,,,,,,,,,,,,
label,Record documents - Daily work Log,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.0.5 - Weather conditions,,,,,,,,,,,,,,,,,
label,Detail of Activity - Wind,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to spreading cement or lime",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Local weather stations,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Wind speed < 25 km/hr,,,,,,,,,,,,,,,,,
label,Record documents - Daily work Log,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.0.6 - Weather conditions,,,,,,,,,,,,,,,,,
label,Detail of Activity - Rain,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to spreading cement or lime",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Local weather stations,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - No spreading of cement / lime if it is raining or likely to rain before these can be mixed in with the material,,,,,,,,,,,,,,,,,
label,Record documents - Daily work Log,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
section,4.1. MATERIALS  - SUBBASE / BASECOURSE,,,,,,,,,,,,,,,,,
checkpoint,4.1.1 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Cement,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Per Batch",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZ 3122,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.1.2 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Lime,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Per Batch",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA M/15,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Test certificates issued to the Engineers Rep at least 10 days prior to sealing,,,,,,,,,,,,,,,,,
checkpoint,4.1.3 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Cement / Lime Supply and Storage Pods,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to commencement",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Document Review,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - All test certificates with supply and storage pods,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.1.4 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Bitumen for Stabilisation (FBS or BE),,,,,,,,,,,,,,,,,
