Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,Site QA,,
,Rows,,,,,
,,Lift Cores - Tower,dynamic,Site QA,Lift Cores,Tower
,,Lift Cores - School,dynamic,Site QA,Lift Cores,School
,,Lift Cores - Parish,dynamic,Site QA,Lift Cores,Parish
,,Stairs - Stair Core (Tower),dynamic,Site QA,Stairs,Stair Core (Tower)
,,Stairs - Stair 04 (South West Stair),dynamic,Site QA,Stairs,Stair 04 (South West Stair)
,,Stairs - Stair 05 (RAC Western Egress),dynamic,Site QA,Stairs,Stair 05 (RAC Western Egress)
,,Stairs - Stair 06,dynamic,Site QA,Stairs,Stair 06
,,Stairs - Stair 07 (Parish Core),dynamic,Site QA,Stairs,Stair 07 (Parish Core)
,,Stairs - Stair 08 (School Core),dynamic,Site QA,Stairs,Stair 08 (School Core)
,,Stairs - External Stair 01,dynamic,Site QA,Stairs,External Stair 01
,,Stairs - External Stair 02,dynamic,Site QA,Stairs,External Stair 02
,,Stairs - External Stair 03,dynamic,Site QA,Stairs,External Stair 03
,,Stairs - Miscellaneous Stairs,dynamic,Site QA,Stairs,Miscellaneous Stairs
,,Basement 2,dynamic,Basement 2,Site QA,
,,Basement 1 - Pour 1,dynamic,Pour 1,Basement 1,Site QA
,,Basement 1 - Pour 2,dynamic,Pour 2,Basement 1,Site QA
,,Basement 1 - Pour 3,dynamic,Pour 3,Basement 1,Site QA
,,Basement 1 - Pour 4,dynamic,Pour 4,Basement 1,Site QA
,,Lower Ground - Pour 1,dynamic,Site QA,Lower Ground,Pour 1
,,Lower Ground - Pour 2,dynamic,Site QA,Lower Ground,Pour 2
,,Lower Ground - Pour 3,dynamic,Site QA,Lower Ground,Pour 3
,,Lower Ground - Pour 4,dynamic,Site QA,Lower Ground,Pour 4
,,Upper Ground - Pour 1,dynamic,Site QA,Upper Ground,Pour 1
,,Upper Ground - Pour 2,dynamic,Site QA,Upper Ground,Pour 2
,,Upper Ground - Pour 3,dynamic,Site QA,Upper Ground,Pour 3
,,Upper Ground - Pour 4,dynamic,Site QA,Upper Ground,Pour 4
,,School - Level 1,dynamic,Site QA,School,Level 1
,,School - Level 2,dynamic,Site QA,School,Level 2
,,School - Level 3,dynamic,Site QA,School,Level 3
,,School - Level 4,dynamic,Site QA,School,Level 4
,,Parish Hall - Level 1,dynamic,Site QA,Parish Hall,Level 1
,,Parish Hall - Level 2,dynamic,Site QA,Parish Hall,Level 2
,,Parish Hall - Level 3,dynamic,Site QA,Parish Hall,Level 3
,,Parish Hall - Level 4,dynamic,Site QA,Parish Hall,Level 4
,,RAC (Residential Aged Care) - Level 1,dynamic,Site QA,RAC (Residential Aged Care),Level 1
,,RAC (Residential Aged Care) - Level 2,dynamic,Site QA,RAC (Residential Aged Care),Level 2
,,RAC (Residential Aged Care) - Level 3,dynamic,Site QA,RAC (Residential Aged Care),Level 3
,,RAC (Residential Aged Care) - Level 4,dynamic,Site QA,RAC (Residential Aged Care),Level 4
,,RL (Retired Living) - Level 5,dynamic,Site QA,RL (Retired Living),Level 5
,,RL (Retired Living) - Level 6,dynamic,Site QA,RL (Retired Living),Level 6
,,RL (Retired Living) - Level 7,dynamic,Site QA,RL (Retired Living),Level 7
,,RL (Retired Living) - Level 8,dynamic,Site QA,RL (Retired Living),Level 8
,,RL (Retired Living) - Level 9,dynamic,Site QA,RL (Retired Living),Level 9
,,RL (Retired Living) - Level 10,dynamic,Site QA,RL (Retired Living),Level 10
,,RL (Retired Living) - Level 11,dynamic,Site QA,RL (Retired Living),Level 11
,,RL (Retired Living) - Level 12,dynamic,Site QA,RL (Retired Living),Level 12
,,RL (Retired Living) - Level 13,dynamic,Site QA,RL (Retired Living),Level 13
,,RL (Retired Living) - Level 14,dynamic,Site QA,RL (Retired Living),Level 14
,,RL (Retired Living) - Level 15,dynamic,Site QA,RL (Retired Living),Level 15
,,RL (Retired Living) - Level 16,dynamic,Site QA,RL (Retired Living),Level 16
,,RL (Retired Living) - Level 17,dynamic,Site QA,RL (Retired Living),Level 17
,,RL (Retired Living) - Level 18,dynamic,Site QA,RL (Retired Living),Level 18
,,RL (Retired Living) - Level 19,dynamic,Site QA,RL (Retired Living),Level 19
,,RL (Retired Living) - Level 20,dynamic,Site QA,RL (Retired Living),Level 20
,,RL (Retired Living) - Level 21,dynamic,Site QA,RL (Retired Living),Level 21
,,RL (Retired Living) - Level 22,dynamic,Site QA,RL (Retired Living),Level 22
,,RL (Retired Living) - Level 23,dynamic,Site QA,RL (Retired Living),Level 23
,,RL (Retired Living) - Level 24,dynamic,Site QA,RL (Retired Living),Level 24
,,RL (Retired Living) - Level 25,dynamic,Site QA,RL (Retired Living),Level 25
,,RL (Retired Living) - Level 26,dynamic,Site QA,RL (Retired Living),Level 26
,,RL (Retired Living) - Level 27,dynamic,Site QA,RL (Retired Living),Level 27
,,RL (Retired Living) - Level 28,dynamic,Site QA,RL (Retired Living),Level 28
,,RL (Retired Living) - Level 29,dynamic,Site QA,RL (Retired Living),Level 29
,Columns,,,,,
,,Park concrete pump in location & setup within designated area,,"Park concrete pump in location and setup within designated area. Line set-up not to disturb formwork, reinforcement and starter bars. Communication between operator and formwork in place",Pump Set Up Items,
,,"All pipelines/rubbers, safety chains, locking pins securely fitted",,"Has all pipelines/rubbers, safety chains, and locking pins been adequately and securely fitted",Pump Set Up Items,
,,Placing boom movement coordinated with crane crew,,Has the placing boom movement been coordinated with the crane crew (if applicable),Pump Set Up Items,
,,OHS&R and Environmental Measures,,"OHS&R and Environmental Measures: All safety, PPE requirements in place. MSDS sheets supplied. All documentation is current as per Project OHS&R Plan and EMP Plan. All Site personnel have been inducted. Environment Controls in Place.",Pre Pour,
,,Sand & plastic membrane in place where required,,Is there sand and plastic membrane in place where required in accordance with Structural specification and AS 3600?,Pre Pour,
,,Formwork cleaned sufficiently to take concrete placement,,Has the formwork been cleaned sufficiently to take concrete placement? Ensure the formwork and other trades have cleaned areas in accordance with Structural Specification and AS 3600.,Pre Pour,
,,All movement joints are placed in accordance,,Are all movement joints are placed in accordance Structural Specification,Pre Pour,
,,Has the laser been calibrated to the required level,,Has the laser been calibrated to the required level,Pre Pour,
,,Percentage of the element is ready for GB,,What percentage of the element is ready for GB prior of the commencement of the pour,Pre Pour,
,,All trades completed works in the designated pour area,,Has all trades completed works in the designated pour area? If not who?,Pre Pour,
,,All barriers in place to prevent falling from heights,,"Are all barriers in place to prevent falling from heights? Has all inserts, blockouts, penetrations, rebates, hobs been securely fixed? If NO, who has been notified?",Pre Pour,
,,Adequate access ways to work areas & in deep sections,,Is there adequate access ways to work areas and in deep sections of casting elements?,Pre Pour,
,,Latest construction drawings checked prior to pour,,Latest construction drawings checked prior to pour? Please attach if applicable,Pre Pour,
,,Sufficient cover between the reinforcement & formwork,,"Is there sufficient cover between the reinforcement and formwork for concrete to be placed? If NO, who has been notified?",Pre Pour,
,,Enough access in tight areas to sufficiently finish the concrete,,"Is there enough access in tight areas i.e. near hobs, penetrations for concrete hand-equipment (trowels, etc.) to sufficiently finish the concrete?",Pre Pour,
,,Concrete testing booked for this pour element,,Has concrete testing been booked for this pour element?,Pre Pour,
,,Concrete placed at the correct RL/datum point checked & verified,,"Has the concrete been placed at the correct RL, datum point checked and verified and in layers as per AS 3600?",Post Pour,
