resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
Job Details,,,checklist,,,Job Details,,,,,,,,,,
,,,step,,,Site QA,,,,,,,,,,
,,,step,,,,Rough-In,,,,,,,,,
,,,step,,,,,Basement 2,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.06,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.05,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.04,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.03,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.02,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B2.01,,,,,,,
,,,step,,,,,Basement 1,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.01,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.02,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.03,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.04,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.05,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-B1.06,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPEF-B1.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-B1.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-B1.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,TEF-B1.02,,,,,,,
,,,step,,,,,Base Building,,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-G.01,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-G.02,,,,,,,
Jet Fans [L],Sign Off,,folder-with-checklists,,,,,,JET-G.03,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-CWP-01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-COMM-01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPEF-G.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.03,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-G.04,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,PSF-01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-G.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,CPSF-L1.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L1.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-L1.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,SF-L1.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L1.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L2.03,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L2.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L2.04,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L2.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L2.05,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L3.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L3.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L4.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L4.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L5.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L5.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L6.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L6.02,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L7.01,,,,,,,
Duct Installation Check List [C],Sign Off,,folder-with-checklists,,,,,,LSF-L7.02,,,,,,,
,,,step,,,,,BUILDING-A1,,,,,,,,
,,,step,,,,,,Level-1,,,,,,,
,,,step,,,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,folder-with-checklists,,,,,,,,A119,,,,,
,,,step,,,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,folder-with-checklists,,,,,,,,A119,,,,,
Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,,,Common Area,,,,,,
,,,step,,,,,,Level-2,,,,,,,
,,,step,,,,,,,Apartment Wall Closure,,,,,,
