Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
Lobby Area,,,,,,,,,
,Scope,,,Lobby Area [J],,,,,
,Rows,,,,,,,,
,,BUILDING-A1,grouping,BUILDING-A1,,,,,
,,BUILDING-A1 - Level-1 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level-1,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level-2 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level-2,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level-3 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level-3,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level 4 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level 4,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level 5 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level 5,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level 6 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level 6,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level 7 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level 7,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level 8 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level 8,Common Area,Lobby Area [J]
,,BUILDING-A1 - Level 9 - Common Area,,Site QA,Rough-In,BUILDING-A1,Level 9,Common Area,Lobby Area [J]
,,BUILDING-A2,grouping,BUILDING-A2,,,,,
,,BUILDING-A2 - Level-1 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-1,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-2 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-2,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-3 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-3,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-4 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-4,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-5 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-5,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-6 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-6,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-7 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-7,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-8 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-8,Common Area,Lobby Area [J]
,,BUILDING-A2 - Level-9 - Common Area,,Site QA,Rough-In,BUILDING-A2,Level-9,Common Area,Lobby Area [J]
,,BUILDING-B1,grouping,BUILDING-B1,,,,,
,,BUILDING-B1 - Ground Level - Common Area,,Site QA,Rough-In,BUILDING-B1,Ground Level,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-1 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-1,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-2 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-2,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-3 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-3,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-4 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-4,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-5 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-5,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-6 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-6,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-7 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-7,Common Area,Lobby Area [J]
,,BUILDING-B1 - Level-8 - Common Area,,Site QA,Rough-In,BUILDING-B1,Level-8,Common Area,Lobby Area [J]
,,BUILDING-B2,grouping,BUILDING-B2,,,,,
,,BUILDING-B2 - Ground Level - Common Area,,Site QA,Rough-In,BUILDING-B2,Ground Level,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-1 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-1,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-2 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-2,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-3 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-3,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-4 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-4,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-5 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-5,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-6 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-6,Common Area,Lobby Area [J]
,,BUILDING-B2 - Level-7 - Common Area,,Site QA,Rough-In,BUILDING-B2,Level-7,Common Area,Lobby Area [J]
,,BUILDING-C,grouping,BUILDING-C,,,,,
,,BUILDING-C - Ground Level - Common Area,,Site QA,Rough-In,BUILDING-C,Ground Level,Common Area,Lobby Area [J]
,,BUILDING-C - Level-1 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-1,Common Area,Lobby Area [J]
,,BUILDING-C - Level-2 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-2,Common Area,Lobby Area [J]
,,BUILDING-C - Level-3 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-3,Common Area,Lobby Area [J]
,,BUILDING-C - Level-4 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-4,Common Area,Lobby Area [J]
,,BUILDING-C - Level-5 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-5,Common Area,Lobby Area [J]
,,BUILDING-C - Level-6 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-6,Common Area,Lobby Area [J]
,,BUILDING-C - Level-7 - Common Area,,Site QA,Rough-In,BUILDING-C,Level-7,Common Area,Lobby Area [J]
,,BUILDING-D,grouping,BUILDING-D,,,,,
,,BUILDING-D - Level-1 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-1,Common Area,Lobby Area [J]
,,BUILDING-D - Level-2 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-2,Common Area,Lobby Area [J]
,,BUILDING-D - Level-3 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-3,Common Area,Lobby Area [J]
,,BUILDING-D - Level-4 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-4,Common Area,Lobby Area [J]
,,BUILDING-D - Level-5 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-5,Common Area,Lobby Area [J]
,,BUILDING-D - Level-6 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-6,Common Area,Lobby Area [J]
,,BUILDING-D - Level-7 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-7,Common Area,Lobby Area [J]
,,BUILDING-D - Level-8 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-8,Common Area,Lobby Area [J]
,,BUILDING-D - Level-9 - Common Area,,Site QA,Rough-In,BUILDING-D,Level-9,Common Area,Lobby Area [J]
,Columns,,,,,,,,
,,Inspection Date:,Inspection Date:,Lobby Area,,,,,
,,Other services installed not impeding access to fan coil,,Other services installed are not impeding access to fan coil,,,,,
,,All Ductwork passing block walls are flushed & sealed,,All Ductwork passing block walls are flushed and sealed,,,,,
,,Transfer duct installed at Accessible toilet wall & penetration flushed/sealed,,Transfer duct installed at Accessible toilet wall and penetration flushed and sealed,,,,,
,,Where passing the block wall flexible ducts equipped with Sleeve & penetration sealed,,Where passing the block wall flexible ducts has been equipped with Sleeve and penetration sealed,,,,,
,,Refrigerant pipes passing through fire rarted walls sealed at wall penetration,,Refrigerant pipes passing through fire rarted walls are sealed at wall penetratiobn by using approved material,,,,,
,,,,,,,,,
Apartment Fit-Off,,,,,,,,,
,Scope,,,Apartment Fit-Off Checklist [E],,,,,
,Rows,,,,,,,,
,,BUILDING-A1,grouping,BUILDING-A1,,,,,
,,BUILDING-A1 - Level-1 - A119,,Site QA,Fit-Off,BUILDING-A1,Level-1,A119,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-2 - A219,,Site QA,Fit-Off,BUILDING-A1,Level-2,A219,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-2 - A220,,Site QA,Fit-Off,BUILDING-A1,Level-2,A220,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-2 - A221,,Site QA,Fit-Off,BUILDING-A1,Level-2,A221,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-2 - A222,,Site QA,Fit-Off,BUILDING-A1,Level-2,A222,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-2 - A223,,Site QA,Fit-Off,BUILDING-A1,Level-2,A223,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-2 - A224,,Site QA,Fit-Off,BUILDING-A1,Level-2,A224,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-3 - A318,,Site QA,Fit-Off,BUILDING-A1,Level-3,A318,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-3 - A319,,Site QA,Fit-Off,BUILDING-A1,Level-3,A319,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-3 - A320,,Site QA,Fit-Off,BUILDING-A1,Level-3,A320,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-3 - A321,,Site QA,Fit-Off,BUILDING-A1,Level-3,A321,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-3 - A322,,Site QA,Fit-Off,BUILDING-A1,Level-3,A322,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level-3 - A323,,Site QA,Fit-Off,BUILDING-A1,Level-3,A323,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A418,,Site QA,Fit-Off,BUILDING-A1,Level 4,A418,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A419,,Site QA,Fit-Off,BUILDING-A1,Level 4,A419,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A420,,Site QA,Fit-Off,BUILDING-A1,Level 4,A420,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A421,,Site QA,Fit-Off,BUILDING-A1,Level 4,A421,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A422,,Site QA,Fit-Off,BUILDING-A1,Level 4,A422,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A423,,Site QA,Fit-Off,BUILDING-A1,Level 4,A423,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 4 - A424,,Site QA,Fit-Off,BUILDING-A1,Level 4,A424,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A518,,Site QA,Fit-Off,BUILDING-A1,Level 5,A518,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A519,,Site QA,Fit-Off,BUILDING-A1,Level 5,A519,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A520,,Site QA,Fit-Off,BUILDING-A1,Level 5,A520,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A521,,Site QA,Fit-Off,BUILDING-A1,Level 5,A521,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A522,,Site QA,Fit-Off,BUILDING-A1,Level 5,A522,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A523,,Site QA,Fit-Off,BUILDING-A1,Level 5,A523,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 5 - A524,,Site QA,Fit-Off,BUILDING-A1,Level 5,A524,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A616,,Site QA,Fit-Off,BUILDING-A1,Level 6,A616,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A617,,Site QA,Fit-Off,BUILDING-A1,Level 6,A617,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A618,,Site QA,Fit-Off,BUILDING-A1,Level 6,A618,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A619,,Site QA,Fit-Off,BUILDING-A1,Level 6,A619,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A620,,Site QA,Fit-Off,BUILDING-A1,Level 6,A620,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A621,,Site QA,Fit-Off,BUILDING-A1,Level 6,A621,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 6 - A622,,Site QA,Fit-Off,BUILDING-A1,Level 6,A622,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 7 - A716,,Site QA,Fit-Off,BUILDING-A1,Level 7,A716,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 7 - A717,,Site QA,Fit-Off,BUILDING-A1,Level 7,A717,Apartment Fit-Off Checklist [E]
,,BUILDING-A1 - Level 7 - A718,,Site QA,Fit-Off,BUILDING-A1,Level 7,A718,Apartment Fit-Off Checklist [E]
