"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6421354f-a2b6-4f1b-a663-7eb65afe76e7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"094a6e01-a7a0-411c-82cf-f8702c544abb","","checklist-flat","pass","Installation of Mapeplan TU PVC Sheet Membrane","checklist-flat","FALSE","FALSE","Site QA","Pour 1 - Installation of Mapeplan TU PVC Sheet Membrane - Raft Slab"
"88d09e24-ba93-450c-b319-0ba7d7cf481f","","checklist-flat","pass","Installation of Mapeplan TU PVC Sheet Membrane","checklist-flat","FALSE","FALSE","Site QA","Pour 2 - Installation of Mapeplan TU PVC Sheet Membrane - Raft Slab"
"719feeed-d346-4db8-8dd7-8776f48f3b7f","","checklist-flat","pass","Installation of Mapeplan TU PVC Sheet Membrane","checklist-flat","FALSE","FALSE","Site QA","Pour 3 & 4 Installation of Mapeplan TU - Raft Slab"
"a34a064b-728c-4394-963c-8f1b8a3df04e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Rectification Works to Raft Slab - Steel Penetration "
"126f0336-f5e8-42de-89fc-9458daae8038","","checklist-flat","pass","Installation of Mapeplan TU PVC Sheet Membrane","checklist-flat","FALSE","FALSE","Site QA","Rectification Works to Raft Slab - Steel Penetration ","Installation of Mapeplan TU PVC Sheet Membrane"
"d0433ceb-1d54-43ef-8f59-faaa3f72baaf","","checklist-flat","pass","Installation of Mapeplan TU PVC Sheet Membrane","checklist-flat","FALSE","FALSE","Site QA","Basement 3 Walls - Shotcrete"
"95e1fca3-9b53-42c3-a887-86c8cf3b01a4","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rectification works to basement shotcrete walls"
"1258768b-76ee-4ac5-9f4c-7595d5065dc8","","checklist-flat","not-started","Rectification Works Checklist","checklist-flat","FALSE","FALSE","Site QA","Rectification works to basement shotcrete walls","Rectification Works Checklist"
"1889d97b-1741-4803-9b0e-593fc40ad666","","folder-normal","pass","","step","TRUE","FALSE","Training Folder"
"0a67a893-2320-480f-af41-3a4155078e22","","checklist-flat","pass","Installation of Mapeplan TU PVC Sheet Membrane","checklist-flat","FALSE","FALSE","Training Folder","Installation of Mapeplan TU PVC Sheet Membrane [28/07/22]"
