"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ddb48e3-7720-45e8-970e-3eb9e1efba25","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"596ca763-e77f-4330-8e83-dfb577dd65a7","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"7355ce5e-545f-4e51-b847-68528ce0eb30","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"44557989-c69a-447d-af7b-21017a488f9b","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"dbff3e76-c523-46b8-870c-99d5d5b81619","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"c88361e8-17b3-496e-b697-e633abd30e57","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"8db0a20a-04ed-4899-83a8-28d84e339029","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"dbbac37e-8a15-4106-8d92-151d091b0c8e","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works"
"4e1448d5-c02b-49e3-a794-49620479463d","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01"
"8312b9f1-3bd1-4ca5-8535-311db14673a2","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01"
"48b17a78-6347-41b0-8120-3d8419ea6d63","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01","Confirm structure is in accordance to the details provided"
"01b771c8-76ec-4bac-a5cb-74bfc12857dc","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01","EMAIL PM"
"593885fe-7091-4a9a-929d-11149cb1ca1c","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01","Plinths/ bases/post installed in accordance with details provided"
"75422569-9662-4aa6-91d7-eecfa10b99fb","","checkpoint-status","not-applicable","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01","Photos taken"
"28cf784c-4614-4361-bcf0-e2cfd8d30f6e","","checklist-flat","work-in-progress","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01"
"a2a6574c-00e8-40f2-ab7a-ef5c7906c97b","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"c4f094e1-cb40-4ebf-a96a-8f1739a9e5fa","","holdpoint","work-in-progress","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"e83f927d-4e6f-42da-9945-2db6053c3036","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test and swages"
"90ea9891-b3c6-4690-a626-526709c006c4","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"01669ff0-d454-426d-bfd1-f3046e07b05d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Video taken of system"
