"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a8632a2b-bad4-4ac4-824e-4f867bdbc0fd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1"
"a58046c1-1195-40b1-9d90-fa33c0a008ba","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Ryman"
"2eb6e5aa-8642-4601-badd-aa3dc3fe1c18","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants"
"c2412fb5-7ae2-4684-bf9b-e984ab4c7ef6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes"
"e4e08e4a-a685-4889-84da-5895eb870933","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports"
"57bee4a3-a678-4edf-892a-5699e5a55f51","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022"
"908c40df-2541-4a9b-ba51-04be5f4c7056","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","June"
"83ced1b9-5de4-41b2-b0fc-7078ccc767cb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","July"
"06e65e66-7a1b-4c02-a2f4-236b2d0163c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","August"
"42057eeb-e776-4476-86de-2b6d4884d86e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","September"
"2b48a2fd-dbc0-47e7-8262-71fbcd1e38a2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","October"
"a95f51be-ae59-4b75-90b9-fb0b63a28d14","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","November"
"1b43da3e-f738-4d90-8e44-2b6db6fb0fa7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2022","December"
"2dc1eb38-d354-4367-93e4-fe6cc57e2e79","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2023"
"01ab0895-7c45-44ce-9de2-68e6edb06055","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2023","January"
"f00161ce-50fe-4f8d-8677-f087cf39bb34","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Tower Crane TC1","Consultants","Mitchell Vranjes","Site Visit Reports","2023","February"
