"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f053c89d-8907-4c34-958a-c06df2b8334e","","checklist-flat","work-in-progress","c6e66142321f04d98d9e5ad1b0964b2f6448ff942b808391f4c42596010219ea","checklist-flat","FALSE","FALSE","Eve - Project Details"
"37d30fcf-8035-5c28-a029-d9c1ca2eadea","","checkpoint-status","pass","","","TRUE","TRUE","Eve - Project Details","Project details entered below"
"07ff5dfe-7144-563b-9ff7-452e0e560277","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Grouts submitted for approval (UPLOAD TDS and SDS for each grout submitted)"
"848975a0-b829-5dd6-a45a-bb3f80f97dc0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted grouts been approved? (UPLOAD copy of approval)"
"e50c413c-6da4-5329-a6d6-62a57237dbe8","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Caulking products submitted for approval (UPLOAD TDS and SDS for each caulking product submitted)"
"9cc806fa-9091-5872-8f13-c42ce87514f0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted caulking products been approved? (UPLOAD copy of approval)"
"8d73931a-37e7-50b6-93f1-e20b9615261f","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Patching products submitted for approval (UPLOAD TDS and SDS for each patching product submitted)"
"9a6d6c75-f47e-5e5c-a847-0264aef014ef","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have patching products been approved? (UPLOAD copy of approval)"
"f5d7d255-8963-4d55-9757-3f2ccd65355d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"c1624075-e0c9-4c04-958a-2ea044578f89","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1"
"075baef4-ed01-4a3d-b99b-a84ad404aa5f","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Column"
"12280e7c-0fe5-4ddc-9af9-5536cc334cae","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03"
"ba51723e-6a0d-55ed-9571-d6dc7a1452be","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents"
"bf6e4a02-0042-5ba3-803b-ced832d99246","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents","IFC Element Drawing"
"a500acf4-09b1-519b-9822-ed22567072e9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"0cffb87a-d303-5aeb-80d2-76765f14d0e9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents","Secondary Lifting Certification"
"bf6adda6-310e-5466-a416-b1df19b64352","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks"
"b68d5fa7-e8dd-5918-8836-44fe84bb9a5c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","Mould check"
"19b6ae25-dfdf-5827-92e0-852c389ee483","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","Reinforcing check"
"84d41acb-4a26-5168-a9ae-fda57b2eed75","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","Cast in items check"
"0cd7c047-f1fa-52b7-927e-8bd5aac1a79a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","Check Minimum Cover"
"a41f449a-2a7c-5bb0-9e8e-f9d4078e9476","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","ID Tag installed in non-visible face"
"e2ca38a0-ac0e-5d1a-9da9-4b96d792b121","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"177dc13f-d597-56ea-a0fe-9d2239145af9","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"e7e0964b-fea5-5fcb-93d1-341e205f3db6","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Concrete Pour Checks"
