"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"be9c86a8-3cf4-4931-babc-1e38e82cc4ed","","folder-normal","","","step","FALSE","FALSE","Site QA"
"2d45ec2d-2326-4294-814d-4fd8af38ebdf","","folder-normal","","","step","TRUE","FALSE","Site QA","B1/LG/LGM/CarPark"
"81d63675-93ae-4509-97e1-33b226be90f8","","folder-normal","","","step","TRUE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation"
"fa9b8eb6-dbbc-4324-96b6-bf3971f8c616","","folder-normal","","","step","TRUE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1"
"60983bad-fba4-46da-a8e1-deaff899e04a","","folder-normal","","","step","TRUE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs"
"8b061efb-3c0c-4f0f-99b4-4fb40db7321d","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B150"
"d3bd874c-a0e6-43f7-a590-efaac1b9b998","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B151"
"a533bf94-6cfe-4520-a3cf-6011cc857270","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B152"
"0cabe181-dc2b-48cc-ad55-6fb076e83f1c","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B153"
"6a99802e-0012-4ab7-b3a5-ad10ce5fdcef","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B155"
"67564830-1b03-4682-ac3c-64b10b2876a2","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B156"
"1b70d881-87a8-48c7-b010-b353d97bf794","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B158"
"a0a7bd23-2365-4c4c-9428-68be619d2701","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B159"
"a6f7239c-9503-4bb3-9552-061e861a3888","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B160"
"6b1c4a1e-a091-49d8-b854-c28901d717e5","","checklist-sectioned","","NFH-ITP-01 - Mechanical Installation Rough In & Fit Off","checklist","FALSE","FALSE","Site QA","B1/LG/LGM/CarPark","Installation","Basement 1","Mechanical Installation Rough In & Fit Off ITPs","Tile - 2B161"
