resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,step,,,Site QA,,,,,,,,
,step,,,,SOG B-3,,,,,,,
Walls Checklist,checklist,,,,,Lift Over Run,,,,,,
SOG Checklist,checklist,,,,,SOG Edge Boards,,,,,,
,step,,,,Basement 3,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
,step,,,,Basement 2,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
,step,,,,Basement 1,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
,step,,,,Ground Floor,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
,step,,,,Level 1,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
,step,,,,Level 2,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
Hoist Checklist,checklist,,,,,Hoist,,,,,,
Screens Checklist,checklist,,,,,Screens,,,,,,
,step,,,,Level 3,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
Hoist Checklist,checklist,,,,,Hoist,,,,,,
Screens Checklist,checklist,,,,,Screens,,,,,,
,step,,,,Level 4,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
Hoist Checklist,checklist,,,,,Hoist,,,,,,
Screens Checklist,checklist,,,,,Screens,,,,,,
,step,,,,Level 5,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
Hoist Checklist,checklist,,,,,Hoist,,,,,,
Screens Checklist,checklist,,,,,Screens,,,,,,
,step,,,,Level 6 - 24,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Suspended Slab Checklist,checklist,,,,,Slab,,,,,,
Stairs Checklist,checklist,,,,,Stairs,,,,,,
Hoist Checklist,checklist,,,,,Hoist,,,,,,
Screens Checklist,checklist,,,,,Screens,,,,,,
,step,,,,Level 25 Plant Deck,,,,,,,
Columns Checklist,checklist,,,,,Columns,,,,,,
Hoist Checklist,checklist,,,,,Hoist,,,,,,
Walls Checklist,checklist,,,,,Walls,,,,,,
Core Lids Checklist,checklist,,,,,Core lids,,,,,,
Screens Checklist,checklist,,,,,Screens,,,,,,
,step,,,Site Diary,,,,,,,,
,step,,,Toolbox,,,,,,,,
,step,,,Pre Start,,,,,,,,
,step,,,Incident Report,,,,,,,,
,step,,,Variations / SI,,,,,,,,
,step,,,,Jul-22,,,,,,,
,step,,,,Aug-22,,,,,,,
,step,,,,Sep-22,,,,,,,
,step,,,,Oct-22,,,,,,,
,step,,,,Nov-22,,,,,,,
,step,,,,Dec-22,,,,,,,
,step,,,,Jan-23,,,,,,,
,step,,,,Feb-23,,,,,,,
,step,,,,Mar-23,,,,,,,
,step,,,,Apr-23,,,,,,,
,step,,,,May-23,,,,,,,
,step,,,,Jun-23,,,,,,,
,step,,,,Jul-23,,,,,,,
,step,,,,Aug-23,,,,,,,
,step,,,,Sep-23,,,,,,,
,step,,,,Oct-23,,,,,,,
,step,,,,Nov-23,,,,,,,
,step,,,,Dec-23,,,,,,,
,step,,,,Jan-24,,,,,,,
,step,,,,Feb-24,,,,,,,
,step,,,,Mar-24,,,,,,,
,step,,,,Apr-24,,,,,,,
,step,,,,May-24,,,,,,,
,step,,,,Jun-24,,,,,,,
