Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,
Overall Progress,,,,,,,,,,,
,Scope,,,Site QA,,,,,,,
,Rows,,,,,,,,,,
,,Cabling Works,grouping,Cabling Works,,,,,,,
,,Incoming Mains - 630mm2 Flex,,Site QA,Cabling Works,Incoming Mains,630mm2 Flex,,,,
,,Submains - 400mm Flex,,Site QA,Cabling Works,Submains,400mm Flex,,,,
,,Submains - 185x1C XLPE/PVC,,Site QA,Cabling Works,Submains,185x1C XLPE/PVC,,,,
,,Submains - 150x4C+E XLP/PVC,,Site QA,Cabling Works,Submains,150x4C+E XLP/PVC,,,,
,,Submains - 70x4C+E XLP/PVC,,Site QA,Cabling Works,Submains,70x4C+E XLP/PVC,,,,
,,Submains - 50x4C+E XLP/PVC,,Site QA,Cabling Works,Submains,50x4C+E XLP/PVC,,,,
,,Submains - 35X4C+E XLP/PVC,,Site QA,Cabling Works,Submains,35X4C+E XLP/PVC,,,,
,,Submains - 25X4C+E XLP/PVC,,Site QA,Cabling Works,Submains,25X4C+E XLP/PVC,,,,
,,Submains - 25X4C+E FLEX,,Site QA,Cabling Works,Submains,25X4C+E FLEX,,,,
,,Submains - 16X4C+E XLP/PVC,,Site QA,Cabling Works,Submains,16X4C+E XLP/PVC,,,,
,,Submains - 25X4C+E FLEX XHF FS110 RD,,Site QA,Cabling Works,Submains,25X4C+E FLEX XHF FS110 RD,,,,
,,Submains - 16X4C+E XLP/PVC BK,,Site QA,Cabling Works,Submains,16X4C+E XLP/PVC BK,,,,
,,Switchboard,grouping,Switchboard,,,,,,,
,,MSB,,Site QA,Switchboard,MSB,,,,,
,,Distribution Board - SSB-OH-L3-1E,,Site QA,Switchboard,Distribution Board,SSB-OH-L3-1E,,,,
,,Distribution Board - SSB-OH-L4-1U,,Site QA,Switchboard,Distribution Board,SSB-OH-L4-1U,,,,
,,Distribution Board - SSB-OH-L4-2U,,Site QA,Switchboard,Distribution Board,SSB-OH-L4-2U,,,,
,,Distribution Board - DB-LL-L1-1E,,Site QA,Switchboard,Distribution Board,DB-LL-L1-1E,,,,
,,Distribution Board - DB-LL-L1-1N,,Site QA,Switchboard,Distribution Board,DB-LL-L1-1N,,,,
,,Distribution Board - DB-LL-L4-1E,,Site QA,Switchboard,Distribution Board,DB-LL-L4-1E,,,,
,,Distribution Board - DB-LL-L4-1N,,Site QA,Switchboard,Distribution Board,DB-LL-L4-1N,,,,
,,Distribution Board - DB-OH-L2-1E,,Site QA,Switchboard,Distribution Board,DB-OH-L2-1E,,,,
,,Distribution Board - DB-OH-L2-1N,,Site QA,Switchboard,Distribution Board,DB-OH-L2-1N,,,,
,,Distribution Board - DB-OH-L2-2E,,Site QA,Switchboard,Distribution Board,DB-OH-L2-2E,,,,
,,Distribution Board - DB-OH-L2-2N,,Site QA,Switchboard,Distribution Board,DB-OH-L2-2N,,,,
,,Distribution Board - DB-OH-L3-1E,,Site QA,Switchboard,Distribution Board,DB-OH-L3-1E,,,,
,,Distribution Board - DB-OH-L3-1N,,Site QA,Switchboard,Distribution Board,DB-OH-L3-1N,,,,
,,Distribution Board - DB-OH-L3-1U,,Site QA,Switchboard,Distribution Board,DB-OH-L3-1U,,,,
,,Distribution Board - DB-TA1-L1-1N,,Site QA,Switchboard,Distribution Board,DB-TA1-L1-1N,,,,
,,Distribution Board - DB-TA2-L1-1N,,Site QA,Switchboard,Distribution Board,DB-TA2-L1-1N,,,,
,,Distribution Board - DB-TB-L1-1N,,Site QA,Switchboard,Distribution Board,DB-TB-L1-1N,,,,
,,Distribution Board - DB-TC-L1-1N,,Site QA,Switchboard,Distribution Board,DB-TC-L1-1N,,,,
,,Distribution Board - ICTDB-LL-L1-1E,,Site QA,Switchboard,Distribution Board,ICTDB-LL-L1-1E,,,,
,,Distribution Board - ICTDB-OH-L2-1U,,Site QA,Switchboard,Distribution Board,ICTDB-OH-L2-1U,,,,
,,Distribution Board - ICTDB-OH-L3-1U,,Site QA,Switchboard,Distribution Board,ICTDB-OH-L3-1U,,,,
,,Distribution Board - PR1-L3-1E,,Site QA,Switchboard,Distribution Board,PR1-L3-1E,,,,
,,Distribution Board - PR1-L3-1U,,Site QA,Switchboard,Distribution Board,PR1-L3-1U,,,,
,,Distribution Board - PR2-L3-1E,,Site QA,Switchboard,Distribution Board,PR2-L3-1E,,,,
,,Distribution Board - PR2-L3-1U,,Site QA,Switchboard,Distribution Board,PR2-L3-1U,,,,
,,Distribution Board - PR3-L3-1E,,Site QA,Switchboard,Distribution Board,PR3-L3-1E,,,,
,,Distribution Board - PR3-L3-1U,,Site QA,Switchboard,Distribution Board,PR3-L3-1U,,,,
,,Distribution Board - SSB-OH-L4-2U,,Site QA,Switchboard,Distribution Board,SSB-OH-L4-2U,,,,
,,Cable Containment,grouping,Cable Containment,,,,,,,
,,Level 1 - Cable Tray,,Site QA,Cable Containment,Level 1,Cable Tray,,,,
,,Level 1 - Cable Ladder,,Site QA,Cable Containment,Level 1,Cable Ladder,,,,
,,Level 1 - Cable Basket,,Site QA,Cable Containment,Level 1,Cable Basket,,,,
,,Level 1 - Catenaries,,Site QA,Cable Containment,Level 1,Catenaries,,,,
,,Level 1 - Floor Penetrations,,Site QA,Cable Containment,Level 1,Floor Penetrations,,,,
,,Level 2 - Cable Tray,,Site QA,Cable Containment,Level 2,Cable Tray,,,,
,,Level 2 - Cable Ladder,,Site QA,Cable Containment,Level 2,Cable Ladder,,,,
,,Level 2 - Cable Basket,,Site QA,Cable Containment,Level 2,Cable Basket,,,,
,,Level 2 - Catenaries,,Site QA,Cable Containment,Level 2,Catenaries,,,,
,,Level 2 - Floor Penetrations,,Site QA,Cable Containment,Level 2,Floor Penetrations,,,,
,,Level 3 - Cable Tray,,Site QA,Cable Containment,Level 3,Cable Tray,,,,
,,Level 3 - Cable Ladder,,Site QA,Cable Containment,Level 3,Cable Ladder,,,,
,,Level 3 - Cable Basket,,Site QA,Cable Containment,Level 3,Cable Basket,,,,
,,Level 3 - Catenaries,,Site QA,Cable Containment,Level 3,Catenaries,,,,
,,Level 3 - Floor Penetrations,,Site QA,Cable Containment,Level 3,Floor Penetrations,,,,
,,Level 4 - Cable Tray,,Site QA,Cable Containment,Level 4,Cable Tray,,,,
,,Level 4 - Cable Ladder,,Site QA,Cable Containment,Level 4,Cable Ladder,,,,
,,Level 4 - Cable Basket,,Site QA,Cable Containment,Level 4,Cable Basket,,,,
,,Level 4 - Catenaries,,Site QA,Cable Containment,Level 4,Catenaries,,,,
,,Level 4 - Floor Penetrations,,Site QA,Cable Containment,Level 4,Floor Penetrations,,,,
,,External Works,grouping,External Works,,,,,,,
,,Inground Duct and Pits,,Site QA,External Works,Inground Duct and Pits,,,,,
,,First Fix,grouping,First Fix,,,,,,,
,,Level 01 - Tenancy A (Gridline N1 N4) Cabling Power,,Site QA,First Fix,Level 01,Tenancy A (Gridline N1 - N4),Cabling,Power,,
,,Level 01 - Tenancy A (Gridline N1 N4) Cabling Lighting,,Site QA,First Fix,Level 01,Tenancy A (Gridline N1 - N4),Cabling,Lighting,,
,,Level 01 - Tenancy A (Gridline N1 N4) Flush Boxes,,Site QA,First Fix,Level 01,Tenancy A (Gridline N1 - N4),Flush Boxes,,,
