type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,,
checklist,ITP-088-STR-SSB-CFA Piling,itp,,,,,ITP-088-STR-SSB-CFA Piling Rev 1,d3e61578-6c22-4a6f-87fd-2ba278163233,,,,,,,,,,,,,,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-088-STR-SSB-CFA Piling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CFA Piling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 088-STR-SSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 6/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 607 March 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 610 February 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 611 November 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: AS2159-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.5 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: AS3810.1-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,1.6 Non Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Reference: AS5100.3-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 Concrete Mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: 610.07 Table 610.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete Mix is Registered with VicRoads.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Concrete mix meets strength, grade, and maximum aggregate size as detailed on drawings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each mix design, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 ACRS Certification (for Reinforcement),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: 611.05 (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Current ACRS certification for materials and for bar processing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
