"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ec210b9a-cafd-4682-af6d-cf70e0901c4b","","folder-normal","","","step","TRUE","FALSE","Project QA"
"aa998636-cc95-4b9a-b92d-4971ff31bec5","","checklist-sectioned","","Formwork Column Checklist","checklist","FALSE","FALSE","Project QA","Formwork Column Checklist"
"af4b0f82-65fa-4cec-9af7-cac752f0c86c","","checklist-sectioned","","Formwork Slab Checklist","checklist","FALSE","FALSE","Project QA","Formwork Slab Checklist"
"925a0835-9523-4eab-973c-4b55ab960950","","checklist-sectioned","","Add Concrete Pour (Core Wall) Checklist","checklist","FALSE","FALSE","Project QA","Concrete Pour for  Walls  Checklist"
"de282b6b-bfeb-41e1-9570-a6bde58c9cf1","","checklist-flat","","Reinforcing Checklist","checklist-flat","FALSE","FALSE","Project QA","Reinforcing Checklist"
"9257cb49-359b-4abb-a321-55299ff27511","","folder-normal","","","step","TRUE","FALSE","Health and Safety"
"0a050cdd-dab0-40f1-8e7e-4d2879a2535a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"93a4a4ad-5611-4bfa-8bf3-fa0b84538bb3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jun-23"
"4bbf1e21-9d74-4287-aafd-aea2e6703a93","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jul-23"
"e26ae2a0-5d7c-48ec-85d5-e3c8656beba1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Aug-23"
"353aedcf-66d6-4aae-8d07-979791bdacba","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Sep-23"
"bc0dd496-d1cd-4b5b-8325-e5cb5ffdae13","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Oct-23"
"29c989af-b4d0-4a6d-9a1e-ecfdbeb7f1da","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Nov-23"
"ad93fb71-5cbd-477e-ad00-f70b5b099379","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Dec-23"
"3c5393aa-37c8-445e-a78a-df9129048e8c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jan-24"
"e0cbe9d2-af15-4fdc-9ca1-7ab40f92e50d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Feb-24"
"98721fc3-e7ba-4e16-aedb-fb7480b5a177","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Mar-24"
"c9512ab1-69d5-4502-81d0-96485be50ce3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Apr-24"
"42dd54c5-b71f-467a-ad26-b2b64b0166b1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","May-24"
"7904fca5-b05f-4248-bf0e-941d55f1c340","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jun-24"
"fc082435-3b42-4fe8-b0c8-496e4ecbc45a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jul-24"
"1375cf4d-8da4-4230-b185-c29667eefcff","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Aug-24"
