Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,
checklist-sectioned,48051a79-738e-4aea-94ab-4bbc0470317a,,checklist,Enviro Prime P2 + HP1200 + 700X,,,,0,Yes,Enviro Prime P2 + HP1200 + 700X,9a8fdeb6-ff5a-4eaf-bec2-4fe5914bfe34,,,,
checkpoint-group,4ea172e0-4f28-4bda-90bd-aaea1af8cb8b,,section,DETAILS,,,,,,,,,,,
checkpoint-status,d57af90e-5da2-48ab-8325-b728b45aa8ad,,checkpoint,Attach any relevant documents or photos,,,,,,,,,,,
text,594aa6d6-38ce-5e6f-857a-beeea32fcd0d,,textbox,ITP No.,,,,,,,,,,,
text,86bb14bb-56a3-512e-bd2e-7ad1c63b8188,,textbox,Revision No. & Date,,,,,,,,,,,
text,ec302e8e-8031-5475-a2cb-e77c20616705,,textbox,Prepared By,,,,,,,,,,,
text,43612fbc-d9aa-508c-a55d-efdbea43199f,,textbox,Reviewed By,,,,,,,,,,,
text,745e56e4-1a63-5c5c-b43c-a3490c9818c6,,textbox,Approved By,,,,,,,,,,,
text,19d025f7-1dbd-58bb-8516-1ec845893ef9,,textbox,CIDD Alerts,,,,,,,,,,,
checkpoint-group,748e286d-e782-4c75-9fa9-957e1a4b7806,,section,BATCH DETAIL NUMBER OF PRODUCTS,,,,,,,,,,,
checkpoint-status,216f7d8d-0dd8-4dee-8421-6ee85af5901c,,checkpoint,Enviro Prime P2,,,,,,,,,,,
label,eb06cfe0-8aee-5951-a310-45a420845f4c,,note,Record Batch Number,,,,,,,,,,,
checkpoint-status,a0be728f-b4bb-4716-9534-b81deed04eaa,,checkpoint,Sika Flex FC/ Enviro Flex FC,,,,,,,,,,,
label,6f4d8e89-b63f-5bdf-9bcc-b35f58cf1766,,note,Record Batch Number,,,,,,,,,,,
checkpoint-status,d05c1b62-9a1a-4955-910e-16a9c625820c,,checkpoint,Enviro HP1200,,,,,,,,,,,
label,7296d31e-a5e7-55de-86ed-fc765695b1aa,,note,Record Batch Number,,,,,,,,,,,
checkpoint-status,9d3ca515-472e-4dae-a692-79bc33669a17,,checkpoint,Enviro 700X,,,,,,,,,,,
label,ff26b8c9-bb5c-52b3-aab7-d16af838be01,,note,Record Batch Number,,,,,,,,,,,
checkpoint-group,93f1451c-ff1b-4a48-9c29-e2b786d40ea8,,section,PRE COMMENCEMENT - EACH LOCATION,,,,,,,,,,,
checkpoint-status,fa819b9a-905d-40d7-8915-6dd077e0db86,,checkpoint,Samples Submitted,,,,,,,,,,,
label,1a804768-719f-54c3-b675-1576aa68afde,,note,Submit samples for approval as per Specific Material Requirements.,,,,,,,,,,,
label,69cbe0e0-84f1-5250-967e-39decd6de94d,,note,Records - Subcontractor Contracts Admin Confirmation,,,,,,,,,,,
label,3f57b4a3-6cc6-5779-b404-c5d70f7511e9,,note,Sample Approval Ref.,,,,,,,,,,,
checkpoint-status,0d38a383-a77c-465d-81f0-efaf851933e4,,checkpoint,First Of Type Inspection,,,,,,,,,,,
label,4b125fce-4a26-5993-8352-3ca2da012668,,note,First of type of inspection conducted by builder prior to commencment of works taking place.,,,,,,,,,,,
label,612db42f-1ba3-5fcc-a947-49f198231ee0,,note,Records - Site Engineer/ Foreman Confirmation,,,,,,,,,,,
checkpoint-status,586f0f15-5dc9-45ab-ad94-8c98e8c92f19,,checkpoint,Material Management & Storage - Envirosystems TDS,,,,,,,,,,,
label,fe83364e-4921-527c-96c6-866540ca71de,,note,"Store materials in a dry, clean place away from direct sunlight as per TDS",,,,,,,,,,,
label,4fbf6487-b781-5c88-bebd-c5ea63cc2149,,note,Records - Time stamped photograph,,,,,,,,,,,
