"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Daily Site Diary","",,,1,"Yes","Daily Site Diary","1653ad51-2d85-40a2-8f04-d01bf4c2e364"
"checkpoint-status",,"","checkpoint","Foremans diary - all details inputted and complete"
"date","16f83da0-f0db-5b1d-8dc7-40033110bb4b","","date","Date",,,
"text","d5ab6654-c402-5f9d-add8-687c735f1a7e","","textbox","Gridlines",,,
"checkpoint-status",,"","checkpoint","Photos of work"

"checklist-flat","cb730793-75c7-44b3-98c4-8896f5d0c3a9","","checklist","Site Diary","",,,1,"Yes","Site Diary v1","7eca1b7a-cca4-4af3-a56e-2b0718028808"
"checkpoint-status","e8b59344-ea58-4076-8cb0-8a5717bae3de","","checkpoint","Areas of work accessible for the day"
"select","856f2e8e-206b-51de-84d5-95ecbfc65a52","","dropdown","Day","Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,
"text","2068aaf9-e92a-5c74-952c-a92629afd1ea","","textbox","Date",,,
"text","09b6b0d7-e96a-50be-8fae-45b791f1d8fe","","textbox","Year",,,
"text","1ba39ae1-47e1-5881-a710-0f3b3bf7a43e","","textbox","Number of workers on site",,,
"text","60cdbfaf-d6b2-50d8-82af-f3ce87f1bf82","","textbox","HSR on site today enter name",,,
"text","c1bc8ff0-1105-5352-a9b7-74b4ceecf862","","textbox","First Aider on site today enter name",,,
"text","de07be5a-7a8c-58fb-9677-1c79420167e8","","textbox","Injury on site today enter name",,,
"checkpoint-no-status","f2f3161d-20d5-4f28-8674-e54fc5e24787","","checkpoint","Work area 1 details entered"
"text","484da886-3ce6-52f6-bd1f-4d233169b27c","","textbox","Area",,,
"select","19589dd5-e106-53df-a153-0539a53e7974","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","434a31b5-4dd0-5e25-b71b-940511e46596","","textbox","Comments",,,
"checkpoint-no-status","16f7da27-9de0-4813-acc4-44a697d80e98","","checkpoint","Work area 2 details entered"
"text","44cc598a-37a5-5fdf-a477-90d8486d1fdd","","textbox","Area",,,
"select","efc0e10b-5962-50b5-99cd-dab038a3dbd2","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","540fa6f7-ace2-5b06-9639-63d9d3cfe7a6","","textbox","Comments",,,
"checkpoint-no-status","3f5f7230-4d72-44b4-9346-fe3d36396f7a","","checkpoint","Work area 3 details entered"
"text","d24fdf0f-eff7-5103-a43d-1da9e490d149","","textbox","Area",,,
"select","20cb8c75-ddc8-5256-9528-992a778e63b6","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","f3abcf42-8026-56a9-9c6f-e8793bd5e039","","textbox","Comments",,,
"checkpoint-no-status","61740865-0c78-4839-a189-aed1b5d0d710","","checkpoint","Work area 4 details entered"
